Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Smooth Operator,Sade,Diamond Life,298893,64,https://open.spotify.com/track/7pLuEMFougkSHXrPBtNxTR
"Baby, I Love Your Way",Big Mountain,The Best of Big Mountain,249520,77,https://open.spotify.com/track/1Rvl8qsKJurfFTyWLBI9ib
Careless Whisper,George Michael,Ladies And Gentlemen... The Best Of George Michael,300106,16,https://open.spotify.com/track/4jDmJ51x1o9NZB5Nxxc7gY
As Long as You Love Me,Backstreet Boys,Backstreet's Back,221106,82,https://open.spotify.com/track/3UpS7kBnkVQYG13pDDFTC4
"Have You Ever Really Loved A Woman? - From ""Don Juan DeMarco"" Soundtrack",Bryan Adams,18 Til I Die,291666,76,https://open.spotify.com/track/32Gf5A7Hr8RdgggXG0Fdks
Heaven,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),243360,86,https://open.spotify.com/track/7Ewz6bJ97vUqk5HdkvguFQ
Please Forgive Me,Bryan Adams,Anthology,355640,8,https://open.spotify.com/track/03EnOL1O9EKi9CFNmPyrCm
By Your Side,Sade,Lovers Rock,274933,75,https://open.spotify.com/track/7H3ojI1BsVy0dEJENqMt1k
Still in Love with You,Sade,The Ultimate Collection,264240,60,https://open.spotify.com/track/51UNNIXG0vZrwB40N6qWOo
Is This Love,Bob Marley & The Wailers,Kaya,232200,82,https://open.spotify.com/track/6JRLFiX9NJSoRRKxowlBYr
Lay All Your Love On Me,ABBA,Super Trouper,274466,81,https://open.spotify.com/track/4euAGZTszWPrriggYK0HG9
"Money, Money, Money",ABBA,Arrival,186426,73,https://open.spotify.com/track/3lKN03PDeBnXZS7sDukRBt
If You Were a Woman (And I Was a Man),Bonnie Tyler,Secret Dreams and Forbidden Fire,316800,55,https://open.spotify.com/track/5NBPV2NQTepcZy1fD2KI43
How Sweet It Is (To Be Loved By You),Marvin Gaye,How Sweet It Is To Be Loved By You,177773,61,https://open.spotify.com/track/2zF8ro2hX0aEYaqXQdEKW1
My Girl,The Temptations,The Temptations Sing Smokey,165000,84,https://open.spotify.com/track/745H5CctFr12Mo7cqa1BMH
Smooth Criminal - 2012 Remaster,Michael Jackson,Bad 25th Anniversary,257760,76,https://open.spotify.com/track/2bCQHF9gdG5BNDVuEIEnNk
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,293826,81,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
The Girl Is Mine (with Paul McCartney),"Michael Jackson, Paul McCartney",Thriller 25 Super Deluxe Edition,222040,54,https://open.spotify.com/track/1diEQsD8PJC9hXB5Gpfgtn
The Way You Make Me Feel - 2012 Remaster,Michael Jackson,Bad 25th Anniversary,298120,73,https://open.spotify.com/track/0sKlV58cODrjxGFOyf9IXY
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney,291293,87,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj
You Can't Hurry Love,Phil Collins,"Hello, I Must Be Going",175346,4,https://open.spotify.com/track/4YUlGNZfYA6EUE5KDsGqpC
Still In Love With You,Thin Lizzy,Nightlife (Deluxe Edition),340040,47,https://open.spotify.com/track/0RW2GdRcn5qTrZPhXQLqML
