Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Stay The Night - Acoustic,"Sigala, Talia Mar",Stay The Night (Acoustic),171840,29,https://open.spotify.com/track/4beQ74mY5EVRwXgBJ7wFf6
Million Days - Acoustic,"SABAI, Hoang, Olivia Ridgely",Million Days (Acoustic),214605,47,https://open.spotify.com/track/66aJuGQgXMVoyklTKdEgmL
Hear You Calling - Acoustic Version,Aurora,Hear You Calling,231933,7,https://open.spotify.com/track/4cdLHJpxxWRnJVZBT4yzQA
Bloom,"Dabin, Dia Frampton",Wild Youth (Acoustic),251520,0,https://open.spotify.com/track/4IlfTweoPs0j1t1LtwEzlt
Hold On - Acoustic Version,"Armin van Buuren, Davina Michelle",Hold On (Acoustic Version),206500,36,https://open.spotify.com/track/1YHKcZuNJjgyRL99CLPFYw
You Were Loved (with OneRepublic) - Acoustic,"Gryffin, OneRepublic",You Were Loved (with OneRepublic) [Acoustic],211967,30,https://open.spotify.com/track/3QcvwgkJmYL6Hz7tvYqkD3
Falling Apart - Acoustic,"ARMNHMR, RUNN",Falling Apart (Acoustic),176051,37,https://open.spotify.com/track/5hdxWJkiBKH6STOH7na5zB
By Your Side (feat. Tom Grennan) - Acoustic,"Calvin Harris, Tom Grennan",By Your Side (Acoustic) (feat. Tom Grennan),191327,34,https://open.spotify.com/track/1QMSIsTV6lcLCQ9MBHTLhT
Shadow - Acoustic,"Bossfight, JT Roach, RUNN",Shadow (Acoustic),175200,17,https://open.spotify.com/track/4zhtUqtROlgV1RYSm9Fk2D
Glass House (Acoustic),"Terry Zhong, CVBZ, Said The Sky",Glass House (Acoustic),168066,25,https://open.spotify.com/track/3QceQYNps4tRaqpzmCrBoN
Sweet Dreams & Dynamite - Acoustic,"Seeb, Nina Nesbitt",Sweet Dreams & Dynamite (The Stickmen Project Remix),160612,16,https://open.spotify.com/track/2GUZ2uNqXGSpE96E31ooLR
All Comes Back to You (Acoustic),R3HAB,All Comes Back to You (acoustic),146250,7,https://open.spotify.com/track/2cCxbqHs03aNfAR5reQOXv
Rush Over Me (feat. HALIENE) - Acoustic,"Seven Lions, HALIENE",10 Years of Seven Lions,240000,3,https://open.spotify.com/track/5IuajfaENB9U4nbbXiXm5L
Shadows - Acoustic,"Seven Lions, Wooli, Amidy",Shadows (Acoustic),246624,2,https://open.spotify.com/track/2YnLwNtxe4Pno41MyjtOF5
Butterflies - Acoustic,"William Black, Fairlane, Dia Frampton",Butterflies (Acoustic),203586,0,https://open.spotify.com/track/2gKj79uMdS77EodTr2jygu
Alive (Acoustic),"Dabin, RUNN",Alive (Acoustic),350000,0,https://open.spotify.com/track/0KRW5KQM2dVwCrJS0d3zxh
When You're Gone - Acoustic,Shawn Mendes,When You're Gone (Acoustic),188200,47,https://open.spotify.com/track/3KrfUt1cYSbkBpstlITPkp
Lights,"Dabin, TRØVES",Wild Youth (Acoustic),205241,0,https://open.spotify.com/track/4DwKs22EPkaZCS6LVp89oK
Thinking About You (with Winona Oak) - Acoustic,"R3HAB, Winona Oak",Thinking About You (with Winona Oak) [Acoustic],166562,0,https://open.spotify.com/track/00IPZgU8xFEGwUCssQK4q0
Lullaby - Acoustic,"R3HAB, Mike Williams",The Wave EP (Acoustic),122343,0,https://open.spotify.com/track/2oRg03uwJUU3MtObElyjbZ
Trouble - Acoustic,"R3HAB, VÉRITÉ",Trouble (Acoustic),173763,0,https://open.spotify.com/track/0C4BabooBk3RJ3OImoTaxf
Fast Car - Acoustic,"Jonas Blue, Dakota",Fast Car (Acoustic),217864,60,https://open.spotify.com/track/618v3huzqDQQBfMogznSb3
Flatline - Acoustic Mix,"Blanke, Calivania",Flatline (Reprise),230800,16,https://open.spotify.com/track/4Ra7WoovkqurvBfE8JrFZQ
Seasons,"Bebe Rexha, Dolly Parton",Bebe,203427,34,https://open.spotify.com/track/6sbqpXpDBb6MNv93lhqKvl
Ghost - Acoustic,Au/Ra,Ghost (Acoustic),217280,32,https://open.spotify.com/track/1PHF7mIPfVGqToeDHZQjqn
In Flames,"Dabin, Lexi Norton",Wild Youth (Acoustic),244210,0,https://open.spotify.com/track/3PLe07aq1Xfxe1APp0tjSo
No Promises - Acoustic,"Cheat Codes, Demi Lovato",Tell Me You Love Me (Deluxe),232066,0,https://open.spotify.com/track/1LKxHaLu3RG4xWO0DXZ8OU
Home,"Dabin, Essenger",Wild Youth (Acoustic),270000,0,https://open.spotify.com/track/0mNPd2EKh1fX8F7kNeZESz
Potions - Acoustic,"SLANDER, Said The Sky, JT Roach",Potions (Acoustic),203127,36,https://open.spotify.com/track/2IKGiOdGUhIJ6JChvmSjob
Don't Leave Me Alone (feat. Anne-Marie) - Acoustic,"David Guetta, Anne-Marie",Don't Leave Me Alone (feat. Anne-Marie) [Acoustic],188500,38,https://open.spotify.com/track/0jvCjydreWzXrID8Uo5xxM
First Time (feat. Dylan Matthew) - Acoustic,"Seven Lions, SLANDER, Dabin, Dylan Matthew",First Time (feat. Dylan Matthew) [Acoustic],251932,13,https://open.spotify.com/track/4s9Na0ywXodZXScgvXmJop
"Need Your Love (feat. Noah Kahan) - Recorded at Electric Lady Studios, NYC","Gryffin, Noah Kahan",Spotify Singles,199617,38,https://open.spotify.com/track/5ViQpaAk3MlvdGPctEUNTw
Where You Are (Sávežan) - Acoustic Version,"Arc North, Jon Henrik Fjällgren, Adam Woods",Where You Are (Sávežan) [Acoustic Version],190500,32,https://open.spotify.com/track/4Wdc90zW93mDj8N2r2CXzY
Better,RUNN,Better,204400,0,https://open.spotify.com/track/1zMr0gTT3y8CJFGYhXn83Z
Revive (Acoustic Version),LIONE,Revive (Acoustic Version),206606,0,https://open.spotify.com/track/1VaAnbmgTkBHcGEXaBU673
Good Things Fall Apart (with Jon Bellion) - Stripped,"ILLENIUM, Jon Bellion",Good Things Fall Apart (with Jon Bellion) - Stripped,208437,44,https://open.spotify.com/track/4siZLgCKM0IKnD1ek6Bt4d
sometimes,Chelsea Cutler,brent,276080,47,https://open.spotify.com/track/2MvpHgDzl7skp1xowjCDiG
Worth Living For,"Said The Sky, Olivver the Kid, Levi The Poet",Worth Living For,199509,29,https://open.spotify.com/track/7kWhwgzEBYFQVKLhldwWGk
Shed a Light - Acoustic Version,"Robin Schulz, David Guetta, Cheat Codes",Shed a Light (The Remixes Part 2),199120,36,https://open.spotify.com/track/0GGVNLSXv3uaN0GrXvDsOC
Crashing (ft. Bahari) – Stripped,"ILLENIUM, Bahari",Crashing (Remixes),226250,40,https://open.spotify.com/track/1SreIFDe15GQC4BrdZW2Hh
A Way To Say Goodbye - Acoustic,"Seven Lions, Sombear",The Throes Of Winter (Remixes),189973,20,https://open.spotify.com/track/3Klyjz0u1mHmE8n1x0PA6N
All You Need To Know (feat. Calle Lehmann) - Acoustic,"Gryffin, SLANDER, Calle Lehmann",All You Need To Know (feat. Calle Lehmann) [Acoustic],226723,41,https://open.spotify.com/track/3shPY41rwM7O9BGhxNWgE4
Keep You Mine - Acoustic,"NOTD, shy martin",Keep You Mine (Acoustic),183435,47,https://open.spotify.com/track/0Rp4jmwBigtBymrPsMCt3G
Panic Room - Acoustic,Au/Ra,Panic Room (Acoustic),257106,43,https://open.spotify.com/track/1wqCx4RZ8yABTkbh3Dx33W
i don't wanna know - acoustic,"GOLDHOUSE, Mokita",i don't wanna know,186500,0,https://open.spotify.com/track/3L2idHHgfpuDiI3dD6lq3O
In Your Arms (with X Ambassadors) - Stripped,"ILLENIUM, X Ambassadors",In Your Arms (with X Ambassadors) - Stripped,244647,37,https://open.spotify.com/track/33w2gkvsI5iAnMI8z8mYln
Bye Bye (feat. Ivy Adara) - Acoustic/The Gravity Sessions,"Gryffin, Kayla Rae Haywood",The Gravity Sessions (Pt. 1),184891,38,https://open.spotify.com/track/2GnCkaWF1sz1dcwOMhfh5Z
Into You - Acoustic Version,"Matisse & Sadko, Hanne Mjøen",Into You (The Remixes),176917,40,https://open.spotify.com/track/4pgX15KGFNTHQFZg7GL3n8
Love Alone - Stripped Version,Mokita,Love Alone (Stripped),217148,45,https://open.spotify.com/track/19QVn1t2FSVQv0S1o9t08Y
Suspicious Minds,Mokita,Suspicious Minds,203682,0,https://open.spotify.com/track/6WISJMXelYrQOolU1ctyY0
Outsiders (Acoustic),Au/Ra,Outsiders (Acoustic),260703,22,https://open.spotify.com/track/4VyvzQoIfG49xiNuYVYBiv
Love Is Gone - Acoustic,"SLANDER, Dylan Matthew",Love Is Gone (Acoustic),176971,77,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx
