Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Can You Hear the Sound,"All India Radio, Selena Cross",The Slow Light,256746,40,https://open.spotify.com/track/35CxIepmoN4weSyjZiRlYF
Wordless Chorus,My Morning Jacket,Z,252760,60,https://open.spotify.com/track/6xAa0kGkTLU22ZyoHOCHgi
The Only Thing,Zola Blood,Infinite Games,188720,46,https://open.spotify.com/track/0FE0vDavc6Ft5FQUJfKnuD
Rising,Sofa Surfers,20,243613,50,https://open.spotify.com/track/5P4F8HUN8P1l9g00CJTqPY
Four Three,All India Radio,Echo Other,242400,50,https://open.spotify.com/track/7GraNeuFPEK0slh0AZ4Mgc
Monsters,All India Radio,Space,244172,48,https://open.spotify.com/track/3iCtQTGdCYxyaoogp4noUU
Strange Pleasures - 2023 Remaster,Still Corners,Strange Pleasures: 10th Anniversary Edition (2023 Remaster),314386,55,https://open.spotify.com/track/7qVURpFZaTSQeNFQLyUOQb
Train,Younger Brother,Vaccine,449666,41,https://open.spotify.com/track/2AACF7qh9u5qWxxLyHhwSd
In the Middle of the Night,Still Corners,Slow Air,219146,56,https://open.spotify.com/track/2IYRNM0sHZkgjY5ynSLfbO
Drive,Beacon,The Ways We Separate,198507,41,https://open.spotify.com/track/0v4bf2tkNBCntqSSZMDDuk
Ribbon On A Branch,Younger Brother,The Last Days Of Gravity,468946,36,https://open.spotify.com/track/66OKhLJ2kAi4VjT8nbhBeX
Break Me Gently,"Equador, Bo Bruce",Symmetry / Break Me Gently,240957,43,https://open.spotify.com/track/7f2LiDp6SEAs9Ue0gckenk
Pray,HÆLOS,Full Circle,220745,46,https://open.spotify.com/track/77V8QD2ofscKhbKvFFQByG
Petrified,Flunk,Chemistry and Math,259350,45,https://open.spotify.com/track/2JsXkseHmmK4IrX5sQsuG4
Theo`s Sunlight Dream,All India Radio,Space,212456,27,https://open.spotify.com/track/60YDDiSqoyxxCkVFwpfQWK
Avalon,"Equador, Bo Bruce",Bones of Man,316000,42,https://open.spotify.com/track/4ZIAgjZkVI5wEmbcaYE6oD
Good Love,Zola Blood,Infinite Games,225613,56,https://open.spotify.com/track/46h7TPgCsgEPuA4lEJWddm
