Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Ratamahatta,Sepultura,Roots,270640,61,https://open.spotify.com/track/3Tg8JctqoeIwZ3Rue8BjaI
Cowboys from Hell,Pantera,Cowboys from Hell,243533,79,https://open.spotify.com/track/2SgbR6ttzoNlCRGQOKjrop
Roots Bloody Roots,Sepultura,Roots,212253,68,https://open.spotify.com/track/6ursmCnbc9oDRGa2yHKkoZ
Refuse / Resist,Sepultura,Chaos A.D.,199226,63,https://open.spotify.com/track/2OoS1aZFAFscH1cUiKlazH
Toxic garbage island,Gojira,The way of all flesh,246680,58,https://open.spotify.com/track/5e0OSsSpWpQ2kS7Z9CGLDu
Seasons In The Abyss,Slayer,Seasons In The Abyss,397826,63,https://open.spotify.com/track/3Ky8IzV8IVSwijtaTWB2SK
Mouth for War,Pantera,Vulgar Display of Power,237346,66,https://open.spotify.com/track/6rkeaQRCWZxwkjhyqgxjXi
Silvera,Gojira,Magma,212653,66,https://open.spotify.com/track/5uunXHE4kIW6uS4HWAXaOQ
Descending,TOOL,Fear Inoculum,817832,59,https://open.spotify.com/track/0aTiUssEOy0Mt69bsavj6K
The Pot,TOOL,"10,000 Days",381946,74,https://open.spotify.com/track/1lATXTBJDHwawvT1UfxWu3
Descending,Lamb of God,Sacrament,215240,0,https://open.spotify.com/track/2rvQ8M4T6rbpc2c63pwNMu
Blood and Thunder,Mastodon,Leviathan,228586,65,https://open.spotify.com/track/3jagGO7eHHuaD53ibehkux
Domination,Pantera,Cowboys from Hell,305293,71,https://open.spotify.com/track/769cLRTw2y6KRdkFWFkxtu
Holy Wars...The Punishment Due - 2004 Remix,Megadeth,Rust In Peace (2004 Remix / Expanded Edition),392600,72,https://open.spotify.com/track/5LyRtsQLhcXmy50VXhQXXS
Bleed,Meshuggah,ObZen,442733,40,https://open.spotify.com/track/4E6wpXABj8XosZEPXZz2OK
Jumpdafuckup,Soulfly,Primitive (Special Edition),311986,61,https://open.spotify.com/track/1UwwbPgKGOoSbqqHm9Xxzn
Dead Skin Mask,Slayer,Seasons In The Abyss,320520,60,https://open.spotify.com/track/0t1lDXmMWBzF6mfnQ6KwqZ
Stranded,Gojira,Magma,269533,70,https://open.spotify.com/track/60fUDmIWuKhngaeBIVhqIV
