Track Name,Artists,Album,Duration (ms),Popularity,Track URL
REDloop,ISOxo,REDloop,225230,40,https://open.spotify.com/track/54ZY8FCkx9Mgs9EXB2KLk5
Legacy,"Dirty Palm, Benix",Legacy,159375,0,https://open.spotify.com/track/5DQGSJOG1JUchaZBd4zaie
FATE,Deathpact,FROM DARKNESS,288000,40,https://open.spotify.com/track/0pCU13PjrLBP9cC1AsqHQS
Control,WE ARE FURY,Control,196800,18,https://open.spotify.com/track/3g1no8Vw8dpbBSp1CHLZMX
UP/DOWN,EDDIE,UP/DOWN,164248,17,https://open.spotify.com/track/4YaD8e8H9FKQlpVcz6OIP0
Suffer In Silence,Rezz,Suffer In Silence,194248,45,https://open.spotify.com/track/6TMsLIRJQ7LkfFY3g0DGKS
STATIC,"ANTAGONÏZER, AWAY, Crywolf",STATIC,187235,37,https://open.spotify.com/track/53tZzR7fyShhbXQWSNIUe7
Say Less - Eliminate Remix,"Dillon Francis, G-Eazy, Eliminate","Say Less (Remixes, Vol.2)",171185,0,https://open.spotify.com/track/01C9FxObfoAiKit9BioeBV
Always,Circumference,Time,251511,23,https://open.spotify.com/track/7aMmDj30GXfnSxuiKuyxBE
Distant,Moovs,Dharma: Sounds of Summer Vol. III,221205,0,https://open.spotify.com/track/2SFNUgHAyMfEE5GlbtU7QE
Ithaca,WE ARE FURY,Ithaca,161142,0,https://open.spotify.com/track/1qvvabl0nbO3lrPA1QdcKI
"Everywhere, Nowhere","Rezz, Blanke","Everywhere, Nowhere",185600,36,https://open.spotify.com/track/6aVGa81S7Q1S24yuPbakEL
Tears,"Skrillex, Joker, Sleepnet",Quest For Fire,185571,55,https://open.spotify.com/track/29tRu5BqKiUDAoWLKIO3RN
Mind Pluck,"Subtronics, HOL!",TESSERACT,270857,49,https://open.spotify.com/track/393JGybRH0bebry1tooWla
Blessed - Remix,"The FifthGuys, M.I.M.E, Besomorph, 2Scratch",Blessed (Remix),178125,19,https://open.spotify.com/track/2OpPbOfMOeIIF6MzNGtWyU
Fury,Naffar,Fury,170197,0,https://open.spotify.com/track/7M5p4AmILcIdq6oGJuQd4f
Load Up,22Bullets,Load Up,148037,12,https://open.spotify.com/track/2y2SZlRTIK4wyFDOLpPiff
Fresh Outta Japan,Yasko,Fresh Outta Japan,116050,0,https://open.spotify.com/track/0eGiT6tI2kdeAuYEUpA57a
Lucifer,Hopex,Lucifer,196018,0,https://open.spotify.com/track/6HHjEz9OSZE6iT9t1cdgb9
Shenlong,Saka,Shenlong,226285,43,https://open.spotify.com/track/5f9lGdQdpuJLCINacT7AEZ
Renegade,"RL Grime, NERO",Renegade,285616,42,https://open.spotify.com/track/0ciBdxlofdSf1AePCpXGVF
Look At Me That Way,Sdms,Look At Me That Way,174139,41,https://open.spotify.com/track/6M5iYMpgafnT4nPG1aBJoM
Babel,Otnicka,Babel,198962,56,https://open.spotify.com/track/0ZnwzjB40zdTZrEwPvaRqG
love u,Aero Chord,love u,150400,21,https://open.spotify.com/track/33gxCGZuswkRKZRrs3TJ7q
Darvish,"ALIGEE, BakuBoy & Austin Blake",Darvish,236190,3,https://open.spotify.com/track/42VN5VAnz3zwEzq9BqIcCJ
Chemicals - Remix,"Besomorph, The FifthGuys, Neoni",Chemicals (Remix),154434,10,https://open.spotify.com/track/7b0s7YrkrtOuGPODdOOSc4
Overthinker,INZO,Overthinker,268000,1,https://open.spotify.com/track/4K9xid96G3YmIvQZXN9SXg
Backing Down (feat. Reigno),"B3RROR, Reigno",Alone EP,146666,16,https://open.spotify.com/track/6POPqWg7mFZPKiENEfVuwK
Black,"Drahonn, Anna Krishtal",Black,120000,0,https://open.spotify.com/track/4ci94ts6g5ARTSxuL4FBfc
Not Ready,"MEMBA, Fabian Mazur, Racquel Jones",Not Ready,172222,24,https://open.spotify.com/track/2tbTFgiQBNNTFCtpnL1GOg
La Câlin,Serhat Durmus,La Câlin,172008,20,https://open.spotify.com/track/2nLeVfLE8t3hzHhXkZ6Ez2
Troubled Mind,Poylow,Troubled Mind,192000,20,https://open.spotify.com/track/4l32rdxjs8QE3UaWSkJQNp
Someday,Prismo,Someday,228409,33,https://open.spotify.com/track/1k85IZRiJwYG42WOLthPzV
Don't Even Know Your Name,The Stickmen Project,Don't Even Know Your Name,141841,53,https://open.spotify.com/track/6s3OlLs8Ey8LCol4xaDb6R
Lions feat. YOOKiE,"Black Tiger Sex Machine, YOOKiE",New Worlds,252800,17,https://open.spotify.com/track/5qk5k1eyxR4CHfCtIDczOQ
Sacrificial,"Rezz, PVRIS",Sacrificial,182000,48,https://open.spotify.com/track/5YvYKEQEYJp4orh4z3Dnpk
Come Down (Ba Da),"Coopex, Danny Dearden",Come Down (Ba Da),139364,0,https://open.spotify.com/track/0Io54UoTBdA85lFFWeJQDA
Lapse,"Yurie, Dyzphoria",Lapse,220800,0,https://open.spotify.com/track/5RJIiH6zgsMqcButqgySMw
Insignia,MUZZ,Monstercat 019 - Endeavour,299720,0,https://open.spotify.com/track/0USDjLaIwxc8J5GrVvVb5w
Balma (feat. Mitika Kanwar),"Dronark, Mitika Kanwar",Dharma: Sounds of Summer Vol. III,140571,0,https://open.spotify.com/track/0LBB2dXubPt6ibp2W11WpH
Karma,Serhat Durmus,Karma,195142,0,https://open.spotify.com/track/7nCIoLLN4BMO8Q6851b8N8
Project 9,YOOKiE,Project 9,196791,0,https://open.spotify.com/track/4aXcsTkhBKgoHVPZz0UajV
Atrea - Former Hero Remix,"Heimanu, Former Hero",Atrea (Former Hero Remix),249931,24,https://open.spotify.com/track/10QuPuZDyUM1URMEXVUG2n
Chemical Bond,"Rezz, Deathpact",Chemical Bond,142702,50,https://open.spotify.com/track/5kn2FMZoBVClbA9CV7w3k5
MDMA,"Besomorph, OCTA, Moodygee",MDMA,148166,10,https://open.spotify.com/track/1KqYzDq1XllfRb4Nqj4avA
Hitta (feat. Juicy J),"Marshmello, Eptic, Juicy J",Hitta (feat. Juicy J),170807,32,https://open.spotify.com/track/6y9jeDRDDLOYJDkdzWLktH
Tonight,2nd Life,Tonight,201697,0,https://open.spotify.com/track/5AimZOIyNaXV5jQnIoujVt
Through Your Window (KDDK Remix),ARIA,Through Your Window (KDDK Remix),185739,0,https://open.spotify.com/track/1oHh1FNCzRZAxokqOqvEvH
Hislerim,"Serhat Durmus, Zerrin",Hislerim,214204,26,https://open.spotify.com/track/32Mh7kOCWmNTZgre0cGvCV
Earthquake,"Hopex, Ugo Melone",Earthquake,163265,42,https://open.spotify.com/track/2R0nYCorsC4MeUPmgw7kmo
Stinger,"RL Grime, ISOxo",Stinger,230204,0,https://open.spotify.com/track/0yrSc38VgNvTRVfzD01oDE
HEADSPACE,"NAZAAR, GLNNA",HEADSPACE,246400,32,https://open.spotify.com/track/50fSR6MbcFISTEXozTAEMT
Hypnocurrency,"Rezz, deadmau5",Hypnocurrency,292524,1,https://open.spotify.com/track/3evAUkYDPeLX5kn0LbvGz4
Warrior,Hopex,Warrior,171517,0,https://open.spotify.com/track/5NPAcNocjto49aEwOauQJq
What What,Quintino,"Go Harder EP, Pt. 3: Do or Die",174093,19,https://open.spotify.com/track/6lCX402P72Ep74kAMWWY8H
Without You,"BÖ, Serhat Durmus",Without You,222865,0,https://open.spotify.com/track/4i6bguyZHZLBEepWnWDHQn
Ignis,Rompasso,Ignis,211636,41,https://open.spotify.com/track/6BT4H5z2UCDvyTxl2WfsQA
Saviour,"Hoaprox, YUAN, Haneri",Saviour,172005,44,https://open.spotify.com/track/5Ke5H0sjY4or70sK24HUYM
We Are Venom,"Moses, EMR3YGUL",We Are Venom,180318,39,https://open.spotify.com/track/64C5XMnoLHnJadZdnVblWo
Make Ü Mine,"Lucky Luke, Austuzhe",Make Ü Mine,221144,44,https://open.spotify.com/track/7DTci0p38WIDN96bd5LUZZ
Danger Days,Yellow Claw,Danger Days,178219,30,https://open.spotify.com/track/6QtHFf8596NM5x7Y4eruD6
Book Of Us (feat. Mothica),"Said The Sky, MOTHICA",Book Of Us (feat. Mothica),201038,26,https://open.spotify.com/track/2IbuJdAVQAVCQgqb1g9ivi
The Ride,"Snavs, Kage",The Ride,144098,16,https://open.spotify.com/track/0UynUNFNMGPQwgHJ4aTuMG
Breaking Heart,"Sefa Taskin, Brado Sanz, Atakan Oruc",Breaking Heart,187233,0,https://open.spotify.com/track/0mYLDmOGD16K00dURJVW2T
Not Alone,Serhat Durmus,ME and U,204759,3,https://open.spotify.com/track/6lTDavNwANeRtFS6NGFnXb
Roadrunner,Hopex,Roadrunner,170370,40,https://open.spotify.com/track/19GxGursaWsTNIRrJCyehB
End of Slaphouse,"VIZE, ALOTT",End of Slaphouse,181875,25,https://open.spotify.com/track/0U5Q2jPCuyQLCxb8LYYD90
The Clock,"STUBBVRN, Capturez",The Clock,185794,33,https://open.spotify.com/track/7968SX4YAAloDw5r68JHa5
Oxygen,OSVISS,Oxygen,202500,0,https://open.spotify.com/track/0JlqS1aBUC2U33Zf98jtOq
Mark - Emr3ygul Remix,"SHAHMEN, EMR3YGUL",Mark (Emr3ygul Remix),196668,0,https://open.spotify.com/track/0exGl5Y290wAsqrnKIagWp
Hola,Serhat Durmus,Hola - EP,191058,0,https://open.spotify.com/track/0SawScuD13ugQMZwI2IKcR
HUMBLE. - SKRILLEX REMIX,"Skrillex, Kendrick Lamar",HUMBLE. (SKRILLEX REMIX),156800,69,https://open.spotify.com/track/65ES1qwOB577ZnTkizMXJJ
Arres,"Serhat Durmus, Melanie Fontana",Arres,167625,44,https://open.spotify.com/track/5qYuO20KldSxvWQrJCbyM7
Do Or Die,"Sdms, Valencia James",Do Or Die,200151,35,https://open.spotify.com/track/1AZF5diNzTkYFcdpdWWCuy
Insanity,Blvk Sheep,Insanity,188499,24,https://open.spotify.com/track/6YkoLoloyKV14kg87C2c10
Give It to Dem,"Skan, Drama B, Highdiwaan",Give It to Dem,275200,0,https://open.spotify.com/track/5vqPYjgDylmAeHixXx7SXd
Bankai,"Onderkoffer, SWACQ",Bankai,135047,0,https://open.spotify.com/track/1JyfQ3NOXLk8NsxYEtSviw
Never Gonna Catch Me,"El Speaker, Skan",Never Gonna Catch Me,200969,0,https://open.spotify.com/track/3folt4d0CndACKo02YNrin
The Vision,"Skan, Born I",The Vision,291160,0,https://open.spotify.com/track/4sjvp8ZvKfPutRr9W0KIyu
Dead To Me - Original Mix,"Whales, Fraxo, Lox Chatterbox",Dead To Me,230282,50,https://open.spotify.com/track/1u7g6VLbqwqDeOhCKvUxv2
Surface,Aero Chord,Surface,254117,0,https://open.spotify.com/track/5ERWSokrBWx8sUwHV6QN93
Slow,"Mari Ferrari, Fugo",Slow,139200,0,https://open.spotify.com/track/5fGfZ1wkA2j6FGlIYAi6pO
Ares,Said The Sky,Ares,263366,18,https://open.spotify.com/track/5mtZGIvRXDHk8685jbSWCf
Lonely Street,"Snavs, Fabian Mazur",Lonely Street,172592,20,https://open.spotify.com/track/3mo3ztZlMkuY36a9PgZsvW
Сон (Jarico Remix),Sam Wick,Сон,243360,1,https://open.spotify.com/track/3x9rtTFzbEpD1ux71Za4q4
Engine,Rynx,In Pieces,210173,33,https://open.spotify.com/track/5wPJ3nG4mJve8LsmEaixgi
Drop It,Aero Chord,Rocket League x Monstercat Vol. 1,187826,0,https://open.spotify.com/track/0S8hASSWF0TmEM21c2NLQt
The End,"T-Mass, Drama B",The End,192977,0,https://open.spotify.com/track/1gLM3Z0x3c7ZV0vri0NAsN
Cyberpunk,Max Brhon,Cyberpunk,215079,1,https://open.spotify.com/track/3O82ngwOEMwApKpSWQGLd7
Blacklight,"Kush Kush, Sickmellow, Kazhi",Blacklight,166500,44,https://open.spotify.com/track/04k9VAadkf8nVcofogwUSj
Can't Say,"KUURO, Syon",Can't Say,172682,35,https://open.spotify.com/track/6oTTpsofyulE2QhQQvU0b9
Titans,"Razihel, Aero Chord",Titans,250344,0,https://open.spotify.com/track/5USYPC5SrbWbzZgkvscVuV
Skeleton (feat. Nevve) - ATLAST Remix,"Tails, inverness, Nevve, ATLAST",Skeleton (feat. Nevve) [Remixed],169090,31,https://open.spotify.com/track/75lMcq4yThxO7VsaWH96c0
Boundless,Aero Chord,Boundless,192705,0,https://open.spotify.com/track/4WhJIrDvdLE8BzD1cY3gFC
Siren,"The Chainsmokers, Aazar",Sick Boy,174306,43,https://open.spotify.com/track/3K01yfjGY0NslZrXkWVAtK
Prisoner,"BRAN, Sdms",Prisoner,164150,0,https://open.spotify.com/track/3DR8swMvY6u7isshq7LX7d
ID,"Boombox Cartel, Flosstradamus",ID,204852,35,https://open.spotify.com/track/3E1tT3qkd1wXEUtFLf6Nqd
Moved On,SENSE,Moved On,130013,0,https://open.spotify.com/track/0IzsYmtnfY6jGlv0GwuYt4
Murda,"Snavs, Fabian Mazur",Murda,214400,39,https://open.spotify.com/track/71qyOCH1CFv1aJtQOlSlFP
Don't Play,Jaeger,Don't Play,196500,0,https://open.spotify.com/track/7mz6Z5c0kb0Qk64qSSBQTJ
Smash,Nebezao,Secret Room,220920,0,https://open.spotify.com/track/6cUBlbJzd3EWbvaQoXOycI
No Glory (feat. M.I.M.E & Drama B),"Skan, Krale, M.I.M.E, Drama B",No Glory (feat. M.I.M.E & Drama B),276000,5,https://open.spotify.com/track/67WMyaBOp5pwWeBXLIJ0ra
4U - Julius Dreisig Remix,"Aero Chord, Julius Dreisig",4U (Julius Dreisig Remix),182875,39,https://open.spotify.com/track/4joLrj0nUWOH4YIT29iDNq
Everything,Hopex,Everything,184109,0,https://open.spotify.com/track/0btItavS32Y5MPcDxmlG9h
