Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Stranger In A Strange World,Guy J,Everyday EP,458975,41,https://open.spotify.com/track/7nvpzty5PCYvDrsN8g88os
Nomads - Simon Gregory Remix,"Beatsole, Eugenio Tokarev, Simon Gregory",Nomads (Simon Gregory Remix),189677,24,https://open.spotify.com/track/1Xa7oCFbKFl4UUnMkj8kNq
Vertigo,"Agents Of Time, Camden Cox",Vertigo,234448,49,https://open.spotify.com/track/3jVo350GBcozw5OrXySv5N
Make Me Wonder,"Fatum, Bren Lock, Brieanna Grace",Make Me Wonder,193548,28,https://open.spotify.com/track/4oyBrEmGQTvtRK48q3shSx
Focus (feat. CLOVES) - Layton Giordani Remix,"John Summit, CLOVES, Layton Giordani",Focus (feat. CLOVES) [Layton Giordani Remix],212093,57,https://open.spotify.com/track/0JAsZNHBg7CFm7mbUr2pSt
Eusexua - Anyma Remix,"FKA twigs, Anyma",Eusexua (Anyma Remix),198808,33,https://open.spotify.com/track/6XoyHyGd0CN5WH27mn9K2O
Future Memories,"Estiva, Lake Avalon",Future Memories,203902,35,https://open.spotify.com/track/5bD2vf35NLtUphipbcxdFL
Analogy,Stephan Jolk,Analogy,400427,39,https://open.spotify.com/track/5LjOMGBzyCSBF6rhEKuhTQ
Hollow (feat. Bonn),"MORTEN, ARTBAT, Bonn",Hollow (feat. Bonn),200859,72,https://open.spotify.com/track/7EdPWyTm6EtO5httz2Dcoa
Weightless,"KREAM, Camden Cox",Weightless,225130,51,https://open.spotify.com/track/65EggkdDWHv0HcijDXcjhk
Time’s a Fantasy (feat. Jeff Bhasker) - Anyma Remix,"Portugal. The Man, Jeff Bhasker, Anyma",Time’s a Fantasy (feat. Jeff Bhasker) - Anyma Remix,240060,53,https://open.spotify.com/track/51VlMC9AnJQmZqnAZQjfp5
Shelter,"Innellea, Monolink, CamelPhat",The Belonging,254032,48,https://open.spotify.com/track/2scX5RdL0wByroF3sCBzDX
Lost My Breath,"Semblance Smile, Krevix",Lost My Breath,147692,25,https://open.spotify.com/track/1SKBIqTkG9Bvmcad0KPv7d
Space and Time,Plasmatique,Space and Time,180714,26,https://open.spotify.com/track/3GaCC2mZcGmAIythgDYCMq
Golden State,SKIY,Golden State,175468,38,https://open.spotify.com/track/0WRZuBaMDMw7qmwBeqX1jI
Take Me,"Cosmic Gate, James French",Take Me,151740,39,https://open.spotify.com/track/436Z5brPew5AuCQgvNYDun
Equilibrium,MRAK,Manifesto,216774,44,https://open.spotify.com/track/1dHpI1Y3ztPqvIEcdwTMq5
Echoes of Tomorrow,"Exit Coda, Marius M.",Echoes of Tomorrow,224153,0,https://open.spotify.com/track/2QD1aPMRBvMdWcJ6QV5PR6
Smoke & Mirrors,"Crowd+Ctrl, Alexis Naylor",Smoke & Mirrors,233018,36,https://open.spotify.com/track/7wz0Y3avnjPWY1u8Awzm8P
Downfall,"Innellea, Colyn, braev",The Belonging,236975,54,https://open.spotify.com/track/6MLU9TwtV5mAu7E2pfQEgv
My Soul,"re:boot, Avenue One",My Soul,219523,24,https://open.spotify.com/track/03HJAHjODYmTMeplWnZXvZ
Dark Side - Extended Mix,"RoelBeat, YOUNA (KR)",Dark Side,371803,39,https://open.spotify.com/track/6BTAzmXx15CazI9RWwyDBQ
Mirage,"Ben C, Kalsx",Mirage,216774,26,https://open.spotify.com/track/3Ahm33W5cscVHPMOkaWf3K
Higher State,"Pete K, Peter Illias",Higher State,235578,23,https://open.spotify.com/track/0Hp67scEmglEMzoajy0Tjj
Higher Calling,"Korolova, Julia Sanina",Higher Calling,217380,54,https://open.spotify.com/track/3wZXYxSl00Yp59fvXSvjiC
Parallel Worlds,Fatum,Parallel Worlds,311040,16,https://open.spotify.com/track/65cHcLWcAbeBuveMq1G5Mx
Take Me Over,Hidden Voices,Take Me Over,172983,25,https://open.spotify.com/track/0voQiifJp4q0fpDA0R7o3e
Reach You,"Mesa & Boss, Vorwerk, HALIENE",Reach You,223464,28,https://open.spotify.com/track/556QSw1sgLZyrSuvCSynZG
Beyond Us - Hatshepsut Version,"Eynka, Adriatique",Beyond Us (Hatshepsut Version),234795,49,https://open.spotify.com/track/43eF4GLcpQkzJElhw7kGUj
Another Dimension,CamelPhat,B-Sides,323221,41,https://open.spotify.com/track/6JvxvazbCGARCcZKm8qsCf
Parlez-Vous,Estiva,Parlez-Vous,193548,26,https://open.spotify.com/track/0YmzGMlWrFakKlmQmpEN6m
Running,TH;EN,By My Side,406451,21,https://open.spotify.com/track/1UK6MLsIj7Ioj0BlXl2T8f
Leave You There,"Giuseppe Ottaviani, Lasada",Leave You There,222857,39,https://open.spotify.com/track/0E6kDdBWx45Oc6HFTEv9b4
Pulstar,Armin van Buuren,Pulstar,198571,47,https://open.spotify.com/track/6XMiI90qhXlBXsupK4xIx1
Subterranean,"Miss Monique, AVIRA, LUNA",Subterranean,210731,60,https://open.spotify.com/track/1e21WWJUeqFhZhDuakGkdd
Emptiness,"Fernandez, Silvera, Nemila",Emptiness,308292,28,https://open.spotify.com/track/0YACRUUIHALOcpFbVLIjnd
Shine,TH;EN,Shine,261463,21,https://open.spotify.com/track/3VYXaYVEA1fHvJPWSqNakj
Never Lost,"Achilles, Semblance Smile, Sharon Valerona",Never Lost,167727,27,https://open.spotify.com/track/1ia0SNQ1Scw0kP8G0VdGDj
Mirage,Adam Sellouk,Mirage,260655,34,https://open.spotify.com/track/7ebulpHSffs4Thc0VM0LHv
Risky Business,ZHU,Risky Business,320853,46,https://open.spotify.com/track/75N5R8CeZDyJurQJsoRTx1
Oblivion,"CamelPhat, Massano, Nu-La",Oblivion,219768,50,https://open.spotify.com/track/6nuqo0u5Ex03YMRL0SdyLs
Kronkel,Zonderling,Ondertitel,187741,40,https://open.spotify.com/track/6yXSVOMYIZpyAjWPOgxoJT
Out Of Context,AVIRA,Out Of Context,171006,45,https://open.spotify.com/track/3D7gWaRnr2l7zBpimOXLam
Pale White Rose,"Cristoph, Luke Coulson",FaCet Vol.3,266564,21,https://open.spotify.com/track/2Aq53RTLABACuOAe8ixkVL
Now Or Never (feat. IVERSON),"Anyma, IVERSON",Genesys II,239475,58,https://open.spotify.com/track/5ODOZBqS9a6bRmyWtsBsRt
Fading to Black,Eli Brown,Fading to Black,209763,46,https://open.spotify.com/track/3io0PEtfa1UTBUZn53lU1f
Fool's Paradise - Joris Voorn Remix,"Mees Salomé, Joris Voorn, Celine Cairo",Fool's Paradise (Joris Voorn Remix),285000,54,https://open.spotify.com/track/4SH7CUxlrgvN9vf3oWa05d
