Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Pompeii,Bastille,Bad Blood,214147,80,https://open.spotify.com/track/6fNhZRFEkBfgW39W3wKARJ
Riptide,Vance Joy,Dream Your Life Away,204280,85,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
Counting Stars,OneRepublic,Native,257265,91,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
Take Me To Church,Hozier,Hozier,241688,86,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
Rude,MAGIC!,Don't Kill the Magic,224840,87,https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp
Grenade,Bruno Mars,Doo-Wops & Hooligans,222091,82,https://open.spotify.com/track/4lLtanYk6tkMvooU0tWzG8
We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",Some Nights,250626,82,https://open.spotify.com/track/5rgy6ghBq1eRApCkeUdJXf
All of Me,John Legend,Love In The Future (Expanded Edition),269560,88,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
Stolen Dance,Milky Chance,Sadnecessary,313684,6,https://open.spotify.com/track/6vECYJHxYmm3Ydt3fF01pE
Some Nights,fun.,Some Nights,277040,73,https://open.spotify.com/track/6t6oULCRS6hnI7rm0h5gwl
Rolling in the Deep,Adele,21,228093,4,https://open.spotify.com/track/1eq1wUnLVLg4pdEfx9kajC
Rumour Has It,Adele,21,223266,68,https://open.spotify.com/track/5mFMb5OHI3cN0UjITVztCj
Set Fire to the Rain,Adele,21,242973,85,https://open.spotify.com/track/3di5hcvxxciiqwMH1jarhY
i'm so tired...,"Lauv, Troye Sivan",i'm so tired...,162582,3,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
All I Want,Kodaline,In A Perfect World (Expanded Edition),305746,83,https://open.spotify.com/track/0NlGoUyOJSuSHmngoibVAs
I Feel It Coming,"The Weeknd, Daft Punk",Starboy,269186,81,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
Slow Hands - Acoustic,Niall Horan,Slow Hands (Acoustic),160592,57,https://open.spotify.com/track/3BK5t8Z6AkaeUTdFjehHqy
Somebody That I Used To Know,"Gotye, Kimbra",Somebody That I Used To Know,244884,62,https://open.spotify.com/track/13b3kZAjZGltp76ed4u1m3
Renegades,X Ambassadors,VHS,195200,80,https://open.spotify.com/track/0fYVliAYKHuPmECRs1pbRf
Stitches,Shawn Mendes,Handwritten,206880,12,https://open.spotify.com/track/3zkWCteF82vJwv0hRLba76
Electric Love,BØRNS,Dopamine,218106,83,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
Before You Go,Lewis Capaldi,Before You Go,215106,72,https://open.spotify.com/track/7ce20yLkzuXXLUhzIDoZih
Location,Khalid,American Teen,219080,80,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
Walk,Kwabs,Love + War,214149,68,https://open.spotify.com/track/5T8t1yJwAf6Dr6fIFGPjro
