Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Crow Fisher,"Crimson Child, liam ello",Eleventh Hour,229333,36,https://open.spotify.com/track/42zNw51fDNj1GpRFNlzqqV
Ghostbox,"AWAY, Crywolf",self:antiself,290454,33,https://open.spotify.com/track/0pasNqXDQBVGUVf131BNsI
Ritual,"AWAY, Echos",Ritual,246193,36,https://open.spotify.com/track/25ED1oQWMy32cQh9Dv9BjC
FIMBULVETR,YMIR,FIMBULVETR,233203,36,https://open.spotify.com/track/66ScyH02Wf1ntSSnHihDhN
Parasite,"AWAY, Roniit, Crywolf",Parasite,312899,37,https://open.spotify.com/track/7InqkJxeh2IuGREHrtUplt
Hole in the Earth,"AWAY, Midoca",Hole in the Earth,256012,0,https://open.spotify.com/track/2UXd7o203nuQXQiZRbYCQp
Quantum Immortality - AWAY Remix,"Crywolf, AWAY",Quantum Immortality (AWAY Remix),265000,0,https://open.spotify.com/track/7qgLTSrhVgEylfB3j1t7rX
Sleepwalker (feat. London Thor),"AWAY, London Thor",Sleepwalker (feat. London Thor),250105,0,https://open.spotify.com/track/5nOuzP4xzvm6sDguD1iyyV
Honest To Gød (feat. Charity),"AWAY, Charity",Honest To Gød (feat. Charity),220444,0,https://open.spotify.com/track/6gymPAcwbzfMmMZ9i2XnRK
Porcelain - AWAY Remix,"Skott, AWAY",Porcelain (AWAY Remix),244888,0,https://open.spotify.com/track/6GXuXHyZrYuov3GQaPd7zS
I AM - Shadient Remix,"The M Machine, Shadient",I AM (Shadient Remix),244824,4,https://open.spotify.com/track/1zYedoOKJA05NxHQFKKMhR
Devil,Barren Gates,Devil,176000,59,https://open.spotify.com/track/3lj59hy6FrRDyYNo8Onuud
Taut,náttúra,Taut,226909,20,https://open.spotify.com/track/2o0IoT5DwsKKRqMCTEkjRt
Craving,YMIR,Craving,229565,42,https://open.spotify.com/track/1aJSWXiVgpOMGCZUjLEoLS
Cross,Echos,INTERLUDE SEASON,173250,0,https://open.spotify.com/track/3udVf8SIqVToJHJ9SGn4zN
I Don't - guesst Remix,"Lefty Wingate, guesst",I Don't (guesst Remix),135903,25,https://open.spotify.com/track/438bkztvcwvN0KrFRS6Q7n
