Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Blessings,"Calvin Harris, Clementine Douglas",Blessings,219650,91,https://open.spotify.com/track/78nx0HDJIFD5xDq2L5420Z
Carry Me Home,"Above & Beyond, Zoë Johnston",Carry Me Home,263449,55,https://open.spotify.com/track/0lbDwXKepk4wbsklVuUJMs
Told You So,"Martin Garrix, Jex",Told You So,187031,77,https://open.spotify.com/track/52dEZA0A4siRTuA4e8w3ll
MAGIC (feat. babyidontlikeyou),"Gryffin, babyidontlikeyou",MAGIC,202746,46,https://open.spotify.com/track/7pTC4natqyNBB0EBtdDeYi
Ray Of Solar - Tiësto Remix,"Swedish House Mafia, Tiësto",Ray Of Solar (Tiësto Remix),215652,52,https://open.spotify.com/track/4HfQpalNYBccGOio2lqFbW
Never Letting Go,"Alok, Gryffin, Julia Church",Never Letting Go (feat. Julia Church),122839,58,https://open.spotify.com/track/50aavjIFmj5VB6Cxkcx2X7
One in a Million,"Bebe Rexha, David Guetta",One in a Million,160529,68,https://open.spotify.com/track/3YfGTvsTAWGC2lgoDOikUz
What Took You So Long,"Armin van Buuren, Gryffin",What Took You So Long,211058,61,https://open.spotify.com/track/2YSWJU0HINhi24oH19ALo6
All My Life,"Tiësto, FAST BOY",All My Life,146974,62,https://open.spotify.com/track/3qCCQas6tIP15Yjgu3gl9S
"1, 2, 3 (with Topic)","Oliver Cronin, Topic","1, 2, 3 (with Topic)",131200,48,https://open.spotify.com/track/0ELy9afthy6LVjF43Yw47l
Real Love,"Martin Garrix, Lloyiso",Real Love,163000,57,https://open.spotify.com/track/6afdNrotJ1PCt9DoFiHpLj
GODS,"League of Legends, NewJeans",GODS,220878,75,https://open.spotify.com/track/210JJAa9nJOgNa0YNrsT5g
Jungle,"Alok, The Chainsmokers, Mae Stephens",Jungle,175500,74,https://open.spotify.com/track/0OvO2X2Q3i98dc5RcgEN3x
On My Love,"Zara Larsson, David Guetta",On My Love,222911,68,https://open.spotify.com/track/0dxp7DyPJEo6JhtnjUtBnN
Where Are You Now,"Lost Frequencies, Calum Scott",All Stand Together,149066,4,https://open.spotify.com/track/1JzH2IS7bVWpMkNIJqywaB
Fragments of Time (feat. Todd Edwards),"Daft Punk, Todd Edwards",The Writing of Fragments of Time,279773,33,https://open.spotify.com/track/7J9Vmy8RXPFY88reizJEwa
Mirage - for Assassin's Creed Mirage,"OneRepublic, Assassin's Creed, Mishaal Tamer",Mirage (for Assassin's Creed Mirage),133183,57,https://open.spotify.com/track/7bgIcSp0Nd3qfHqwxQplzW
Falling Apart,"Besomorph, Treetalk",Falling Apart,161727,25,https://open.spotify.com/track/7aDxQPHQmH5YZGf9yxIRnn
Without You,Alesso,Without You,143440,49,https://open.spotify.com/track/4NH496Sf2JEOvDRxEuIBc4
In The Rain,ODESZA,In The Rain,239441,50,https://open.spotify.com/track/0fR8y0bMqFn0mDdZoksk7N
Mexico,"Dimitri Vegas & Like Mike, Ne-Yo, Danna Paola, Dimitri Vegas",Mexico,153109,54,https://open.spotify.com/track/6yTaG6eJDi6T0VSawfMTQy
When You Know,"Cheat Codes, Matt Stell",When You Know,178994,34,https://open.spotify.com/track/2OPTHrQqFQRrFcrl1p9DXA
Here We Go Again,"Oliver Tree, David Guetta",Here We Go Again,164541,56,https://open.spotify.com/track/3WsbAGQt6HgTj9kg6f466M
Weekends,"Jonas Blue, Felix Jaehn",Weekends (Remixes),127003,30,https://open.spotify.com/track/1poJl26FTAjXzZtxhJxPCI
Good Feeling,"Duvall, Sam Gray",Good Feeling (VIP Mix),169440,47,https://open.spotify.com/track/66U7ONHIJtYcvctBuc6yCe
All By Myself,"Alok, Sigala, Ellie Goulding",All By Myself,171747,69,https://open.spotify.com/track/5Hp4xFihdOE2dmDzxWcBFb
Damn (You’ve Got Me Saying),"Galantis, David Guetta, MNEK",Damn (You’ve Got Me Saying),195268,46,https://open.spotify.com/track/5RVjB86R02f47lCZSPFOzj
Bets On Us,"Cheat Codes, Dolly Parton",Bets On Us,180959,40,https://open.spotify.com/track/1AZEKyJQKVucfisCqKO1Nk
Heart Wants What It Wants - MK Remix,"Bebe Rexha, MK",Heart Wants What It Wants (MK Remix),220916,28,https://open.spotify.com/track/5Mm3kAVo1cDWwdiciiwsJP
Hero,"Martin Garrix, JVKE",Hero,160714,61,https://open.spotify.com/track/4Wu62DoQg1ECGlDKDfo30R
Hey (I Miss You),"Armin van Buuren, Simon Ward",Hey (I Miss You),199522,30,https://open.spotify.com/track/5VIZnHRkpfZB9f4KoKomBx
One More Time,"Armin van Buuren, Maia Wright",One More Time,148095,41,https://open.spotify.com/track/1lXyxleB814ehGUXzsWNXu
Rely On Me,"Sigala, Gabry Ponte, Alex Gaudino",Rely On Me,174585,46,https://open.spotify.com/track/0x381izXRwXLdOTe1diiPS
Summer Jams,"Blasterjaxx, Henri PFR, Jay Mason",Summer Jams,137149,45,https://open.spotify.com/track/3W3v72EKmAfAiuJm9BDi9b
Woke Up in Love,"Kygo, Gryffin, Calum Scott",Woke Up in Love,216873,67,https://open.spotify.com/track/21H0pUV2uPIPcFnFhgTBjo
Wish It Was You,"Audien, Cate Downey",Wish It Was You,192000,58,https://open.spotify.com/track/3Dr0xDJwXy6JkiHNJfv5zd
I Remember,"Cheat Codes, Russell Dickerson",I Remember,168117,49,https://open.spotify.com/track/5e2ZOmiFEAOFEgXNj1mHEk
Move On,"Ekko City, Movada, Mokita",Move On,170443,21,https://open.spotify.com/track/6iwZqyJ1C47NLvufzGkTLM
Too Late For Love,3LAU,Too Late For Love,162295,35,https://open.spotify.com/track/5AnFltV45uUTHmRIzHvzUh
Day Or Night,"Poylow, Devinity, Raïko",Day Or Night,126428,13,https://open.spotify.com/track/1B8TGxh4BVZT95s2cLaOaB
Worlds On Fire (with R3HAB & Au/Ra),"AFROJACK, R3HAB, Au/Ra",Worlds On Fire (with R3HAB & Au/Ra),174193,46,https://open.spotify.com/track/7grzdNt3eQRiBC70GksRp1
Suspicious,"FWLR, BRDGS",Suspicious,207475,38,https://open.spotify.com/track/1ny5YsFHhEA9UgP0HIAPMm
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",Potion (with Dua Lipa & Young Thug),214459,67,https://open.spotify.com/track/7fYRg3CEbk6rNCuzNzMT06
Bed (with KSHMR),"Henri PFR, ROZES, KSHMR",Bed (with KSHMR),163587,32,https://open.spotify.com/track/0pSXNXGW3vgPEaNFgpqV4m
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",Moth To A Flame,234000,10,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
Stars In The Sky - From Sonic The Hedgehog 2,Kid Cudi,Stars In The Sky (From Sonic The Hedgehog 2),185668,62,https://open.spotify.com/track/0WFOl7P9gowO92fuI0eJIZ
Back Again (with Loote),"Cheat Codes, Loote, emma løv","HELLRAISERS, Part 3",181301,31,https://open.spotify.com/track/4vztjHvge0Yg8HIJpIB3Q0
Afraid of Love,"Cheat Codes, Stondon Massey",Afraid of Love,151515,30,https://open.spotify.com/track/36bE2OPOL9wwxAuFEjigbZ
How Do I Make You Love Me?,The Weeknd,Dawn FM,214214,69,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ
Sweet Dreams & Dynamite,"Seeb, Nina Nesbitt",Sweet Dreams & Dynamite (The Stickmen Project Remix),161929,10,https://open.spotify.com/track/2LhLhN0CpWYjggVSE2xNDI
Never Been Hurt,"Krewella, BEAUZ",Never Been Hurt,195744,27,https://open.spotify.com/track/3bLjBb5uptTAIAub1dUtkE
You Were Loved (with OneRepublic),"Gryffin, OneRepublic",You Were Loved (with OneRepublic),221885,51,https://open.spotify.com/track/4W1JavoraGzh83nluQHY6C
Sacrifice,The Weeknd,Dawn FM,188918,73,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
Reforget (feat. Violet Days),"Cash Cash, Violet Days",Say It Like You Feel It,208917,32,https://open.spotify.com/track/6pQ5OouO6NwU7gjM8kTJvt
Stupid Feelings,"220 KID, LANY",Stupid Feelings,166924,57,https://open.spotify.com/track/7iUB3byx9Rcks8zW10JVkP
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) [from the series Arcane League of Legends],173381,78,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
U Are My High (with Future),"DJ Snake, Future",U Are My High (with Future),211200,76,https://open.spotify.com/track/0ITaSRuI0L1RNL7ZNYTTi7
"Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie)","David Guetta, Bebe Rexha, Ty Dolla $ign, A Boogie Wit da Hoodie","Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie)",158994,55,https://open.spotify.com/track/0HLhptvI8NozbOHRLNniFz
"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey, Polo G, Mozzy, Eminem","Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]",257368,66,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
I Wish (feat. Mabel),"Joel Corry, Mabel",I Wish (feat. Mabel),181728,59,https://open.spotify.com/track/0YORgvqP1MotwCnDZzOwII
Take My Breath - Single Version,The Weeknd,Take My Breath,220196,58,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
How Do You Love,"Cheat Codes, Lee Brice, Lindsay Ell",How Do You Love,210438,47,https://open.spotify.com/track/6deDpxfbapjMLgHoaNuAx6
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",F*CK LOVE 3: OVER YOU,141805,13,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
