Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Lose Control - Technimatic Remix,"Seba, Technimatic",Lose Control (Technimatic Remix),301914,20,https://open.spotify.com/track/1OiFADO47VXitbb6x0ALnQ
We Dream In Ultraviolet,Mob Tactics,"Beyond the Circus EP, Pt. 3",228764,13,https://open.spotify.com/track/0O1Y650sR22H0WWat1ei0o
Introspection,Artino,Introspection,248275,25,https://open.spotify.com/track/3mqU1xRPe2evAeY9SVzc2s
Face To Face Again (The Joy) - Seba Remix,"Kirsty Hawkshaw, Seba",Face To Face Again (The Joy),384398,36,https://open.spotify.com/track/0zLtlhG9ael9NXiugonW7k
Cold,"Audien, Fred V, Oaks",Cold,145116,47,https://open.spotify.com/track/5Hp4Q5prxVLlWi0GcUApIM
Twilight,"Gray, A Little Sound",Twilight,207558,59,https://open.spotify.com/track/2ezzmll94GbaXehnUx6j2h
Holding On,Aeden,Holding On,164571,38,https://open.spotify.com/track/4iBXsLZwRBV2qwiz29s5by
Make It,"Murdock, Aleya Mae",Make It,198139,22,https://open.spotify.com/track/0V5YAFMgVe5fi5flC8n5cZ
Not Even Love - MUZZ Remix,"Seven Lions, ILLENIUM, MUZZ",Not Even Love (MUZZ Remix),191234,48,https://open.spotify.com/track/4C6BVbsJTydFx5moRR71Q3
From The Start,Peter Lix,From The Start,244827,35,https://open.spotify.com/track/0f86FA3XZIJxj5NWlyGKzX
Take Me Up,Kanine,Take Me Up,215327,44,https://open.spotify.com/track/0nkATAigYa0AvFFihj6cb1
Magnetize,Audioscribe,Magnetize,275862,37,https://open.spotify.com/track/5Cqzp9lLkwo17ayc7sUNte
Where Do We Go (feat. Poppy Baskcomb),"Dimension, Poppy Baskcomb",Where Do We Go (feat. Poppy Baskcomb),204137,60,https://open.spotify.com/track/3ho2d1iFlzRwsCBQJ4QNGv
Disconnect,"Becky Hill, Chase & Status",Disconnect,164914,66,https://open.spotify.com/track/602d2gJewoiF1FivuOMMwE
Before You - goddard. Remix,"BCee, goddard., Charlotte Haining, Emba",Before You (goddard. Remix),187586,52,https://open.spotify.com/track/4Ow9QWuxBbjB29FnLka9dp
Stranger,Ripple,17 Years of Mainframe,270348,26,https://open.spotify.com/track/0ZhtzPsPmF3ibamQrRCUuS
Lose This Feeling - Dimension Remix,"Armin van Buuren, Dimension",Lose This Feeling (Dimension Remix),190344,60,https://open.spotify.com/track/5f69wzvle0b9ColR7wuvEK
Lonely,"ÆON:MODE, Bertie Scott",Lonely,273103,41,https://open.spotify.com/track/3GUWJzkXw4nCkRvKXT1XkV
Chase The Sun,Koven,Chase The Sun,189655,64,https://open.spotify.com/track/7kE5SGVpogBX5VXiTgYiRg
