Track Name,Artists,Album,Duration (ms),Popularity,Track URL
SEE YOU DROP,Ray Volpe,SEE YOU DROP,157600,58,https://open.spotify.com/track/7hBUvEg6V9TQPZgLie2krb
Abduction Beam,Friendly Fire,Take Me Home,149077,1,https://open.spotify.com/track/3XTCt5fprEn7oW86aMUXx4
STFU,Crankdat,STFU,156924,57,https://open.spotify.com/track/0v1nobrUSVLIXrYaI4zwkw
Power (feat. Grabbitz),"Subtronics, LEVEL UP, Grabbitz",Power (feat. Grabbitz),176000,52,https://open.spotify.com/track/3OPcGN44zYI7eg1OwHrSD0
Codename: Reckless,"Excision, Sullivan King",Codename: Reckless,162619,46,https://open.spotify.com/track/5nzkugYDvjKKGeXC6kD94W
Turmoil,"Blanke, Au5",Emergence,212571,27,https://open.spotify.com/track/2oJxVoQI9QxXRt8EYN8mEA
Reckless,Sullivan King,Show Some Teeth,203586,35,https://open.spotify.com/track/6zEVLIOWwALmVyXCJz5FWM
Sploinky Dub,"Subtronics, Grech",Sploinky Dub,171428,55,https://open.spotify.com/track/0b8WrzU0hzr5WH2uEpMlcL
Ding Dong,Crankdat,Ding Dong,177656,54,https://open.spotify.com/track/4pRnMMMzvjj9uqMZa0YO7U
Kneel Before Me,"SLANDER, Crankdat, Asking Alexandria",Kneel Before Me,201600,53,https://open.spotify.com/track/0qwMoAstkTXlWE8lQJBRzY
Control (VIP),Blanke,Control (VIP),148000,23,https://open.spotify.com/track/5eArnEgajdFzbJxYWiYNZN
Only Star You See (feat. Caitlyn Scarlett),"Subtronics, Caitlyn Scarlett",TESSERACT,189942,39,https://open.spotify.com/track/3McZz3bGXpCps2TCIeHfh3
Gassed Up,"Zeds Dead, Subtronics, Flowdan",Gassed Up,238285,55,https://open.spotify.com/track/6uwjDA0Qi6hk8C6lPJIMc9
I'll Wait For You,"Seven Lions, Subtronics, Skylar Grey",I'll Wait For You,205241,25,https://open.spotify.com/track/1CI8Jvisq21AKQsFHHOWbI
On Repeat,"Flux Pavilion, Wooli, Cammie Robinson",On Repeat,244965,0,https://open.spotify.com/track/4a83gGp7WNs0UzwzKPCY4C
Asteroid,"Subtronics, Excision",Asteroid,243200,44,https://open.spotify.com/track/3twU0ngWzakD9k07Kb5eoV
Sunshine,"Seven Lions, Wooli, VARGEN",Sunshine,198000,55,https://open.spotify.com/track/1AavLJdHNs4ZduRV0YLXmu
Runaway (U & I) - Subtronics Remix,"Galantis, Subtronics",Runaway (U & I) [Subtronics Remix],208000,52,https://open.spotify.com/track/0yz6PylgDjlUDkOZayhwOs
ACHROMATIC (YOI),Deathpact,MIDHEAVEN: OPUS 01,175135,36,https://open.spotify.com/track/59VLB2PliEAlylSbCdH7Xa
Insidious,"Subtronics, Grabbitz",Insidious,241632,36,https://open.spotify.com/track/0KlN0Cyk1wZA1kwFWJVZtN
Hydraulic,Dimension,Automatik / Hydraulic,264827,13,https://open.spotify.com/track/4SsM615kcZ4Wt2CuCmRjCe
COUNTRY RIDDIM,HOL!,COUNTRY RIDDIM,177931,48,https://open.spotify.com/track/1dayiIC3odxNLViFQ7Iq4W
Next Shot,"12th Planet, Vulgatron",Next Shot,200000,26,https://open.spotify.com/track/450ieMdH9byHoYTXfx8ORV
Restraint,"Wooli, Calcium",Restraint,143673,50,https://open.spotify.com/track/4e4f0d6zswn0ZzqoZ14G8M
Bounce,"VESK GREEN, Pegboard Nerds",Bounce,204871,26,https://open.spotify.com/track/6damJkZsW0f3eNNAABd0NI
Welcome to the Playhouse,"Steve Aoki, Shaquille O'Neal, DJ DIESEL",Welcome to the Playhouse,188571,0,https://open.spotify.com/track/1qXTtWP0sNcePb3tT2eHWL
Mind Control,Eliminate,Mind Control,220900,0,https://open.spotify.com/track/2rQcVxvZfI3Zgog9sn03sn
Fall Apart,"Sullivan King, Excision",Fall Apart,320853,0,https://open.spotify.com/track/5put6ich4wtW7pZXb1Jore
Song Of The Year,"Kill The Noise, Wooli",Song Of The Year,133714,43,https://open.spotify.com/track/0lwjrh66nXwlyfsHtoA0Xe
No One Does It Like,"Subtronics, Alison Wonderland",No One Does It Like,186400,54,https://open.spotify.com/track/3tX4wGJbMYgNGZC0Tr5V3t
Our Fire,"Excision, Sullivan King",Onyx,259401,43,https://open.spotify.com/track/2EgXhbQ9SliIgqWbB4JYHW
BOSS FIGHT,HOL!,BOSS FIGHT,167176,50,https://open.spotify.com/track/4LLfFnU48vESdgSHR7WeqR
Level 9,Mport,Level 9,211862,35,https://open.spotify.com/track/12PWF0VkkfAtmMKGWMhufd
Power,"Kompany, Blanke",Power,206897,5,https://open.spotify.com/track/1nmuZI2wKNBEyqXkDIDN91
Belong - VIP,"WE ARE FURY, if found, Stirling",Belong - VIP,199090,8,https://open.spotify.com/track/7id7EaUAIsoc1nXglmxXSc
Vessel,"LEVEL UP, Michael Swank",SHADOW SYMPHONY,155200,51,https://open.spotify.com/track/5Z5fBGwWP4x0mYCmchLpc1
