Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Summer Nights (feat. emma løv & Loote),"Taska Black, emma løv, Loote",Summer Nights (feat. emma løv & Loote),144230,25,https://open.spotify.com/track/2DOySVSvMKh95vZpIfcaWM
Another You,"Namic, Anna-Sophia Henry",Another You,153970,40,https://open.spotify.com/track/3G2XO4Ax0Wbv5s83cLqLFa
This Is What It Feels Like,"&friends, Phina Asa",This Is What It Feels Like,256002,35,https://open.spotify.com/track/02QT7nMw5X1lfjs68JWhpk
Forbidden Love (feat. Jessica Chertock),"Behmer, AMBERLIND, Nathassia, Jessica Chertock",Forbidden Love (feat. Jessica Chertock),149513,19,https://open.spotify.com/track/7DJeOcXvGXbngyKrnBiI4r
Eternity,"Timmy Trumpet, KSHMR, Bassjackers",Eternity,135428,58,https://open.spotify.com/track/3aNxfCcd9EohIxKmcQv1zn
My Best Self - My Version,SYML,My Best Self (My Version),185823,36,https://open.spotify.com/track/5X4yctLJrSn9ZXK3B0PWeT
My Love,"Arman Cekin, MUNZUR, Crooked Bangs",My Love,148837,15,https://open.spotify.com/track/7Lk7d7nbtmqyT6GFJ4gnia
Head Down,"Lost Frequencies, Bastille",Head Down,173888,67,https://open.spotify.com/track/7v4lL0VxQV8yTv29Tpf2sH
Own Way (feat. Janieck),"ZHANGYE, Janieck",Own Way,154651,39,https://open.spotify.com/track/0tkKHC24Rt6FRRBQO0tobO
Summer Jams,"Blasterjaxx, Henri PFR, Jay Mason",Summer Jams,137149,45,https://open.spotify.com/track/3W3v72EKmAfAiuJm9BDi9b
So High,"Arman Cekin, MUNZUR, ZADI",So High,152761,21,https://open.spotify.com/track/2d2DsIyuJD3a05Ux3zlb9Q
Anywhere's Home,KSHMR,Anywhere's Home,177436,35,https://open.spotify.com/track/5XZZE1pniUcNCFHgDIdFnZ
Gravity,"The Him, Georgie Keller",Gravity,150000,31,https://open.spotify.com/track/0oixvwgoGm4wV8go7pK2zJ
Drive Away,Krewella,The Body Never Lies,240000,37,https://open.spotify.com/track/408UEGA6FV2nvQjr1nt1VT
Traces Of You,Nytrix,Traces Of You,169687,0,https://open.spotify.com/track/1V0mxw6kWF2edrzAE97I4g
Behind My Eyes (feat. Heleen),"BEAUZ, Heleen",Behind My Eyes (feat. Heleen),177096,24,https://open.spotify.com/track/3P4mnGNvg67iOnqs3Y2tm7
You're the One for Me - Digital Farm Animals Remix,"Great Good Fine Ok, Digital Farm Animals",You're the One for Me,269999,14,https://open.spotify.com/track/5T2iobXGYEI9TdrJ4Du6QN
feeling,Conro,feeling,186000,19,https://open.spotify.com/track/5mdCX1AXoc8EDupVjAn581
Leyla,Mesto,Leyla,181810,44,https://open.spotify.com/track/4pEylyftELdaYfRROnRhFs
Double Take,"Taska Black, Jess Benko",Double Take,217012,16,https://open.spotify.com/track/2MeYJoeNrn1tce5ttwmFWc
Pieces,"Arman Cekin, Eddy Pop",Pieces,169687,15,https://open.spotify.com/track/1X1D1zEmahgamV2ay97q2r
Get With Nobody (feat. Baimz),"KSHMR, Baimz",Get With Nobody (feat. Baimz),199200,32,https://open.spotify.com/track/0gqKw1OIuiSC9Ad6QVWXAK
