Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Beautiful Lies,"Christina Novelli, Bo Bruce",Beautiful Lies,175250,14,https://open.spotify.com/track/0WGdNtjtpoaIivovE0K5HJ
Slice Me Nice '98 - Radio / Video Version,Fancy,Slice Me Nice '98,233466,36,https://open.spotify.com/track/7vOW4KgnNB5B83aEBPBUCa
Genre Police - DJ Edit,"S3RL, Lexi",Genre Police (DJ Edit),271500,23,https://open.spotify.com/track/478qaxBBB2vQ38ncJuWJkd
Think About the Way,Ice Mc,Ice 'n' Green,260973,70,https://open.spotify.com/track/2foOeJLKSvepjHEkb4NR8N
On & On - Original Mix,Paffendorf,On & On,414047,0,https://open.spotify.com/track/5wnCHAjVbfwGk6HUzMxxMF
It's That Time - Edit,"Marlon Hoffstadt, DJ Daddy Trance",It's That Time,153469,43,https://open.spotify.com/track/72qcP3hwdqa8NkVxSCpYjm
Music Is My Suicide - Radio Edit,"Eufeion, Denile",Music Is My Suicide,181411,37,https://open.spotify.com/track/7556l6YgMDmh1eIFdwdOS4
DotA - Radio Edit,Basshunter,LOL (International version),200560,51,https://open.spotify.com/track/4fdupd1cxNJtzqlBsd4sew
Sitting Down Here,AXMO,Sitting Down Here,133102,58,https://open.spotify.com/track/1yjwPwIBoJJfBCPfeOwyBK
Money On My Mind,"Blasterjaxx, Sofiloud",Money On My Mind,133691,41,https://open.spotify.com/track/7C7XVzOXWx0vdOlS7D2ieH
Fly High,Me & My,Fly High,272000,50,https://open.spotify.com/track/29WTMnk0vsnapB0FaLDfGM
Heaven,"DJ Sammy, Yanou, Do",Heaven,235000,66,https://open.spotify.com/track/0KT6DLAELYSbgfUemzwGPX
Take Me Away (Radio Mix),Danceboy,Dance EP,262397,0,https://open.spotify.com/track/5XE7R9ODvuAwf7sndbi61k
Caramelldansen - Radio Mix,Caramella Girls,Caramelldansen,176280,51,https://open.spotify.com/track/6mYdf1QFsQDNFRj6siQowA
Mr. Vain Recall - Radio Edit,Culture Beat,Mr. Vain Recall,213413,0,https://open.spotify.com/track/0rgDeZUzMpOJ1TlmyXWt7b
Ritmo De La Noche (Vamos A La Playa),"W&W, AXMO",Ritmo De La Noche (Vamos A La Playa),171555,70,https://open.spotify.com/track/3APyTiWzqQtT8vd0kRz6lo
When You Leave (Numa Numa) - Basshunter Radio Mix,Alina,When You Leave (Numa Numa) [Basshunter Radio Mix],199133,38,https://open.spotify.com/track/3vxZAcUaJsz47IZzET4MeQ
L'Amour Toujours,Gigi D'Agostino,L'Amour Toujours,242053,80,https://open.spotify.com/track/52LJ3hyknOijCrE5gCD0rE
Still Lonely - Grooveriders Radio Edit,Deep.Spirit,Still Lonely (Edition One),201939,23,https://open.spotify.com/track/7zskxpW0TK2laexcQ5putJ
Dirty Disco Freak (Original Version),Rock the Sexy,Dirty Disco Freak,192380,33,https://open.spotify.com/track/3o5p5tN5MMCOG3GoSvduXt
Last Summer - Gammer Remix,"Tokyo Machine, Weird Genius, Gammer, Lights",Last Summer (The Remixes),188260,31,https://open.spotify.com/track/1ehoC9cuZGPhzUu4yPb9ur
Stereo Love - Original,"Edward Maya, Vika Jigulina",Stereo Love,247853,70,https://open.spotify.com/track/4rCDfKjSS4KZk6hMB9epXh
Welcome To The Club,Manian,Exit Trance Presents Super Aerodynamic,286984,21,https://open.spotify.com/track/5d16cFmVG4ovgRgBH3A5kT
Dam Dadi Doo - Single Edit,Fantasy Project feat. NDA,Dam Dadi Doo,206115,41,https://open.spotify.com/track/3wc1Bd0j9N7QeMFO97PKwe
Big Bad Love (Cascada Remix Short),Springbreak,Big Bad Love,205095,34,https://open.spotify.com/track/69zPebb5St4FFkw3Qzksht
Eurodancer,Mangoo,Eurodancer,195239,58,https://open.spotify.com/track/3mmpv5Tn2YJPimEK02Tk1H
Everytime We Touch,Cascada,Platinum,197124,66,https://open.spotify.com/track/5aEqcblO0Z6JloFJXtxyhe
Axel F,Crazy Frog,Crazy Frog presents Crazy Hits,171739,74,https://open.spotify.com/track/0Bo5fjMtTfCD8vHGebivqc
Moonlight Shadow - Radio Edit,Empyre One,Moonlight Shadow,209822,43,https://open.spotify.com/track/23Hf54LXsHHP9QUsojxCwB
Dj Play This Song - Marc Korn Hands Up Radio MIx,Palm Springs,Dj Play This Song,221869,34,https://open.spotify.com/track/5umLpJM8A6j1zxSwkUWgkA
Castle In The Sky,DJ Satomi,Greatest hits,240600,0,https://open.spotify.com/track/3KM838g5Jcre3wA8fwfEiB
Better Off Alone,Alice Deejay,Who Needs Guitars Anyway?,214883,13,https://open.spotify.com/track/0pMUR7Uvp6vxlbG0qBFvgM
The HampsterDance Song,Hampton The Hampster,Hampster Dance - The Album,212880,58,https://open.spotify.com/track/0ouSkB2t2fGeW60MPcvmXl
Move It Up,Cappella,The Remixes,234373,44,https://open.spotify.com/track/6qc6VSMI4TTVCnUn7mG8Ot
All I Ever Wanted - Radio Edit,Basshunter,Now You're Gone - The Album,176453,72,https://open.spotify.com/track/2PTvik6EqPAIYOclAB3SU8
To the Stars,La Cube,90 Degrees,263870,22,https://open.spotify.com/track/1fJDDHFvVH8xZ07JdUMLaw
Turn Me On - Original Edit,Alex Megane,Turn Me On,186746,8,https://open.spotify.com/track/0mYnDvaYwTAqd7k9zhbQ6R
Ravers in the UK - Video Edit,Manian,Ravers In The UK,200569,22,https://open.spotify.com/track/1RnjHzw4n3Obqk2DKFh3A0
Listen to Your Heart - Furious F. EZ Radio Edit,"DHT, Edmée, Furious F.",Listen to Your Heart,230266,37,https://open.spotify.com/track/40z33853NCAswhJP5yBAor
