Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Have It All,"Vikkstar, RetroVision, Dyson",Have It All,176363,45,https://open.spotify.com/track/6hR4plghLBRSbXEf2wNvsX
Remedy,Maliboux,Remedy,155625,25,https://open.spotify.com/track/1A7abr0cUK9WZRO4AjT0UQ
When It All Comes Together - Chris Later Remix,"Marc Benjamin, Simon Erics, Chris Later",When It All Comes Together (Chris Later Remix),179531,20,https://open.spotify.com/track/4PQz5Gi3Yep18hDJu3cof4
Sweet Mistake,"Deekey, DANÊL, Solina",Sweet Mistake,158095,5,https://open.spotify.com/track/1eMlgW7qh9HvFsnjKGd9Gv
This Far,"Raven & Kreyn, Nino Lucarelli",This Far,156666,31,https://open.spotify.com/track/6PkKurSb7VXLXwZQdjF79f
Sing For You,Raven & Kreyn,Sing For You,159375,29,https://open.spotify.com/track/6LlkK8kG5sOLdd9DXRnDnN
Islands,Aiobahn Deejay,Islands,185624,25,https://open.spotify.com/track/3dvNLvTMqkGyfTYHyjyk7q
Alone With You,"Tungevaag, RetroVision",Alone With You,154545,29,https://open.spotify.com/track/3V1XM5IEWW34oUHBBXBjq8
Don't Wait (feat. Claudy),"Mesto, Dastic, Claudy",Don't Wait (feat. Claudy),189375,29,https://open.spotify.com/track/23HMUGs9lD16G1bBgfvDJw
Flowers,"Dirty Palm, Conor Ross, Chandler Blasé",Flowers,198805,0,https://open.spotify.com/track/4YSwZjx96DxUOzy20ngyvH
Waiting For Love,"Brooks, Alida",Waiting For Love,157500,42,https://open.spotify.com/track/5e9lzDRWdQR6gGHjiTcg4M
Red Alert,Jay Hardway,Red Alert,146666,26,https://open.spotify.com/track/6B1Xql8uRhqYfdpb2M769e
Ambush,"Mike Williams, Robbie Mendez",Ambush,167619,23,https://open.spotify.com/track/3MjhqvELJKX433TQS2zsQF
One Night (Loneliness),"Brooks, Moore",One Night (Loneliness),177729,35,https://open.spotify.com/track/4tEAgr78M6nurPLWyx8Msq
So Close,"Justin Mylo, Vluarr",So Close,153779,33,https://open.spotify.com/track/1qGh2bxfvGp0tbUUz3AxUO
Taste Like,"Dropgun, Crushed Candy",Taste Like,142500,12,https://open.spotify.com/track/3rB4nVhqdP5P3czVwN3sZT
Miss You,"eedion, Jonny Oski",Miss You,167485,5,https://open.spotify.com/track/528h7yZtWIJHlQ6hAKWycF
Worth It,"Aiobahn, jeonghyeon",Worth It,227317,14,https://open.spotify.com/track/30LHsv6DsHkcE0cEASJHll
Make It Right,Mainday,Make It Right,172500,0,https://open.spotify.com/track/0pp6PryFhsA4bkJQZ2rtJq
Harmony (feat. Xillions),"Mike Williams, Xillions",Harmony (feat. Xillions),154687,44,https://open.spotify.com/track/3pfFewDjOS8qWeffxjALA2
Nobody Else - Mo Falk Remix,"HUTS, Sam Tinnesz, Mo Falk",Nobody Else (Remixes),141006,19,https://open.spotify.com/track/1bUiQxVkHM4JFukraY93pb
Feel So Gud,Mo Falk,Feel So Gud,146567,30,https://open.spotify.com/track/11Z2OZ1KlRfi8g0SX3KKc6
In Your Arms,"Aiobahn, Ralph Larenzo",In Your Arms,187500,0,https://open.spotify.com/track/5ypWHAYnaYk9a9wnLnb6BZ
The One I See,CVBE,The One I See,155624,31,https://open.spotify.com/track/1f3T8MOfcRRmX2Agu6DCDW
Bubble,Raven & Kreyn,Bubble,174843,0,https://open.spotify.com/track/2cEpZegmyaOrQ31sWvWJbe
The Taste,ellis,The Taste/Orbit,182000,47,https://open.spotify.com/track/5GgiDYTRlUqnl0v0kCSgeH
Who Are You,"AAfrAA, Up&Down",Who Are You,169523,6,https://open.spotify.com/track/3yiGmQo55fHiQMHB40IOfN
Numb,"Blackcode, Karl Sylver, Alessa",Numb,189609,0,https://open.spotify.com/track/5Tx7m9cVpOHkh4PDViEyAK
Silence (feat. Trove),"Julian Calor, TRØVES",Silence (feat. Trove),169568,38,https://open.spotify.com/track/2M37iQ4sao74y4ISOGPthr
Something - RetroVision Remix,"Funk Machine, Taku-Hero, RetroVision",Something (The Remixes),200952,0,https://open.spotify.com/track/0CSD00WpFz5Q8XlYowNHwK
Figure It Out,Dastic,Figure It Out,220952,19,https://open.spotify.com/track/4tDKX3UBsTLoMwKNZlJosE
Jetlag,"Mike Williams, Brooks",Jetlag,142520,40,https://open.spotify.com/track/5HVWA8Jm07fwuU1b9B0W3T
Feel Alive,"Jack & James, Distrion",Feel Alive,170617,0,https://open.spotify.com/track/7F5fy8py8jbzCLxPfIt7dF
Sanctuary,"Dropgun, BassRox",Sanctuary,158095,24,https://open.spotify.com/track/4fzxU77PX9TjP8rJbvxDF2
Hold On,Crunkz,Hold On,185629,29,https://open.spotify.com/track/729nZqGl2gvnYulgWCrwrX
Find Our Way (feat. Chandler Blasé),"Dirty Palm, Chandler Blasé",Find Our Way (feat. Chandler Blasé),197500,25,https://open.spotify.com/track/2bEjR5R9lkfBBOXlCOR45h
Need U Now,ellis,Need U Now,192574,23,https://open.spotify.com/track/5J0OitgsfQXRwxES9260gE
Maybe You,Siks,Maybe You,163384,19,https://open.spotify.com/track/2NlJTAER6NomVC4lfpLoX1
Summer Love (feat. Erich Lennig),"Lucas & Steve, RetroVision, Erich Lennig",Summer Love (feat. Erich Lennig),156908,33,https://open.spotify.com/track/7DG7wIZsVJKeQcaWNuhstl
Over Life,"Distrion, Jack & James",Over Life,170617,0,https://open.spotify.com/track/1rsTHyG01PGFX7x51Ljany
I Need Love,"Debris, Justin Petti, Veronica Bravo",I Need Love,200660,0,https://open.spotify.com/track/5jFQdUWcdcdEoGO615DeYi
Next Level,Conor Ross,Next Level,201140,18,https://open.spotify.com/track/453JKdL2yApJWdgNDYekNy
Save Me,"Jay Hardway, Mesto",Save Me,154233,35,https://open.spotify.com/track/1wIwGUO8UIwO5cj545sCso
Lowly - BEAUZ Remix,"Sagan, Sam Russell, BEAUZ",Lowly (BEAUZ Remix),180656,19,https://open.spotify.com/track/4jcA2TmliOP3EPtPFEmhTy
A Little More Like You,Dropgun,A Little More Like You,169218,29,https://open.spotify.com/track/5lsGkDRsE3gko5pt0xOnA1
The Way,Trevor Omoto,The Way,204889,6,https://open.spotify.com/track/0lUILcz1rv7jWT1DHV7k1c
Obscure,Domastic,Obscure,186562,21,https://open.spotify.com/track/6hmD4PR6RvE863vhmAQXBZ
It Ain't Over - RetroVision Remix,"Funk Machine, Taku-Hero, BullySongs, RetroVision",It Ain't Over (The Remixes),209017,0,https://open.spotify.com/track/3MzAcaweDtarP2pnDTAQB7
Your Love,Dirty Palm,Your Love,195044,0,https://open.spotify.com/track/0An3TyNpF86sYw3ilCjlfa
Back In Time,"Jordan Jay, Mo Falk",Back In Time,164062,22,https://open.spotify.com/track/4cGZrjWI68DGObRVxquLgs
Ready For Ya,"Sickrate, Rentz",Ready For Ya,194285,23,https://open.spotify.com/track/6prj6omSB0nwrcLKi0j9Bs
Chakra,Jay Eskar,Chakra,159619,16,https://open.spotify.com/track/0DkCmT804jxW3tIKupdgxo
Open Road (Panda Bounce Mix),"CALVO, Agatino Romero",Open Road (Panda Bounce Mix),200000,24,https://open.spotify.com/track/7HZlDWO0W5Uy0UpIi4G4yR
Ring The Alarm,"Jonth, Aeden",Ring The Alarm,157500,18,https://open.spotify.com/track/5L4ZajxrtcwHfvhmw42cSb
Don't Need You,Facading,Don't Need You,171428,0,https://open.spotify.com/track/5nKoSBxQq2yIkJkXXaFYdB
Where To Be,"Aeden, HKLMR",Where To Be,184381,0,https://open.spotify.com/track/5jojPKDxnshDhX4T1OFmBe
Voices (feat. TZAR),"Brooks, KSHMR, Tzar",Voices (feat. TZAR),192197,41,https://open.spotify.com/track/7aAWrDRy3T52A95bDNfdlO
Rush,Morgan Phillips,Rush,160352,0,https://open.spotify.com/track/1vyEvL9WIEHaSke1sX2Z1a
Another Way,Jesper Klix,Another Way,132773,0,https://open.spotify.com/track/4HpvSkWORZgVRp47GKMbis
Save My Heart,"Amir Sohrab, MONA",Save My Heart,206254,1,https://open.spotify.com/track/3lofDP0QQ7bPOmvuE4ALXJ
Leave Me Again,"Madistt, Jay Ancor",Leave Me Again,160203,1,https://open.spotify.com/track/4S1XuosmDeJQTxxf6TdiLk
Switch That,"RetroVision, Dirty Palm",Switch That,162000,29,https://open.spotify.com/track/2CFwwqPjAq1eM3F0azlThc
Awakening,Jay Eskar,Awakening,170624,12,https://open.spotify.com/track/3yJ7wB54UymumXFhpXaLIm
Arcturus,"Jay Eskar, Uplink",Arcturus,168756,19,https://open.spotify.com/track/1wiXivngA3EJA6DQbGT40w
Tried to Love (Happi Remix),"Madism, Felix Samuel, Happi",Tried To Love (Remixes),206250,22,https://open.spotify.com/track/4J71mK7ZktHvICVcJ2l7pd
Jumping on a Feeling,"Galaxies Away, Jordi Rivera, MAJRO",Jumping on a Feeling,171957,23,https://open.spotify.com/track/7knbZEEzjwq7UWRzAchj5z
All I Do,"Jack & James, Danny Leax",All I Do,177228,17,https://open.spotify.com/track/3dTf14Aei9H2G0DwEwHas5
Bubble,"James Roche, jeonghyeon",Bubble,140184,15,https://open.spotify.com/track/54yCN37wczLSwmD9bE3Kp0
I'm A Human,Deekey,I'm A Human,144761,26,https://open.spotify.com/track/5xNLIhDEiMjO8ZoL6SdzQA
City of Light,CVBE,City of Light,156572,23,https://open.spotify.com/track/4rD8HtQjPpp36uXU7ccn6r
Your Melody,"Mesto, Jonas Aden",Your Melody,145238,33,https://open.spotify.com/track/5estXIceLDQwbwcgFugTWP
Give Up,Jordan Jay,Give Up,137752,18,https://open.spotify.com/track/0mOTjljOhBmkbU8DXApCJ9
Again,"RudeLies, Renato S, joegarratt",Again,172851,9,https://open.spotify.com/track/6bwFHr411TRW0u5Q5k8eRF
Find A Way,"Riggi & Piros, Avrii Castle",Find A Way,168750,16,https://open.spotify.com/track/5RkAKEEuhXoXWFmQfZMLCd
Know Me,Domastic,Know Me,195234,17,https://open.spotify.com/track/55eTQIkCfzvT6mz0h3Bar4
Wildfire,Bougenvilla,Wildfire,172500,24,https://open.spotify.com/track/15B3nfsWgObXxjldIaOsDk
Poltergeist,"Danny Leax, Stin Corner",Poltergeist,147500,16,https://open.spotify.com/track/71i6HdgGSlkXwLLLdAmMfo
Fading,Dirty Palm,Fading,223125,24,https://open.spotify.com/track/4I1p0t0ZFMKj1meDktuTXF
Be Better,"Raven & Kreyn, Mingue",Be Better,160476,0,https://open.spotify.com/track/0uVBiWEyBsnMvdpkU8LgkM
Long Time,"Brooks, Mesto",Long Time,175473,36,https://open.spotify.com/track/5tAoU85Y6UgRd4DuTvP1k4
Dance,Conor Ross,Dance,189254,19,https://open.spotify.com/track/0qYG42RJsMniNhsd7F4R91
Find You,"Dastic, Tommy Jayden",Find You,172500,20,https://open.spotify.com/track/5BB1waMX4BJ8H70HFiiFYi
Reality,"eedion, Ericsson",Reality,156264,8,https://open.spotify.com/track/1rJiF1JRGOplawtzisc2oY
Halcyon - Mo Falk Remix,"Danny Olson, Henry Hartley, Mo Falk",Halcyon (Mo Falk Remix),145439,16,https://open.spotify.com/track/4CEAD9Tb8g8LwZ1IQbDvJA
Far Away,"RudeLies, Jack & James, Jaime Deraz",Far Away,162720,20,https://open.spotify.com/track/1lNONKKKTYFFWMLmPyHq6A
Infinity,Jay Eskar,Infinity,168005,13,https://open.spotify.com/track/6BXiLqglxAt0Omfmd7Q7ne
When It's All Over,Alva Gracia,When It's All Over,192060,19,https://open.spotify.com/track/5m3jnNrEu1fcROLO3FYHVO
Know You,Jay Eskar,Know You,153750,14,https://open.spotify.com/track/21AwRXJcrb0rq0SaCnzk01
All Nite Long,Mo Falk,All Nite Long,139311,22,https://open.spotify.com/track/77vdUYg5AQ9iBK2XwamWL8
Trouble - VIP Mix,Raven & Kreyn,Trouble (VIP Mix),175714,19,https://open.spotify.com/track/3vUdpTqQT6pncDhbiouOI7
Thinkin Bout You,Crunkz,Thinkin Bout You,172519,26,https://open.spotify.com/track/78WDwEGVLRAHtJQdST6fTP
1983,RetroVision,1983,159047,15,https://open.spotify.com/track/5Y95woQxNtuWVOP99MWNeZ
Library Thugs,"Jonas Aden, Conor Ross, RebMoe",Library Thugs,140507,27,https://open.spotify.com/track/1LjgwZX2LWWo8OexWOqmF5
