Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Move Like This,Bad Computer,Move Like This,215624,41,https://open.spotify.com/track/3IaHPMLtcdxwiZbWr6gEv6
So High,"Repiet, Lucles, Protocol Lab",So High,151384,35,https://open.spotify.com/track/385tLniAOVymvQs4vwNgBG
Bring It To Me,Jaycen A'mour,Bring It To Me,232380,19,https://open.spotify.com/track/7waUDw3NoJq2iIzgsTQ7h5
Strangers,"ORACLE, Holochrome",Strangers,219031,30,https://open.spotify.com/track/4bq2Aaq3jtNKFo92BR3yhC
Home,"Excision, Dion Timmer",Apex,237416,27,https://open.spotify.com/track/2hzFUQayp9U7ZVTJTx8Abw
Home - Spag Heddy Remix,"Excision, Dion Timmer, Spag Heddy",Apex: The Remixes,202891,35,https://open.spotify.com/track/3BMOQEQ06HLKWTAFOhiJf9
The Feeling - Lost Frequencies & Andromedik Deluxe Mix,"Lost Frequencies, Andromedik, Bonn",The Feeling (Remix Pack),194831,59,https://open.spotify.com/track/3rFHJDslBgt9rHu8p22aFN
Calling Us,"Bad Computer, David Feldman, Jordan Grace",Calling Us,250476,30,https://open.spotify.com/track/7maTcRghSDNPyXuP9szRiW
CHOMP,"Tokyo Machine, CHOMPO",CHOMP,198281,28,https://open.spotify.com/track/6ehkaqY90vXs9noImg2AVT
All I Need - VIP,"Slushii, Aviella",All I Need (VIP),195310,34,https://open.spotify.com/track/7cpnqcFMN6Z7yiSOZyzGMU
Breathing Underwater (Ether Remix),"Hollywood Principle, Ether","Rocket League: Official Game Soundtrack, Vol. 2",277750,0,https://open.spotify.com/track/1TCWucX5mKFWd1Z43qQAWD
Thousand Sides,"Curbi, Jess Ball",Thousand Sides,191250,42,https://open.spotify.com/track/7DsJI3bDw7kkOGGdJuCVfp
All I Need,"Slushii, Aviella",E.L.E (Extinction Level Event),225750,44,https://open.spotify.com/track/3Fpd2bYU5uc0C5DvIzsMzw
Say Yes Or Say No,Feed Me,Say Yes Or Say No,214687,2,https://open.spotify.com/track/3hCarhoVrsWUXBZmCgBTFt
Play With Fire,Oliverse,Play With Fire,193600,49,https://open.spotify.com/track/0X214IiDWGaV68nzAnyGZW
Have It All,"Vikkstar, RetroVision, Dyson",Have It All,176363,45,https://open.spotify.com/track/6hR4plghLBRSbXEf2wNvsX
Millennia,Pixel Terror,Millennia,166800,51,https://open.spotify.com/track/3zYcdTFPsQrh4az4YY1wmg
Vampire,"Dead Robot, Saphir",Vampire,196328,38,https://open.spotify.com/track/7MlRcabx5VzGcUflOC2w6l
Do Better,Feint,Do Better,186206,49,https://open.spotify.com/track/5RkJMrhW5aU2zMuJcZUNmh
Pressure,"Freaks & Geeks, flowanastasia",Pressure,240830,53,https://open.spotify.com/track/15gVi5XDXfQWsKUiz1X2tt
Diamond Eyes,Amir Sohrab,Diamond Eyes,121938,0,https://open.spotify.com/track/0dVQfWiOjoGfYtCMQC8gD6
Oumuamua,Armin van Buuren,Feel Again,325884,23,https://open.spotify.com/track/0abipJpyAF4FAmtRHG99Gx
Alkaline,James Dece,Alkaline,171666,20,https://open.spotify.com/track/5As6ooagcCJt1rnenRmCrV
High Noon,Feed Me,A Giant Warrior Descends on Tokyo,256276,0,https://open.spotify.com/track/3XJCYc3KEupJowZUn7QsDu
FAR OUT,Tokyo Machine,FAR OUT,204000,32,https://open.spotify.com/track/0DT3f2Y9UEwGdJC7f4FOzH
Giant Creatures,Feed Me,Giant Creatures,238181,16,https://open.spotify.com/track/7fa2dPB1cv2wMC1vB7u8iv
Euphoria Rush,"CHYL, Skybreak",Euphoria Rush,236133,44,https://open.spotify.com/track/1OUBfd2vYvT6w8ghwbncOq
Unexplored,"Thalia Roehr, Yumi Matsutoya",Unexplored,173371,0,https://open.spotify.com/track/32Hottau9MXhVQrtWSNvew
Fly,Bad Computer,Fly,225117,28,https://open.spotify.com/track/4sYTZ4T4McMnwHMaAdFDM7
Hurt Me Too,"Bishu, McCall",Hurt Me Too,184941,39,https://open.spotify.com/track/0pdvvP1vP8zWRHeBCHdFbG
Us Against The World - Protostar Remix,"Darren Styles, Protostar",Us Against The World (Protostar Remix),296551,33,https://open.spotify.com/track/43Rv6fq5gVbzMR3mvfofEg
Phat Beat,"Amir Sohrab, Lanova",Phat Beat,138750,0,https://open.spotify.com/track/5Ce9KgrvX9cIAvnyGrZGTW
Night Runners,"EDDIE, Voicians",Night Runners,217500,35,https://open.spotify.com/track/3ousqyeuUtGWL20gZLrgGB
Each Other,"Notaker, Eric Lumiere",Each Other,199697,42,https://open.spotify.com/track/1RX7o9psT151nul0lEQaGX
Walking on the Moon - Bad Computer Remix,"Infected Mushroom, Bad Computer",Walking on the Moon (Bad Computer Remix),189230,47,https://open.spotify.com/track/6zfyJTgFvo54oLVJjS3jNa
Flying,Curbi,Flying,184836,58,https://open.spotify.com/track/23tSVCziOnXVAyayQt0Bi7
Redemption,Max Brhon,Redemption,245529,41,https://open.spotify.com/track/11hQpTbTymxIZzSmabCd9b
Charge,Bossfight,Rocket League x Monstercat Vol. 4,203225,24,https://open.spotify.com/track/3nd2SsRvUfpEPKPBXFriT8
Total,Feed Me,Feed Me From The Clouds EP,296131,1,https://open.spotify.com/track/2JfaiGO60nqyQxFykarKAr
We Won't Be Alone,"Feint, Laura Brehm",We Won't Be Alone,234475,59,https://open.spotify.com/track/3AayefDdUFxivRs79bX7kV
Let Go,"4URA, SLWR",Let Go,201052,2,https://open.spotify.com/track/2PAoz8DjoJOdj0AyKRLrlf
About U,"Aiobahn, Vin",Rocket League x Monstercat Vol. 3,175476,27,https://open.spotify.com/track/7oTy3wxGjx4RcZDuRcsMy5
Oblivion,"Rival, Fairlane, Philip Strand",Oblivion,204800,34,https://open.spotify.com/track/4dTC6SHxIibaRue2eKI2ai
Blue,Bad Computer,Blue,177120,26,https://open.spotify.com/track/1PkPBwTS8gyQJ5tjvsN1Vh
Heartbeat,Bad Computer,Heartbeat,193242,25,https://open.spotify.com/track/26g9KhoTTaEG4IM1uTkwZ4
Catharsis,"MUZZ, Koven",The Promised Land,327771,28,https://open.spotify.com/track/0B1ZPnAhuOU6xaI7F0uOSo
Crescendo,"MUZZ, MYLK",Crescendo,298600,34,https://open.spotify.com/track/2ojIqYSnGPEz0BG5pLtDUa
How Could I,"Rad Cat, Dutch Melrose",Love & Illusions,206400,17,https://open.spotify.com/track/706IeTmWcSFPQoncY1uWe1
