Track Name,Artists,Album,Duration (ms),Popularity,Track URL
way back,Travis Scott,Birds In The Trap Sing McKnight,272500,69,https://open.spotify.com/track/2Zy7XVdxyZQB8xp5xbpJdl
Turks (with Gunna & ft. Travis Scott),"NAV, Gunna, Travis Scott",Good Intentions (Brown Boy 2 Deluxe Version),161319,36,https://open.spotify.com/track/0P4SiTpHMr5thEKGtsGWqi
Good Morning,Kanye West,Graduation,195093,3,https://open.spotify.com/track/5CaXxLM568tBh1PwhXdciZ
Party Monster,The Weeknd,Starboy,249213,80,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,243836,88,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
Take What You Want (feat. Ozzy Osbourne & Travis Scott),"Post Malone, Ozzy Osbourne, Travis Scott",Hollywood's Bleeding,229573,77,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
NO BYSTANDERS,Travis Scott,ASTROWORLD,218283,74,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
5% TINT,Travis Scott,ASTROWORLD,196138,80,https://open.spotify.com/track/11kDth1aKUEUMq9r1pqyds
YOSEMITE,Travis Scott,ASTROWORLD,150043,80,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
BUTTERFLY EFFECT,Travis Scott,ASTROWORLD,190557,84,https://open.spotify.com/track/2cYqizR4lgvp4Qu6IQ3qGN
HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,175720,87,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock, Kendrick Lamar, Future, James Blake",Black Panther The Album Music From And Inspired By,225266,62,https://open.spotify.com/track/1eLSF6HfrRA0AsNmTkUlKx
Power is Power (feat. The Weeknd & Travis Scott),"SZA, The Weeknd, Travis Scott, Game of Thrones",For The Throne (Music Inspired by the HBO Series Game of Thrones),211266,64,https://open.spotify.com/track/4cbdPT6uaBOgOQe3fLMofl
"Down Like That (feat. Rick Ross, Lil Baby & S-X)","KSI, S-X, Rick Ross, Lil Baby",Dissimulation,175339,13,https://open.spotify.com/track/5DuNaEZuwVjSRe1JFyW7X9
Pray For Me (with Kendrick Lamar),"The Weeknd, Kendrick Lamar",Pray For Me (with Kendrick Lamar),211440,2,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
No Idea,Don Toliver,No Idea,154424,1,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
3500 (feat. Future & 2 Chainz),"Travis Scott, Future, 2 Chainz",Rodeo,461840,72,https://open.spotify.com/track/1SGt65i9AnXYdDQt1AtDRH
WIN,Jay Rock,Redemption,215226,62,https://open.spotify.com/track/69WMdZSqdQwFgLVpbMsZ2J
TOP FLOOR (feat. Travis Scott),"Gunna, Travis Scott",WUNNA,169906,73,https://open.spotify.com/track/4YhJ3a6kBPGJWX4Ek77sDd
Tides (feat. AJ Tracey & Rich The Kid),"KSI, Rich The Kid, AJ Tracey",Dissimulation (Deluxe Edition),203557,40,https://open.spotify.com/track/5dlK4ucYXn4mC2ClYJSjpl
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,239835,86,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
DNA.,Kendrick Lamar,DAMN.,185946,83,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
HUMBLE.,Kendrick Lamar,DAMN.,177000,88,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
LUST.,Kendrick Lamar,DAMN.,307880,67,https://open.spotify.com/track/06FCvd7rrRcF3DdvWH5Isp
LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",DAMN.,213400,87,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
"The Plan - From the Motion Picture ""TENET""",Travis Scott,"The Plan (From the Motion Picture ""TENET"")",185850,58,https://open.spotify.com/track/551xyaSJsg8hILXFq9JdST
Paramedic!,SOB X RBE,Black Panther The Album Music From And Inspired By,219306,63,https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA
Crunk Ain't Dead,Duke Deuce,Crunk Ain't Dead,113149,57,https://open.spotify.com/track/4RsTfAuTiUyL7GKGPiNC0w
Antidote,Travis Scott,Rodeo,262693,75,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
r - Cali,A$AP Rocky,"The Music of Grand Theft Auto V, Vol. 1: Original Music",139706,1,https://open.spotify.com/track/2oMOqX9k4k16odibNkYyrD
Hot N*gga,Bobby Shmurda,Hot N*gga,194561,72,https://open.spotify.com/track/19gEmPjfqSZT0ulDRfjl0m
Black Beatles,"Rae Sremmurd, Gucci Mane",SremmLife 2 (Deluxe),291893,1,https://open.spotify.com/track/21xJVN5wEbJogczYxfZhqR
Scared of the Dark (feat. XXXTENTACION),"Lil Wayne, Ty Dolla $ign, XXXTENTACION",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),233000,73,https://open.spotify.com/track/3vWzyGTu6Ovo1GdrcJqH6e
Oh My Dis Side (feat. Quavo),"Travis Scott, Quavo",Rodeo,351253,66,https://open.spotify.com/track/2rMFawCg4BW65jzbwztXAV
After Party,Don Toliver,Heaven Or Hell,167915,78,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
CAN'T SAY,Travis Scott,ASTROWORLD,198408,81,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
Loose (feat. KSI),"S1mba, KSI",Loose (feat. KSI),152436,46,https://open.spotify.com/track/0G9vbgmLrDqjV4NUCSrsIg
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,165977,75,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
Always Wrong,S-X,True Colours,188589,0,https://open.spotify.com/track/5NXAQJz48OeXc6yXgtR3CW
Solitaires (feat. Travis Scott),"Future, Travis Scott",High Off Life,205666,64,https://open.spotify.com/track/4kfeRwpq5KUaqTkgi4TbDF
HOUSTONFORNICATION,Travis Scott,ASTROWORLD,217828,72,https://open.spotify.com/track/58TaFP5j5i9swOf584yon2
Dangerous,S-X,Dangerous,200800,0,https://open.spotify.com/track/2oBSQDNkQe0MVxjrmMsz91
Sidewalks,"The Weeknd, Kendrick Lamar",Starboy,231360,75,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko
All I Know,"The Weeknd, Future",Starboy,321026,64,https://open.spotify.com/track/0NWqNXBJTpXbkI5rPWNy3p
pick up the phone,"Young Thug, Travis Scott",Birds In The Trap Sing McKnight,252256,70,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
Walk It Talk It,"Migos, Drake",Culture II,276147,75,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
No Complaints (feat. Offset & Drake) (Bonus),"Metro Boomin, Offset, Drake",NOT ALL HEROES WEAR CAPES (Deluxe),265480,68,https://open.spotify.com/track/156LzfvMNKuXuiot4uzhGD
