Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Power of the Tribe (Defqon.1 2024 Anthem),Sound Rush,Power of the Tribe (Defqon.1 2024 Anthem),325494,51,https://open.spotify.com/track/0Bwq1DvIe3YSN2nVQ1n5Am
Wash Away,"Nightcraft, Dvastate",Wash Away,190781,22,https://open.spotify.com/track/4NbMVQM2IHQGoguNhBNcNl
Feel So Good,DJ Isaac,Feel So Good,215225,48,https://open.spotify.com/track/0fnrHmbApoVm9Zt8jIwKsi
Embrace The Dark,"Ghost Stories, D-Block & S-te-Fan",Embrace The Dark,216774,53,https://open.spotify.com/track/4DIfkWuuB3dUgjs5s8Q6YD
Stardust,Sound Rush,Stardust,203391,55,https://open.spotify.com/track/5k0I0O8eom23uHoVCNB2eG
Underground Business,"Warface, Sub Zero Project",Rave From The Grave EP,177681,34,https://open.spotify.com/track/5k2tH7MGTm7VDPDmKWiH19
Lucid Dreams,Rebelion,Lucid Dreams,211143,42,https://open.spotify.com/track/2TPVGR9VGKwO0uxBS0CY84
Bonkerz,Rebelion,Bonkerz,190503,41,https://open.spotify.com/track/0FaG2Hc9LSFsuChAC0ZZcM
Come Alive,"D-Sturb, D-Block & S-te-Fan",Come Alive,250838,1,https://open.spotify.com/track/1YlZ6MetMORMdsrwWXLV85
In Control,Rebelion,Artificial Intoxication,223511,40,https://open.spotify.com/track/0i0sko6XxXYGyQKbqWNSko
Close To You (Audiotricz Remix),"KSHMR, Maddix, Audiotricz",Close To You (Audiotricz Remix),217600,30,https://open.spotify.com/track/6TqKy9halHx61AFUlwiDDZ
Make The World Ours,Hardwell,Hardwell presents Revealed Volume 8,248000,38,https://open.spotify.com/track/4hnc1vhTnLZKmJTnnHCCj7
Dark is All I See - Coone Remix,"Naeleck, Wasiu, Coone, Oddity",Dark is All I See (Coone Remix),232157,39,https://open.spotify.com/track/2sbUzaHihePu45j9MslHN5
Feel Inside,D-Block & S-te-Fan,Feel Inside,195200,51,https://open.spotify.com/track/52173U8Lw9eFYIQUGZUpQT
Wide Awake,Adjuzt,Wide Awake,171812,35,https://open.spotify.com/track/6ykkQVbhf1uBhlaFYCkFCI
Time To Dance Again,Headhunterz,Time To Dance Again,176620,41,https://open.spotify.com/track/3THT55Get2hbk2Cec9Lw3b
Rise,DJ Isaac,Rise,174967,54,https://open.spotify.com/track/1rT7b6aDpU8jERHwOoRbi4
Animals - Cryex Remix,"Ran-D, Hard Driver, Cryex",Animals (Cryex Remix),196712,34,https://open.spotify.com/track/68eoB0pjT1FnvnO6myyPsx
Love On Fire,D-Block & S-te-Fan,Love On Fire,267200,42,https://open.spotify.com/track/4Y0mxfotUhzTeFJySxhaD4
LFG PSYCHO,"Sub Zero Project, MC Stretch",LFG PSYCHO,159917,39,https://open.spotify.com/track/0MwEcodV2ILJPeUWf72761
The Final Hour,"Ephoric, ÆLINN, Dirty Workz",The Final Hour,217612,18,https://open.spotify.com/track/7lTkaqtHuDWJb3W3MooZUu
