Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Guzarish,Javed Ali,Ghajini,327029,74,https://open.spotify.com/track/2MvCNH9ua0CeOgUQfZf56z
Abhi Mujh Mein Kahin,"Ajay-Atul, Sonu Nigam",Agneepath (Original Motion Picture Soundtrack),364786,67,https://open.spotify.com/track/73y649QhnXdcm6fRdvfraO
Haule Haule,"Salim–Sulaiman, Sukhwinder Singh, Jaideep Sahni",Rab Ne Bana Di Jodi,263967,73,https://open.spotify.com/track/2UKK9UEbKlykbmLVP1zWIQ
Labon Ko,"Pritam, KK",Bhool Bhulaiyaa,341027,73,https://open.spotify.com/track/5WncH5iZ5GFlnXm7jKEXVP
Tujh Mein Rab Dikhta Hai,"Salim–Sulaiman, Roop Kumar Rathod, Jaideep Sahni",Rab Ne Bana Di Jodi,281573,75,https://open.spotify.com/track/2LcXJP95e4HKydTZ2mYfrx
Kabhi Kabhi Aditi,Rashid Ali,Jaane Tu... Ya Jaane Na,218836,73,https://open.spotify.com/track/3APdIdF8H0jsxSuGOqXedS
Chand Sifarish,"Jatin-Lalit, Shaan, Kailash Kher, Prasoon Joshi",Fanaa,275931,76,https://open.spotify.com/track/5EYZZvmNAH5VZCwuzYJqoA
Kabira,"Pritam, Tochi Raina, Rekha Bhardwaj",Yeh Jawaani Hai Deewani,223459,79,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
Khaabon Ke Parinday,"Alyssa Mendonsa, Mohit Chauhan",Zindagi Na Milegi Dobara,251704,60,https://open.spotify.com/track/14eotumM24MhIgzidgN3Jx
Ishq Bulaava,"Vishal-Shekhar, Sanam Puri, Shipra Goyal",Hasee Toh Phasee (Original Motion Picture Soundtrack),303640,78,https://open.spotify.com/track/1fkjRQA8wXPPyxqYLbxuqy
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Tamasha,341054,75,https://open.spotify.com/track/3hkC9EHFZNQPXrtl8WPHnX
Zaroori Tha,Rahat Fateh Ali Khan,Back 2 Love,342023,69,https://open.spotify.com/track/0JChw6k59cZxegh0SGceE1
,,,0,0,https://open.spotify.com/track/35P2Xal9x3GAdOHytyEUFe
Behka,Karthik,Ghajini,311057,48,https://open.spotify.com/track/0prCd0oIexRBiok6kBOeLp
Ae Dil Hai Mushkil Title Track,"Pritam, Arijit Singh",Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],269032,76,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI
Hamari Adhuri Kahani (Title Track),"Jeet Gannguli, Arijit Singh, Rashmi Virag",Hamari Adhuri Kahani (Original Motion Picture Soundtrack),398799,77,https://open.spotify.com/track/3HiobOOpSpMsi95WBKPBYk
Tujhe Bhula Diya,"Vishal-Shekhar, Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak",Anjaana Anjaani,279429,72,https://open.spotify.com/track/4r8JqkhpTb5tzSKKHnVJIJ
Tu Hai Ki Nahi,"Ankit Tiwari, Abhendra Kumar Upadhyay",Roy,333922,72,https://open.spotify.com/track/4brSaQIT3bnnE41D042fgL
Tera Hone Laga Hoon,"Atif Aslam, Alisha Chinai, Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),299827,73,https://open.spotify.com/track/0dLbrlAVPPjpPqnYfmJsWk
Jeene Laga Hoon,"Atif Aslam, Shreya Ghoshal, Sachin-Jigar",Ramaiya Vastavaiya (Original Motion Picture Soundtrack),236933,79,https://open.spotify.com/track/3t3wsY5IdLVzB9WidegJSU
Tu Jaane Na,"Atif Aslam, Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),341933,72,https://open.spotify.com/track/4iFPsNzNV7V9KJgcOX7TEO
Tu Meri Dost Hain,"Benny Dayal, Shreya Ghoshal",Yuvvraaj (Original Motion Picture Soundtrack),373173,64,https://open.spotify.com/track/02N5ZxOVugGQmKeIT0VXUx
Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",Rockstar,470500,73,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6
Kabhi Alvida Naa Kehna,"Shankar-Ehsaan-Loy, Sonu Nigam, Alka Yagnik",Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),483920,60,https://open.spotify.com/track/4uXShFWajd1PTQzlW3P4jj
"Bhaag D.K. Bose, Aandhi Aayi",Ram Sampath,Delhi Belly (Original Motion Picture Soundtrack),241304,58,https://open.spotify.com/track/1sxh0eqIb8ulYypPuq6ZRu
Sajdaa,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Shankar Mahadevan, Richa Sharma",My Name Is Khan (Original Motion Picture Soundtrack),365706,0,https://open.spotify.com/track/5upmbnXemLfPvs3d2eyHml
Bol Na Halke Halke,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Mahalakshmi Iyer, Gulzar",Jhoom Barabar Jhoom,306834,74,https://open.spotify.com/track/0u8wprNfOdcWpUlWnfMcpP
Mitwa,"Shankar-Ehsaan-Loy, Shankar Mahadevan, Caralisa Monteiro, Shafqat Amanat Ali",Kabhi Alvida Naa Kehna (Original Motion Picture Soundtrack),382973,77,https://open.spotify.com/track/4BTPzhEsyW3blWcxcuhLM0
