Track Name,Artists,Album,Duration (ms),Popularity,Track URL
In Harmony,Tenno,In Harmony,151343,33,https://open.spotify.com/track/77urtzULRJH4p0bDYvJ4OT
What Are We?,Kainbeats,What Are We?,154583,8,https://open.spotify.com/track/6gqAglfzMy4qRWKK5tcaA3
Late Nights,No Spirit,Late Nights,151384,0,https://open.spotify.com/track/5H4k4Wx5UCR0S2T1OCNcRe
Blue Orchids,"Mujo, Hakone",Blue Orchids,94389,0,https://open.spotify.com/track/4U78uBnxWdIaP8DFWBFaGC
fragments,"League of Legends, Idealism",Sessions: Diana,163612,30,https://open.spotify.com/track/1dNC44YUu7hsGFe4g3CZYy
Whisper,Kazukii,Whisper,182153,8,https://open.spotify.com/track/2vD9T1YlsucWR2cEcFhsKk
frozen in time,"Kainbeats, Elizabeth Cutler",frozen in time,128533,12,https://open.spotify.com/track/0svu0FglIbYrONwXZEde7C
Moon Waltz,"Elijah Lee, aimless",Escapade,179000,0,https://open.spotify.com/track/71DCY2IIx2qQbojCtCMmUw
Passing Hope,Mujo,Passing Hope,84600,0,https://open.spotify.com/track/6qex2iSjjQpa6OrULhhTQN
ancient call (feat. Slumberville),"SYML, Slumberville",ancient call (feat. Slumberville),157607,0,https://open.spotify.com/track/0l4j8VOa2Z7FjtrArkOzHN
Lavender,Kupla,Melody Mountain,154817,0,https://open.spotify.com/track/2eBuez59MU3mSXwamfYueg
Just a Dream,"Mujo, Sweet Medicine, G Mills",Just a Dream,122740,29,https://open.spotify.com/track/5LQxLCvwc7rT2sz8TYw1s3
azure mist,"Kainbeats, Jhove",azure mist,131641,0,https://open.spotify.com/track/6htmFpd9P7vRb7RkMSIGGS
"Goodbye, Winter","Kainbeats, softy, Towerz","Goodbye, Winter",136894,18,https://open.spotify.com/track/70pzhyvQhWMKiNWrK3GXJ2
milky way motel,Nougat,milky way motel,130856,0,https://open.spotify.com/track/1P7I6TliAYZatNgUndt5UH
Guapa,"Mujo, Hakone",Guapa,115605,18,https://open.spotify.com/track/3QYZXXgE7OVhXgCKRAoSlw
Meteorites,Purrple Cat,Sea of Stars,183154,40,https://open.spotify.com/track/7JtKDBS4maj80mW1HuFssc
Miso,Shiitaki,Miso,129082,36,https://open.spotify.com/track/6dIgNPbGc6tsl2BofmRPUa
Torii Road,Tenno,Legends of the Past,128571,45,https://open.spotify.com/track/6U4InR48CmnV8jhCCx9JNN
Hashimoto,Stapes,Hashimoto,174049,35,https://open.spotify.com/track/2Bx4MNPTMsuW07g2j3t9b9
Cloud,"Mujo, Hakone",Cloud,94057,0,https://open.spotify.com/track/2EFNJLGkcJjIXHB278MsBX
Distance,Towerz,Distance,132000,11,https://open.spotify.com/track/22EUPDSks0pkcJwXJ6CEem
Haru,"Elijah Nang, Various Artists",Chillhop Essentials Spring 2017,163805,0,https://open.spotify.com/track/6a1TwM76tJuQZZRaIAfnaX
Muramasa,Tenno,Legends of the Past,144000,42,https://open.spotify.com/track/75yKCtGs2x1rcMBiRQAdYX
Our Life Pictured,"BluntOne, Baen Mow",Our Life Pictured,125029,17,https://open.spotify.com/track/32oXFbDI5Qt6QEKiwG9z9c
A Dream About Ice Skating,"Kid on Ice, Lazy Noodles",A Dream About Ice Skating,96000,23,https://open.spotify.com/track/2y5sDyzoEDreMgZ9bZcXGS
i won.,mr. okane,OKANE 金 1,126625,26,https://open.spotify.com/track/5x7u3ismTf0wyevRSi6w83
Floating Theme,Gobi,Floating Theme,91111,28,https://open.spotify.com/track/6CzyqVGu5pBhBvgedLfRRX
tape 1,"Goodies, Purrple Cat, SwuW, squueda",tape 1,259915,0,https://open.spotify.com/track/5R8kR9bhJ6TYAbgHK2vjil
