Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Iceland (Viking Clap),"Tritonal, Cuebrick",Iceland (Viking Clap),188906,32,https://open.spotify.com/track/0ojnyCTuwcJQpVxO41VvpX
Luna,Rub!k,Luna,203636,32,https://open.spotify.com/track/6vlZbpSGMaWTIoaWyL5qcL
The Race,"Timmy Trumpet, Vini Vici, Sub Zero Project",The Race,160887,45,https://open.spotify.com/track/3cv2fSTYRr42WM90C9dswx
Oblivion,"NWYR, W&W",Oblivion,155076,42,https://open.spotify.com/track/2d5KjsVCU7ryRfvEtVdTIh
In My Mind,"Gabry Ponte, Giuseppe Ottaviani, Malou",In My Mind,189318,47,https://open.spotify.com/track/68CdFrdUAV9PssCcdw8osM
Hands Up,"Deorro, Dave Mak, Scheffwell",Hands Up,131538,0,https://open.spotify.com/track/3WCxK21BE4ar25o8hYUsWn
Firestarter,"Da Tweekaz, Crystal Lake, XCEPTION",Firestarter,201477,35,https://open.spotify.com/track/0mGmrLTe4VlaWZ5DFWpnil
Fly Apart,"Retrika, Alex Mueller, Sam Noton",Fly Apart,167619,25,https://open.spotify.com/track/6RXPW7XKoR4SqSogstTzsY
The Show (with JJ Lin) - Steve Aoki & Lucas & Steve Remix,"Steve Aoki, JJ Lin, Lucas & Steve",The Show (with JJ Lin) [Steve Aoki & Lucas & Steve Remix],168775,35,https://open.spotify.com/track/6Iz1vp9I22MBEA3oxLbKQB
Trouble,Murdock,Trouble,249942,20,https://open.spotify.com/track/4d3YMCc71ZHzK8ezddOxPt
Let Me Be Your Fantasy,"Quintino, Mike Williams",Let Me Be Your Fantasy,176250,32,https://open.spotify.com/track/4fGOsBz3c3d3CXAmc1kLob
Warp,Lucas & Steve,Warp,143503,27,https://open.spotify.com/track/6fPxp5gyANF9jIPJWJBILo
Spaceman,"Burak Yeter, Alfie Sheard",Spaceman,192115,17,https://open.spotify.com/track/1pH3tmvQvUiOemzQvfBajk
