Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",Uncovered,191379,66,https://open.spotify.com/track/1eyrmeiDpdTkOmA839nPVQ
Somebody That I Used To Know,"Gotye, Kimbra",Making Mirrors,244884,84,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
First Time,"Kygo, Ellie Goulding",First Time,193511,66,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
Don't Let Me Down,"The Chainsmokers, Daya",Don't Let Me Down,208373,85,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
Rich Love (with Seeb),"OneRepublic, Seeb",Rich Love,201256,70,https://open.spotify.com/track/7dOeiXeTSfA1ixaYmQcWu7
Burn,Ellie Goulding,Burn,231211,2,https://open.spotify.com/track/6B8CAgQ38mWf7xTvFtC0BB
You Know You Like It - DJ Snake Remix,AlunaGeorge,You Know You Like It The Remixes,252244,0,https://open.spotify.com/track/4HfykP9fjZZJC3WBwFArb4
Firestone,"Kygo, Conrad Sewell",Cloud Nine,271640,82,https://open.spotify.com/track/1I8tHoNBFTuoJAlh4hfVVE
Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,247160,91,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
Despacito (Featuring Daddy Yankee),"Luis Fonsi, Daddy Yankee",Despacito (Featuring Daddy Yankee),228200,6,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
More Than You Know,Axwell /\ Ingrosso,More Than You Know,203000,7,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
Scared to Be Lonely,"Martin Garrix, Dua Lipa",Scared to Be Lonely,220883,80,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
Clarity,"Zedd, Foxes",Clarity,271426,81,https://open.spotify.com/track/60wwxj6Dd9NJlirf84wr2c
Beautiful Now,"Zedd, Jon Bellion",True Colors,218293,73,https://open.spotify.com/track/2ISSQPb9LHHiV6ng2NXosL
Dusk Till Dawn (feat. Sia) - Radio Edit,"ZAYN, Sia",Dusk Till Dawn (feat. Sia) [Radio Edit],239000,74,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
Spectrum,"Zedd, Matthew Koma",Clarity,243413,67,https://open.spotify.com/track/1dFkD1JfRMzwO6hwUsE8aS
I Wanna Know,"Alesso, Nico & Vinz",I Wanna Know,240413,64,https://open.spotify.com/track/2kYqdSlrtovVMMIn6ykzba
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"Martin Garrix, Macklemore, Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),163804,77,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
Youngblood,5 Seconds of Summer,Youngblood,203417,66,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
Breathe,"Seeb, Neev",Breathe,240272,61,https://open.spotify.com/track/0CvTKt7jr68v4YEg9oATjX
Fast Car,"Jonas Blue, Dakota",Fast Car,212424,72,https://open.spotify.com/track/2mCF8L0brIs88eH6Kf2h9p
Find You,"Zedd, Matthew Koma, Miriam Bryant",Clarity (Deluxe),204346,58,https://open.spotify.com/track/7mazffu6nlIv0rtRyPDMTD
