Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Sans Vetements,Far&High,Sans Vetements,206557,48,https://open.spotify.com/track/1fZqMv31t8xdthNONmQs7Z
Tenderness,Acrobat,Tenderness,285116,11,https://open.spotify.com/track/0h9rnn2h59MFBEaP0X0ud5
Autonomous,Sinner & James,Subliminal EP,197412,33,https://open.spotify.com/track/3YPrxVNafzXu7l4lYWv60i
Balearic Funk - Sebb Junior Remix,"Oscar Barila, Sebb Junior",Balearic Funk,259000,27,https://open.spotify.com/track/2kihjwCTTcC85oBvOLXOQp
Una Más - Ojala Remix,"Camiel Daamen, Ojala",Una Más,352096,21,https://open.spotify.com/track/4m2AeUulLhL5BaJr8j0Xl0
fossano,vano1337,volume 2,210250,17,https://open.spotify.com/track/6uQPqg2A61oI9fv3Ah4zRZ
Feet for Dancing - Radio Edit,Funk Cartel,Cartel Cuts Vol. 1 (Radio Edit),186451,16,https://open.spotify.com/track/66sgViEtTuZJh0yiek5260
Freedom,ASTRE,Freedom EP,212598,34,https://open.spotify.com/track/62nxeZnoeT8IMxMyqJJ159
For a Chance,Lei Hoke,For a Chance,158871,14,https://open.spotify.com/track/36xTL91nwOaAlyrcLuvLt2
Light Dreams,Julian Anthony,PIV ADE Sampler,401295,17,https://open.spotify.com/track/2g4kgVr63h9zQyOc5j9ImX
Calling Out,"Sun Breaker, Belikeme",Calling Out,140000,17,https://open.spotify.com/track/09S3ICpVdRxWTv1zxvpj96
Only Us - James Dexter Remix,"Artmann, James Dexter",Keep The Funk Alive EP,240468,27,https://open.spotify.com/track/0yYUg8abQYrL3mPbmxjrGI
Step One,Camiel Daamen,Step One,421934,19,https://open.spotify.com/track/3qyUH9ITLUjfCkUarKDXwm
Soul Brothers,"Politics Of Dancing, Djebali",Soul Brothers EP,421972,24,https://open.spotify.com/track/52B6uL82ThobqMRVrJ7g3H
Data Disco,Fábián Kristóf,Data Disco,158909,18,https://open.spotify.com/track/68xVa3V7nuE3361Y40Gryq
Santa Fé - Original Mix,Ollie Nick,Santa Fé (Original Mix),363750,22,https://open.spotify.com/track/3JbkpsJQ3sQgu0rBgxqa8F
Rize Up,Sam Curran,Into The Groove,384000,11,https://open.spotify.com/track/49un18OPXGiEv98AmgVRDr
Future Self,Camiel Daamen,Note to Self,380161,2,https://open.spotify.com/track/2SpR7QHqc6y8OMXvxc6QRD
You're Wild,Tamean,You're Wild,158814,17,https://open.spotify.com/track/2bpEXKHOxZ1RvncBvjzLL1
Aucune Envie,Alerte Orange,Depression is out of the way,147210,25,https://open.spotify.com/track/2rQnOnWSsKe1sxkGVEgNOZ
You Get What You Give,Pornstarr,You Get What You Give,157625,19,https://open.spotify.com/track/19FNcVzfjWTLcNnHEMtnsq
Black N Roads,AID EK,Black N Roads,122841,0,https://open.spotify.com/track/0Em0L792l4XGrqOx7l4npj
Impermeable - Alexander Matchak Remix,"Camiel Daamen, Alexander Matchak",Super Dub EP,410135,1,https://open.spotify.com/track/60dozJTTXuv1tFdySpfMpW
Zodiac,Stefan Rees,Zodiac,158927,3,https://open.spotify.com/track/31cf0aOOhCMHRiT3i5NBn0
Acromo,"Tim Vita, Oliver Gehrmann",Acromo,145222,0,https://open.spotify.com/track/7CoG83vkPA3rVrUVvQCzlZ
Falling Force,Omar Miranda,Falling Force,160477,16,https://open.spotify.com/track/6rgEdwLGWFEdt5LhdmXW1p
Lost Guitar - Dream House Edit,Tonetrax,Lost Guitar (Dream House Edit),188064,12,https://open.spotify.com/track/3PL8TC34q9QjthoGJeHZQ5
Up All Night - Originalmix,"Camiel Daamen, Arie",Xtc,406153,1,https://open.spotify.com/track/5OnZqr3IO7NqiCv2f2LPpv
Enlightened Heart,Valdiv Ivanov,Enlightened Heart,161285,2,https://open.spotify.com/track/0A4GGRTU6T5sLl29avjWhS
