Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Where Do We Go,Cristoph,Where Do We Go,187222,34,https://open.spotify.com/track/7pVhjUSi0UOuZISHFni21T
Montreal,Roosevelt,Elliot,236335,59,https://open.spotify.com/track/12YAZNNm2OuSgDBKjFQcNm
Running in the Night,"FM-84, Ollie Wride",Atlas,270000,62,https://open.spotify.com/track/0E3HnGJSMplqBSYGsh2exH
The Drill - Radio Edit,The Drill,The Drill,179840,45,https://open.spotify.com/track/65opF0Zb5GJMoNgWOx6caT
Slumlord,Neon Indian,Vega Intl. Night School,315595,31,https://open.spotify.com/track/35il0NWi5PAU6itkzh3blV
Every Angel is Terrifying,The Weeknd,Dawn FM,167255,55,https://open.spotify.com/track/3vJcz8exedHCjQ9ed95NqU
Heartbeat,The Midnight,Heartbeat,230558,30,https://open.spotify.com/track/1zeo9q1sdTGDSecA91EZPt
Get Lucky (feat. Pharrell Williams and Nile Rodgers),"Daft Punk, Pharrell Williams, Nile Rodgers",Random Access Memories,369626,79,https://open.spotify.com/track/69kOkLUCkxIZYexIgSG8rq
New Gold (feat. Tame Impala and Bootie Brown),"Gorillaz, Tame Impala, Bootie Brown",New Gold (feat. Tame Impala and Bootie Brown),215149,65,https://open.spotify.com/track/64dLd6rVqDLtkXFYrEUHIU
Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",Random Access Memories,337560,81,https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6
Souvenir,The Midnight,Heroes,214847,35,https://open.spotify.com/track/5s9eoyEyoeEj3fqtt0pQoQ
Cross Talk II,Oneohtrix Point Never,Magic Oneohtrix Point Never,49134,0,https://open.spotify.com/track/6GIYdel1F7lqCa6hd4JAyZ
How Do I Make You Love Me?,The Weeknd,Dawn FM,214214,69,https://open.spotify.com/track/2Ghp894n1laIf2w98VeAOJ
Take My Breath,The Weeknd,Dawn FM,339023,73,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
Vampires,The Midnight,Endless Summer,317228,0,https://open.spotify.com/track/7LUIDrW2Q01WUTjNiCipHA
Nangs,Tame Impala,Currents,107533,76,https://open.spotify.com/track/1cCbsojaA6GIT7Y3zuMJ1q
Nightcall - Dustin N'Guyen Remix,"Kavinsky, Dustin N'Guyen",Nightcall,212946,50,https://open.spotify.com/track/3uEwbhvBSlE3pWT9yQfC1P
Land Locked Heart (from Road 96: Mile 0),The Midnight,Land Locked Heart (from Road 96: Mile 0),203250,0,https://open.spotify.com/track/37vPji99LSgupi5Bmj9pYn
Signs (Dreamchaser Remix),"Caskets, Dreamchaser",Signs (Dreamchaser Remix),267818,0,https://open.spotify.com/track/0VTM5JlrD4tc9uLIP9kI9u
Lost In Yesterday,Tame Impala,The Slow Rush,249586,71,https://open.spotify.com/track/5JWPUEov2wlX7c0jhYZpeB
Baby Love,Jessy Lanza,All The Time,217720,7,https://open.spotify.com/track/4LXkAGFpQYxMDmqM6q5VMj
No Nightmares,Oneohtrix Point Never,Magic Oneohtrix Point Never,246370,0,https://open.spotify.com/track/0JlwmGK34Lbe62xPbpsmSb
Sacrifice,The Weeknd,Dawn FM,188918,73,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
Renegade,"Kavinsky, Cautious Clay",Renegade,197640,0,https://open.spotify.com/track/7n74B8CVy1kWH0IOXnbrj2
Auto & Allo,Oneohtrix Point Never,Magic Oneohtrix Point Never,201640,0,https://open.spotify.com/track/4QgQPzdvhS2nzuEGIGgvg0
Midnight City,M83,"Hurry up, We're Dreaming",243960,82,https://open.spotify.com/track/6GyFP1nfCDB8lbD2bG0Hq9
West End Girls - 2001 Remaster,Pet Shop Boys,Please,285733,2,https://open.spotify.com/track/2yzPBlE5UXK2sqvnNM9QQ0
WDPK 83.7 FM,Daft Punk,Homework,28333,12,https://open.spotify.com/track/7dTWkvPOPgbGuMk4HDxNpY
Daytona,The Midnight,Endless Summer,292702,0,https://open.spotify.com/track/1HLBlfVPwZTAO2eBiXK9FP
A Tale By Quincy,The Weeknd,Dawn FM,96232,56,https://open.spotify.com/track/759ndr57jb0URg4j9YSWml
On / Off,Daft Punk,Human After All,19200,1,https://open.spotify.com/track/3dWxT7lAv6lmXEW2AEZyPQ
Oblivion,Grimes,Visions,251266,72,https://open.spotify.com/track/4BY4V1T0RJK1HmD2Q0ClyK
"Hey, Little Girl",ICEHOUSE,Primitive Man (Bonus Track Edition),264666,57,https://open.spotify.com/track/5VYB1J9aXyYxjE5Z8kXRgK
Let It Happen,Tame Impala,Currents,467586,84,https://open.spotify.com/track/2X485T9Z5Ly0xyaghN73ed
Free Gloss,"Holy Fuck, Nicholas Allbrook",Deleter,385640,0,https://open.spotify.com/track/6HI5FvVBnmYlRZPPDV1nIC
Leave Me Alone,I DONT KNOW HOW BUT THEY FOUND ME,RAZZMATAZZ,215644,58,https://open.spotify.com/track/1cIi1x8ANjMO97wH5OfYO1
Anthonio - Berlin Breakdown Version Remastered,Annie,Anthonio,249487,45,https://open.spotify.com/track/1MCpVJ7tFCQR7qPYmxFL2s
Instant Destiny,Tame Impala,The Slow Rush,194706,60,https://open.spotify.com/track/6WCXBUFa0z3l9DoOY3k5Xe
I Need You,M83,Weekend At Home,181280,0,https://open.spotify.com/track/6tTYAg4ve9FyePESHFRwm3
