Track Name,Artists,Album,Duration (ms),Popularity,Track URL
welcome and goodbye,"Dream, Ivory",welcome and goodbye,140643,0,https://open.spotify.com/track/5F3DM6Iz4axGiLUhxvQLs1
Homage,Mild High Club,Skiptracing,177493,1,https://open.spotify.com/track/7pegxVesMmE2qK0o58xoFG
Hot Soup,"88rising, Simu Liu",Shang-Chi and The Legend of The Ten Rings: The Album,187453,32,https://open.spotify.com/track/5BPtR7o6xDRRp1s2UkBjmb
Every Summertime,NIKI,Shang-Chi and The Legend of The Ten Rings: The Album,215666,47,https://open.spotify.com/track/06nIuUCXydh4DcVfFhJa4R
Realizations,"Finding Hope, Deverano, Lauren Cruz",Realizations,214000,21,https://open.spotify.com/track/0S45XihpVhEbeBOkYHDo9K
Over 85,Hojean,Over 85,204014,0,https://open.spotify.com/track/6KhT7CK6FL0BnI3nVPqv4F
Close to Me,Laica,Forever,211746,0,https://open.spotify.com/track/4jPr49jXRJHftXlwTEA2w4
Blondie,Current Joys,Wild Heart,194733,1,https://open.spotify.com/track/4UkCtBCYh6VMsucGMQZyh9
Pope Is a Rockstar,SALES,SALES LP,187333,71,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2
New Flesh,Current Joys,Wild Heart,167986,0,https://open.spotify.com/track/6TEiFwaiHERpdfG6WnGed1
Она моё всё,NECHAEV,Она моё всё,141176,56,https://open.spotify.com/track/0z35wGIgW3imMIUR6SIzWL
You Feel Like,Hojean,You Feel Like,195882,0,https://open.spotify.com/track/1EGtfMlDM9qOb0C0vQYz8H
drunk,keshi,always,227031,67,https://open.spotify.com/track/6D6HVKe7Qu3imn4zzJD0W9
As Long as You Love Me,Backstreet Boys,Backstreet's Back,221106,82,https://open.spotify.com/track/3UpS7kBnkVQYG13pDDFTC4
Forever,rei brown,Forever,174093,0,https://open.spotify.com/track/4LTeNJlLwIgMTPPyR0KaDP
80's High School,CASTLEBEAT,Melodrama,202922,0,https://open.spotify.com/track/4NnNGFTcMv5OK1LvIA2Wgw
like i need u,keshi,THE REAPER,182678,70,https://open.spotify.com/track/7ivYWXqrPLs66YwakDuSim
Comme des Garçons,Jiwoo,Maison,298000,45,https://open.spotify.com/track/0i2mhiiHucVjXuywKdLniL
,,,0,0,https://open.spotify.com/track/7cneuh5BMBbqbbGrpqTDHQ
lovememore.,dosii,dosii,231709,56,https://open.spotify.com/track/0P9XwjnnIPQFTwdqvu01Mf
"she likes spring, I prefer winter",slchld,"my insecurities, not yours",207436,0,https://open.spotify.com/track/3vWeZSOhhmOai0Go0zKm5j
i hope she loves me back,boy pablo,Wachito Rico,200000,52,https://open.spotify.com/track/16ibzmZYuLoO0k6cRqIbV9
Over the Moon,The Marías,"Superclean, Vol. II",182900,73,https://open.spotify.com/track/02wNtFxlr9dLmZXKT5TIF5
weekends,Hojean,weekends,214658,51,https://open.spotify.com/track/14DHQhxhnDnYMi4o4ABfHu
I Need U,yaeow,I Need U,142588,0,https://open.spotify.com/track/5lbdxt9C6rsELTimTkyMn8
i <3 u,boy pablo,Wachito Rico,255000,60,https://open.spotify.com/track/5EcGSkkNBMAWOePvLgKde1
Feeling Lonely,boy pablo,Soy Pablo,197946,59,https://open.spotify.com/track/5uIRujGRZv5t4fGKkUTv4n
"Sex, Drugs, Etc.",Beach Weather,Chit Chat,196784,0,https://open.spotify.com/track/04wODYKrbLNe7LTOaOPX3i
Breathe,"88rising, Joji, Don Krez",Head In The Clouds II,125468,0,https://open.spotify.com/track/1WI8MH3HPGjzpU0ywLahwt
Aging Moon,Green Gerry,Aging Moon,168539,3,https://open.spotify.com/track/34gBWqfMKx72DgiflHPMeN
CONTENDER,Navid Echo,CONTENDER,72777,0,https://open.spotify.com/track/1JaYRrXRiJCidLA9dlApne
Pick Me Up Tonight,"Gallipoli, Aman Sheriff, McCone",Pick Me Up Tonight,212356,28,https://open.spotify.com/track/5grQprnAJ5CkNvvIsa85Ki
chance with you,mehro,chance with you,215515,0,https://open.spotify.com/track/0Mdpgse4iIjQOpWJGTh3VS
Sometimes (Backwood),Gigi Perez,Sometimes (Backwood),153000,0,https://open.spotify.com/track/5ysFFsqJFcsX8Rez67j2tv
A Dream of You and Me,Future Islands,Singles,239306,60,https://open.spotify.com/track/44GeTdr7MktZDqNUkLaj5h
"Hey, Little Girl",ICEHOUSE,Primitive Man (Bonus Track Edition),264666,57,https://open.spotify.com/track/5VYB1J9aXyYxjE5Z8kXRgK
Je te laisserai des mots,Patrick Watson,Je te laisserai des mots,160853,11,https://open.spotify.com/track/0V5cvmTKsYmF5FmGGEAfmS
Caramel And Symphonies,K.Flay,Outside Voices,226852,0,https://open.spotify.com/track/6FDRuRhLkMyL19BXS9pwQE
When You're with Me,The Afters,Live on Forever,215506,44,https://open.spotify.com/track/0KMeuFMMEZ0vyTXnT8LAg0
racetrack,carwash,racetrack,252000,0,https://open.spotify.com/track/48yA757PIMqJsXhP1snqso
You're the One for Me - Digital Farm Animals Remix,"Great Good Fine Ok, Digital Farm Animals",You're the One for Me,269999,14,https://open.spotify.com/track/5T2iobXGYEI9TdrJ4Du6QN
Never Gonna Come Down,"Mark Tuan, BIBI",Shang-Chi and The Legend of The Ten Rings: The Album,203800,48,https://open.spotify.com/track/2u2QmdOex0MnbWuHmC7jcD
War With Heaven,keshi,Shang-Chi and The Legend of The Ten Rings: The Album,193373,60,https://open.spotify.com/track/14gmLQPNYokqB8OKxAp69f
Seat At The Table,The Vamps,Seat At The Table,191635,30,https://open.spotify.com/track/0OhlmucNUv1KsJcm4rYU7o
Telephones,Vacations,Changes,212432,84,https://open.spotify.com/track/0JIMT9gzLIIz0esKLyjbKf
"I'm Not High, I'm In Love",Bebe Rexha,Bebe,184306,34,https://open.spotify.com/track/0Vv3MbnVGywxRGJNMEjjFH
