Track Name,Artists,Album,Duration (ms),Popularity,Track URL
"I'm Not High, I'm In Love",Bebe Rexha,Bebe,184306,34,https://open.spotify.com/track/0Vv3MbnVGywxRGJNMEjjFH
Better Days (feat. Aloe Blacc),"Mesto, Aloe Blacc",Better Days (feat. Aloe Blacc),156681,27,https://open.spotify.com/track/5zvJABAyFbNEhdMTr0cCtT
No More Lies,"Thundercat, Tame Impala",No More Lies,327217,66,https://open.spotify.com/track/62tGzw9OJOwDcjPBnMPCuj
Satellite,"Bebe Rexha, Snoop Dogg",Satellite,208362,47,https://open.spotify.com/track/0DK6lGJisrNaLkiK6cjDaw
"OPEN A WINDOW (feat. Tyler, The Creator)","Rex Orange County, Tyler, The Creator","OPEN A WINDOW (feat. Tyler, The Creator)",218586,46,https://open.spotify.com/track/0YpaoMOUSP3jwZ4RgqNESG
When You're Gone,Shawn Mendes,When You're Gone,172266,71,https://open.spotify.com/track/0U1W2LZVUX7qTm7dDpqxh6
Turn Up The Sunshine - From 'Minions: The Rise of Gru' Soundtrack,"Diana Ross, Tame Impala",Turn Up The Sunshine (From 'Minions: The Rise of Gru' Soundtrack),229610,51,https://open.spotify.com/track/5FH5U5zlicxKUXK6DruWKM
I Ain’t Quite Where I Think I Am,Arctic Monkeys,The Car,191173,56,https://open.spotify.com/track/1UwUhKmFxGKs59xiWO60Sx
Naked,BAYNK,ADOLESCENCE,188724,41,https://open.spotify.com/track/5qysxEb8AgQ5GLNg1cpGcp
BREAK MY SOUL,Beyoncé,BREAK MY SOUL,278281,65,https://open.spotify.com/track/2KukL7UlQ8TdvpaA7bY3ZJ
26,Lauv,26,159607,44,https://open.spotify.com/track/0du67LyuJeUjQChxl8rTa8
Shivers,Ed Sheeran,Shivers,207853,10,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
The Wolf,SIAMES,BOUNCE INTO THE MUSIC,186945,67,https://open.spotify.com/track/1ZreCbCSHpRcvqYpXlxnYC
Deja Vu,"Oliver Heldens, Anabel Englund",Deja Vu,198703,1,https://open.spotify.com/track/5w7sO0tWXMmctwKnJZu24v
