Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Manticore - Hit The Bass & Lanti Extended Remix,"Protoculture, Hit The Bass, Lanti",Manticore (Hit The Bass & Lanti Remix),304260,2,https://open.spotify.com/track/4HrXDgsYUm1dAmbwGJyMDy
The Reconnection Planet,"Ovnimoon, Pezze",The Reconnection Planet,539481,4,https://open.spotify.com/track/3iwEcisa6JPvNKK8nMKyY4
Back To Reality - DigiCult Remix,"Digicult, Avalon, Sonic Species",Back To Reality (DigiCult Remix),485000,19,https://open.spotify.com/track/4Vuh4fgkV5Gol0QTjuZx80
Blue Fields,Bitkit,Convoluted Universe,426086,15,https://open.spotify.com/track/4kUFvIpfdUWYAtNQ7ZFnqf
Competitive Breath Holding,"Synkronic, Jumpstreet",Space Monkeys,455875,14,https://open.spotify.com/track/61aU8bZruBcNxjnoJQDeXe
Journey,Berg,Journey,317746,29,https://open.spotify.com/track/4NYkyiJrTsyFW2Iw4btQXs
Balikali - Dead Musicians Society & Aura Vortex & Blazy Remix,"Dead Musicians Society, Aura Vortex, Blazy, UnderCover",Balikali (Dead Musicians Society & Aura Vortex & Blazy Remix),516413,0,https://open.spotify.com/track/1PEZj4RjoFxQot8qFjNA6S
Extraterrestial Channel,"Inner Cosmos, Ovnimoon, Sharmatix",Extraterrestial Channel,491140,15,https://open.spotify.com/track/4KU77yrZYqaaY19yZMnTQT
Around You,"Acid Sonic, Single Drop",Around You,395005,8,https://open.spotify.com/track/4bwZg3WW9F5ThAT3krUJHp
Tesoro Interior - Vertikka Remix,"Ovnimoon, Vertikka",Tesoro Interior (Vertikka Remix),599172,3,https://open.spotify.com/track/7l1JLkIA7ocUPVR2eVxsI9
Sarabande,"Armin van Buuren, Vini Vici, Anna Timofei",Sarabande,196666,52,https://open.spotify.com/track/5ZwFCHzRbAll8TTvDmAKht
Deep Jungle Walk,Astrix,He.art,555704,0,https://open.spotify.com/track/3vsf3xCBOptI3TwSsTeLfR
Opera Haus,"Blastoyz, Jason Ross",Opera Haus,227200,12,https://open.spotify.com/track/2iHwXdybvL8uEcN2nVM9HW
Adhana,"Vini Vici, Astrix",Adhana,460869,55,https://open.spotify.com/track/2fovN88nMPZhATtCNeNaqM
Aural Birds (Chemical Drive Remix) - Mixed,"Ovnimoon, Chemical Drive","GoaTrance PsyStoned, Vol. 17 (DJ Mix)",294546,6,https://open.spotify.com/track/5VXb0FxodMu89sTshmHJIM
Joint O'clock - Original Mix,Mad Tribe,Amazing Tales from Outer Space,460273,33,https://open.spotify.com/track/06YwUN3ytQn10H19x9cSPj
Who We Are,Mr. Nobody,Who We Are,291428,31,https://open.spotify.com/track/6PGmBBySfb3NHgM0OoHBVm
Galactic Symphony,Mandragora,Galactic Symphony,322387,42,https://open.spotify.com/track/5Twubz3SaJmTykgAn8t7IS
A Lightspare,"Ovnimoon, Chemical Drive",Fractal Prophecy Compiled By Souls Map,518325,2,https://open.spotify.com/track/5ZvxzjXrnTbI6sqMx5aleY
Spice Travel - Imagine Mars Remix,"Sonic Species, Zen Mechanics, Imagine Mars",Spice Travel (Imagine Mars Remix),481690,33,https://open.spotify.com/track/3vDUxaA2BDqIFIogIqf711
About The Journey,"Audiomatic, Hidden Secret",About The Journey,314000,28,https://open.spotify.com/track/6xky2jjrKyGTDsBKZaDsVq
Maharani Hi-Tech,Henrique Camacho,Maharani Remixes,416006,44,https://open.spotify.com/track/4jWHxoaQVTrtm0qTRnigA0
Tranceport - Souls Map Remix,"Ovnimoon, Souls Map",Tranceport (Souls Map Remix),518159,5,https://open.spotify.com/track/0jn1BN8Ixkza9mUl6gvW2T
Ziran (Antinomy Remix),"Astrix, Ritmo, Antinomy",Ziran (Antinomy Remix),490069,36,https://open.spotify.com/track/0c8fWJkhK2orpBWIbApUWR
Yaatra,Damru,Yaatra,284800,50,https://open.spotify.com/track/3UwbjhNIeEPcucTiK28lFb
Hijo De La Luna (Moonchild) - Radio Edit,La Kajofol,Hijo De La Luna (Moonchild) [Radio Edit],182800,34,https://open.spotify.com/track/7FpRuyPeobJYXIlGmM07Me
Erva da Jamaica,"Vegas (Brazil), Coktel Molotov",Erva da Jamaica,293333,55,https://open.spotify.com/track/0470r5ZRMxNBzYoeTueoww
Sky - Original Mix,Yudhisthira,Ruminate,521378,18,https://open.spotify.com/track/5cG6FNgJP2BCHTCgv52zUi
Kush Tea,"Fungus Funk, Liftshift",Fractal Funk,425164,33,https://open.spotify.com/track/4ZUTq4eWs1NlMXko4kNjt9
Om Namah Shivaya,Birat Bitz,Om Namah Shivaya,505213,27,https://open.spotify.com/track/3A7NsEvILiFM7zy2NQN0Wu
Chuva 2.0,"Chapeleiro, Henrique Camacho",Chuva 2.0,252439,45,https://open.spotify.com/track/0e0r24m1IF4NtVMKK86tJM
Sahara - Original mix,Astrix,Psychedelic Awakening,528000,48,https://open.spotify.com/track/7m0xP08bcvcHFVnlEzOhBG
Revival - Original Mix,"Vermont (BR), Pondora",Revival,354857,42,https://open.spotify.com/track/1GQDiMcvhXlnz9G90n9q6h
Mantra,Jacob Tillberg,Mantra,192008,30,https://open.spotify.com/track/4YSh3Z8x3InSi8upp35k0O
Super Baked,Rugrats,Super Baked,431500,20,https://open.spotify.com/track/60C3YdvO2KpF9vm5VUVmOl
The Future - Polaris (FR) Remix,"Liquid Soul, Zyrus 7, Polaris (FR)",The Future [Polaris (FR) Remix],221246,11,https://open.spotify.com/track/3GbhTDkymfha96mIZGiC7l
Don't Try This A# - Original mix,"Wishi, Jumpstreet",Integration,435613,0,https://open.spotify.com/track/20yJLtwkX0yaqiVEtaqS6b
