Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Mortal Reminder,"Pentakill, Jorn",II: Grasp of the Undying,243500,55,https://open.spotify.com/track/2hMng3Va9y65zNzKefarHh
Last Light,Bury Tomorrow,Earthbound,236975,38,https://open.spotify.com/track/3yPpSZBQe1VK72okZte1SI
For the Glory,All Good Things,Machines,279308,3,https://open.spotify.com/track/1kd5qplldnxu16qcZXS3Yk
Bfg Division,Mick Gordon,Doom (Original Game Soundtrack),506762,66,https://open.spotify.com/track/4COR2ZPEyUn0lsbAouRWxA
Boomerang,"Smash Into Pieces, Jay Smith",Boomerang,168072,53,https://open.spotify.com/track/5IppCMMctxTtqPTeDlvyKs
Our Way,"G2, Tina Guo, Luke Holland, Carlos Ocelote, Taylor Davis, Noora Louhimo, Jason Richardson, Atlan",Our Way,191750,0,https://open.spotify.com/track/6fPnFIYsa9breYF4bAjCDz
In Due Time,Killswitch Engage,Disarm the Descent (Special Edition),197573,62,https://open.spotify.com/track/1HlOGL1p6wlpOZatJ2NwFk
Overkill,RIOT,Dogma Resistance,342618,53,https://open.spotify.com/track/4XdaaDFE881SlIaz31pTAG
Rip & Tear,Mick Gordon,Doom (Original Game Soundtrack),257734,68,https://open.spotify.com/track/5soMJpcVhSrGrB4prvPL6P
Turbo Killer,Carpenter Brut,TRILOGY,208972,58,https://open.spotify.com/track/10qbHF920zH5K8C8IcE5AL
Inferno,"Mick Gordon, LittleVMills","Killer Instinct (Original Game Soundtrack), Season 2",435378,42,https://open.spotify.com/track/7dRmZO0PTEVfEW5KjXeUKo
Wild Eyes,Parkway Drive,Atlas,258586,61,https://open.spotify.com/track/4G8EhnfKvBQVlOJ4xXCHpQ
Waking the Demon,Bullet For My Valentine,Scream Aim Fire Deluxe Edition,247693,43,https://open.spotify.com/track/2ZCCkqminNZiitXgbFArXM
"Paradise Lost, a poem by John Milton",The Used,"Paradise Lost, a poem by John Milton",167920,31,https://open.spotify.com/track/3kL1eGyxKYipkJoGGjxy0J
At Doom's Gate (DOOM E1M1),Daniel Tidwell,At Doom's Gate (DOOM E1M1),197842,0,https://open.spotify.com/track/21yxKhZ58bjwaOYPAFYk5b
Out Of Control,Hoobastank,The Reason (15th Anniversary Deluxe),162106,3,https://open.spotify.com/track/6mjHiGwrRGE8LVCXVc5QDU
Child Of The Devil,"Timmy Trumpet, Jebroer, Dr Phunk",Child Of The Devil,142663,41,https://open.spotify.com/track/6Sn6fAcrWFJ7Zq5sH6Nhbw
Numb,Linkin Park,Meteora,187520,91,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
Bring Me To Life,Evanescence,Fallen,235893,90,https://open.spotify.com/track/0COqiPhxzoWICwFCS4eZcp
My Demons,STARSET,Transmissions (Deluxe Version),288036,75,https://open.spotify.com/track/3Xfg7AegXaDLoD5GOUMf2e
On My Own,Ashes Remain,What I've Become,172960,0,https://open.spotify.com/track/6HCkDai7cXHo85eW5mBXc7
New Divide,Linkin Park,Iridescent,268613,54,https://open.spotify.com/track/7EbpUdQ4nQ5VnnFlZjvqYl
Be Somebody,Thousand Foot Krutch,The End Is Where We Begin,222435,67,https://open.spotify.com/track/33MnSYLvtOrbj5zwfioEiH
Monster,Skillet,Awake,178013,84,https://open.spotify.com/track/2UREu1Y8CO4jXkbvqAtP7g
End of Me,Ashes Remain,What I've Become,170426,0,https://open.spotify.com/track/3tfTwukbzAVanIvsYeIEmj
