Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Bobcat,Andrei,Bobcat,312996,21,https://open.spotify.com/track/3ePhr1MGLjs8eb9M6PMnvo
Reign,"Livio & Roby, Julian Perez",Phantom Circle,465256,12,https://open.spotify.com/track/0EGd6Ql05Gm4I7fyFpo2BZ
Sunset,Schrill,Va: 01,430380,21,https://open.spotify.com/track/3EOXdYMW3xP5Pe3Y210ceq
The Future,Cristoph,"Consequence of Society, Vol. 1",465905,21,https://open.spotify.com/track/0uuUum3d4rlYWc4Rfela1P
Dawn Broke,NTFO,Approach,440528,12,https://open.spotify.com/track/1aYO2zOsCD0Z6LRYQkpEU1
Nici Cu La,Livio & Roby,Nici Cu La EP,435844,2,https://open.spotify.com/track/5Q4Uu4gWfhit8O9pDeLVJb
TANTITO,Beave,TANTITO,209280,1,https://open.spotify.com/track/3dlyjffYtnznwx73neG0MK
Little Helper 307-1,Legit Trip,Little Helpers 307,399360,3,https://open.spotify.com/track/7gZRyHAV6r9JuZ5LXsAxaV
Bring ur love,Hostox,Blue Magic,515657,16,https://open.spotify.com/track/21XCk1Q9KxO5cjNAqxzeUU
Airflow,iO (Mulen),Crux / Airflow,608780,10,https://open.spotify.com/track/0fsGUjer9Hin6ZOb7Ds7Ii
Senses,"Steve O'Sullivan, Traumer",Assembling Pieces,416342,14,https://open.spotify.com/track/1oc2532pBPnKLxUbJ7POEt
Unten - Janeret Remix,"Doubtingthomas, Wyro, Janeret",Unten,435228,5,https://open.spotify.com/track/2hzeHzytDDsUO5wWuAdTds
Singularity,Janeret,Yoyaku Split,609523,0,https://open.spotify.com/track/4NxFdDnQUXvTURdxIVqJJ7
Rolling Shapes - Original Mix,Silat Beksi,Gravity EP 2,526693,10,https://open.spotify.com/track/0DsdWEteZRYwWnEmrZnPhF
Sunetul Marii,Costin Rp,Sunetul Marii,513427,0,https://open.spotify.com/track/6W6iD3D2KcRUxTrJvuVSWx
Artefacts,Diego Krause,Pale Blue EP,420952,0,https://open.spotify.com/track/6xhnv7MpF5nj19vILJpbNi
Catwalk,Andrei,Catwalk,316858,5,https://open.spotify.com/track/0G5lVh9yLdHpL4cWXJcbvm
Loopo Di Mare,Noha,Cat EP,432369,9,https://open.spotify.com/track/0SeEJhBxfEkqhuoyrVpaYE
CC,NTFO,Approach,437968,3,https://open.spotify.com/track/3ZB259RH3PFoT50wGhgCVK
"Hostom ZZZ, pt. 2",Hostom,HOSTOM ZZZ,452301,0,https://open.spotify.com/track/0kpl8oqICq9ycnbGaHi7DE
