Track Name,Artists,Album,Duration (ms),Popularity,Track URL
There Will Be Rain,Million Eyes,In the Wind,122215,63,https://open.spotify.com/track/1iv1JThcpZlvOIGhIJj99g
奇術師のバイレ,Yoshihisa Hirano,TVアニメ「HUNTER×HUNTER」オリジナル・サウンドトラック,66946,0,https://open.spotify.com/track/27kGlAZVLGtgbWSuCbxXge
Amur Waves,"Max Kyuss, Nikolai Nazarov, Separate Exemplary Orchestra of USSR Defense Ministry",Old Waltzes,184506,42,https://open.spotify.com/track/4iLKAdJtlTGdZGkHIdYEB0
The Last Dance,Peter Gundry,The Shadow's Bride,194400,48,https://open.spotify.com/track/79Kil59w7CQWor8NY2W6zv
"The Sleeping Beauty, Op.66, TH.13 / Prologue: 3. Variation VI - The Lilac Fairy","Pyotr Ilyich Tchaikovsky, Orchestra Victoria, Nicolette Fraillon",My First Ballet Album,82720,0,https://open.spotify.com/track/5FAZ1cLraFwRbWp8srcKxx
Jazz Suite No.2 - Arr. André Rieu: Waltz No.2,"Dmitri Shostakovich, André Rieu",BRAVO! - The Classical Album 2014,220306,0,https://open.spotify.com/track/0abTdrlMzrn5Gj73tI6b4R
Mia & Sebastian’s Theme,Justin Hurwitz,La La Land (Original Motion Picture Score),96893,50,https://open.spotify.com/track/1joFnRAR5U4kQb34ubZ7sD
Lisa's waltz,Lisa Chong,Lisa's waltz,129812,38,https://open.spotify.com/track/7l2CT1m2Fr9p5aQEYV6TEj
Forest Tale,"Wilhelm Becker, Nikolai Nazarov, Separate Exemplary Orchestra of USSR Defense Ministry",Old Waltzes,159493,30,https://open.spotify.com/track/0Yo2npemcnO53vTw5io74J
"Les Jeux d'eaux a la Villa d'Este, S. 163","Franz Liszt, Garrick Ohlsson",Franz Liszt: Volume 2,499480,0,https://open.spotify.com/track/0Pzp03HQh9ZKE6pdSj9E5O
Alice in Wonderland: Act I: Alice and her Sister,"Carl Davis, Prague City Philharmonic Orchestra","Davis, C.: Alice in Wonderland",122426,18,https://open.spotify.com/track/3K3yHrVjLxJOTzpA1yoPtj
"The Sleeping Beauty, Op. 66, Act 1: “Lilac Fairy” Variation la fée des Lilas – voluptueuse (Slow) [Fast]","Pyotr Ilyich Tchaikovsky, William Miller","Classical Ballet Variations, Vol. 1",81349,7,https://open.spotify.com/track/7JAeKOl7lTFut34dxpkHGn
Love Theme,Ennio Morricone,Cinema Paradiso - Music By Ennio Morricone,166533,0,https://open.spotify.com/track/6YWisEUWb3KLhf0GAYI5Cx
"Ma mère l'oye, M. 60: 5. Le jardin féerique. Lent et grave","Valeria Szervánszky, Ronald Cavaye",Stravinsky: Le Sacre du printemps,180600,44,https://open.spotify.com/track/3F3J5UND5sXaHZX7Efolcc
Amore mio aiutami - Main Theme,Piero Piccioni,Amore mio aiutami (Original Motion Picture Soundtrack),234026,62,https://open.spotify.com/track/29KwH2LEjfWEtiC2jCrLVw
Vistoris Lake,Arden Forest,Kiriume,163448,35,https://open.spotify.com/track/3VdBSfVHbHVqck9PDT7jDN
Il Reste Du Temps,Lo Mimieux,Il Reste Du Temps,193590,41,https://open.spotify.com/track/3s8MvMwLKnwCHlC7tGjNLo
Erik Satie: Gymnopédie No. 1,Pyotr Godunov,Erik Satie Gymnopédies,212503,52,https://open.spotify.com/track/1GOEFPNFBqPKCEFpQj4rn8
The English Affair,Howard Harper-Barnes,Pemberleigh,123805,57,https://open.spotify.com/track/5v7qqDPl9KRifoMV4GrLki
"Clair de Lune, L. 32","Claude Debussy, Martin Jones",Debussy: Clair De Lune and Other Piano Favourites,268000,69,https://open.spotify.com/track/5u5aVJKjSMJr4zesMPz7bL
Nod,Lo Mimieux,Nod,276000,36,https://open.spotify.com/track/1bxU7rGjZxvzSL9GrxUoYR
Balm,Peter Sandberg,Trickle,126937,0,https://open.spotify.com/track/2aX71UhgCfHkciDNA3pH71
Act I - Pas d'action: Rose Adage,"Pyotr Ilyich Tchaikovsky, Royal Philharmonic Orchestra",The Sleeping Beauty,392613,0,https://open.spotify.com/track/6Dzr80ZrDJXNx8ihUOoqpZ
The Mercy of the Wind,Million Eyes,In the Wind,105587,68,https://open.spotify.com/track/59EPbYaZgU4qrQy1OwwhKt
The Vampire Masquerade,Peter Gundry,The Edge of Darkness,191250,56,https://open.spotify.com/track/65QiDjsXKQ2l3n8c9hnOtN
"So This Is Love - From ""Cinderella""","Ilene Woods, Mike Douglas",Princess Collection,92600,58,https://open.spotify.com/track/1jlCTXvGEQpPuumICdSKzw
"Swan Lake, Op. 20 (Mariinsky Version), Act II: No. 19a, Pas de deux: Coda. Allegro molto vivace","Pyotr Ilyich Tchaikovsky, Mariinsky Orchestra, Valery Gergiev",Tchaikovsky: Swan Lake,104013,24,https://open.spotify.com/track/3Trwb6bXX1n6tFitAGPZnb
Nocturnal Waltz,Johannes Bornlöf,Nocturnal Waltz,128766,58,https://open.spotify.com/track/1cyZIM22N8kmBqdATPBmI7
L'autre Valse D'amélie,Frédéric Schubert,Pop Ballads on Piano,65681,57,https://open.spotify.com/track/2osMu8c4ahjQGQ7gsRQw8I
Merry-Go-Round of Life (From Howl's Moving Castle Original Soundtrack) - Live (Remastered),Nuvo Orchestra,Studio Ghibli Meets Orchestra [Live (Remastered)],213146,53,https://open.spotify.com/track/1R8h6rhCVAs8kEL6rkc1ZI
Gramophone,Eugen Doga,Cascade of Dreams,149480,0,https://open.spotify.com/track/11NTSbxJA33fvwbttMQOZd
So This Is Love,Emile Pandolfi,So This Is Love,172187,57,https://open.spotify.com/track/0gsBQy8Q0eWlR67xDmoWFw
