Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Ghost Town,"VINAI, John De Sohn",Ghost Town,155409,38,https://open.spotify.com/track/4PPCWezfTaXfJxvJh3scND
10:35,"Tiësto, Tate McRae",DRIVE,172252,77,https://open.spotify.com/track/36gcliMRX1vCpgnrZE3dFZ
Who's Holding You,"VIZE, Dario Rodriguez, Lagique",Who's Holding You,161478,29,https://open.spotify.com/track/4ji0j6QV4GgH6fVeEEamrO
Hide Away,"VINAI, LA Vision",Hide Away,150750,57,https://open.spotify.com/track/0CQctRjgAceCvmtQ1CCY22
Sacrifice,"Besomorph, RIELL",Sacrifice,133124,0,https://open.spotify.com/track/2YO9S16xa3rnM8LZGntcHX
Fantasize,"Dream Chaos, Britt",Fantasize,145461,0,https://open.spotify.com/track/3wX2U0wWZ1SuOTyRxRtiNj
Happy (feat. Tiina),"KSHMR, Tiina",Happy (feat. Tiina),210666,37,https://open.spotify.com/track/3CjdXar5vfq39M06YNwCE0
After Midnight (feat. Xoro),"Lucas & Steve, Yves V, Xoro",After Midnight (feat. Xoro),143526,55,https://open.spotify.com/track/5ANWAzmveemGd3Zqb5FXR1
Burn With You,"Poylow, DENNICK, Dave Who, Zev",Burn With You,121904,19,https://open.spotify.com/track/5LDxZwLlaV2a5mkgIONrt9
Something,"Hr. Troels, Morty Simmons, Crystal Rock, Romy Dya",Something,203250,48,https://open.spotify.com/track/1KgU8LZ7MWxBkCugjWFRJ2
Devil,"B3nte, Alex D'Rosso, B3VA",Devil,138661,16,https://open.spotify.com/track/0ZrJ5soMgpRi6YcU9U1iCK
Ocean Of Tears,"Imanbek, DVBBS",Ocean Of Tears,184462,48,https://open.spotify.com/track/6oJIAZpChGNIEMAecud9SZ
Hey Baby (Drop It To The Floor),"Poylow, Kverz, SKYWALKER",Hey Baby (Drop It To The Floor),124218,37,https://open.spotify.com/track/2iY8LkEDOXNfEkmxSSYlZ9
In Your Sleep,GRY,In Your Sleep,153139,28,https://open.spotify.com/track/7aLFMzV4rlvylwnHlAZYug
Typical (feat. Lars Martin),"Alok, Steve Aoki, Lars Martin",Typical (feat. Lars Martin),141312,40,https://open.spotify.com/track/0zbCQ5BMhpFfKWcpEuzqVd
How to Save a Life,"Yohan Gerber, Poylow, CRVN",How to Save a Life,147187,22,https://open.spotify.com/track/4UsOdefEGR3cuhmatZfQO9
Stay,"Blasterjaxx, Marnik, LUNAX",Stay,150620,42,https://open.spotify.com/track/5IeFO7aWhkpFmaHKr3QyJV
Ghost Town (Lucas Estrada Remix),"VINAI, John De Sohn, Lucas Estrada",Ghost Town (Lucas Estrada Remix),137957,59,https://open.spotify.com/track/0ndg56b510prqHlImqJoxG
Frozen River (feat. Jessica Chertock),"Hard Lights, Mangoo, Felix Schorn, Jessica Chertock",Frozen River (feat. Jessica Chertock),141101,33,https://open.spotify.com/track/6pnfPNXGDOpuMhHCM6YwN7
Imposter,"Zsá Zsá, VIZE, ALOTT",Imposter,191428,9,https://open.spotify.com/track/7MKqUpTcTDm9GIftq27t3j
