Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Join Me,Gregorian,Masters of Chant: Chapter III,310226,1,https://open.spotify.com/track/6qM2KMFtIRTSiHYboeBlwN
Sea of Tranquility,HaxnovR,Sea of Tranquility,273807,0,https://open.spotify.com/track/7JjNCEca6iENF6Z7DtdgmI
The Monks of Lindisfarne,Achillea,The Nine Worlds,192786,40,https://open.spotify.com/track/2al5JHXAmtldfEQ3iIIUMH
Sadeness - Part I / Extended Trance Mix,Enigma,Sadeness (Part I),302306,44,https://open.spotify.com/track/3exCa2VExkXc27C3SDGUVG
Mea Culpa,Enigma,MCMXC a.D.,301333,59,https://open.spotify.com/track/5Q1WrsTDRJQXKlqLUo8YkG
The Rivers Of Belief - Radio Edit,Enigma,The Rivers Of Belief,258771,53,https://open.spotify.com/track/3XcBi2zVhqSnIQ8kMlK9gV
Principles Of Lust: Sadeness / Find Love / Sadeness (Reprise),Enigma,MCMXC a.D.,703133,63,https://open.spotify.com/track/6YyqULhTNU7AKaKJKChluQ
Mother - Remix,ERA,Era I,249480,54,https://open.spotify.com/track/5hDWYX2jd9Ois1oUIybgT2
Divano,ERA,Era II,233480,62,https://open.spotify.com/track/0rmg0BnI951Unz2OjbGnli
Ameno - Remix,ERA,Era I,227133,57,https://open.spotify.com/track/4ynh6SYokrNc1E6fHKSTht
Sadeness,Curly Gregorian,Synthesizer Greatest 6,257293,25,https://open.spotify.com/track/4WJ94g1XVaF82I2JLnP7qS
Losing My Religion,Gregorian,Masters of Chant,352386,4,https://open.spotify.com/track/1DA9mlXkPmzA2ivZKHuQp1
Enae Volare Mezzo - Remix,ERA,Era I,227466,52,https://open.spotify.com/track/1jMK5UcNDbMOzTiWG0YJ2d
After of My Life,Shinnobu,The Enigma IV,311970,0,https://open.spotify.com/track/4IBAbJVzWLwvyFuUZ99XxO
So Sad,Gregorian,Synthesizer Greatest 6,226400,35,https://open.spotify.com/track/2WUnN7hMC9WmVTvrSyPW6y
La Puerta Del Cielo,Enigma,Seven Lives Many Faces,208266,53,https://open.spotify.com/track/5aLmNHoANEqTeW05QIzaZp
Why!...,Enigma,"Le Roi Est Mort, Vive Le Roi!",299373,54,https://open.spotify.com/track/0J0ZKb0gHNVIITfF8kZW4S
Invisible Love,Enigma,A Posteriori,295360,49,https://open.spotify.com/track/7bAzPwZB2oMzpmQCwFRINo
