Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Sufriendo,"MYLØ, Zafra Negra",Sufriendo,164516,0,https://open.spotify.com/track/3afAUVkCzAtkjiDxrtq6K1
NY - Radio Edit,"MichaelBM, Jayie, LATIN HOUSE GANG",NY EP,123692,49,https://open.spotify.com/track/4nF4av1Kubj8Ac1y5lDzT3
Dance No More (with Kaleena Zanders),"Sunday Scaries, Kaleena Zanders",Dance No More (with Kaleena Zanders),202657,1,https://open.spotify.com/track/5IkqbeN8L6DC9kRA7Hp64t
Case Of The Ex (feat. Mya Francis),"Jack Back, N.F.I, David Guetta, Mya Francis",Case Of The Ex (feat. Mya Francis),127699,39,https://open.spotify.com/track/0jwGDGBIyzdsNxYkj7vNUb
Aunties Groove - Extended Version,Jonas Van Opstal,Aunties Groove (Extended Version),375899,7,https://open.spotify.com/track/32pYnq0rBEs7rOzqbWpmcc
Tucibi,"The Gang Raw, Brad Brunner, Jianu",Tucibi,212093,23,https://open.spotify.com/track/15pcNdiY5sIashVBSgQBa1
Danny Phantom,"Curbi, CASHEW",Danny Phantom,200077,36,https://open.spotify.com/track/17NKQ5IpedOGTdaSVSWEBb
Number 1,"James Hype, Major Lazer",Number 1,145200,58,https://open.spotify.com/track/5HadIAY3Oray8VKuv3shgQ
Take Me Away,"Dillon Francis, longstoryshort",Take Me Away,146718,45,https://open.spotify.com/track/1cs1kaN1LzB6bthOFH01Q2
TANTITO,Beave,TANTITO,209280,1,https://open.spotify.com/track/3dlyjffYtnznwx73neG0MK
Welcome To The Future,"KVSH, Carola",Welcome To The Future,172800,41,https://open.spotify.com/track/6rwKmp46Ssl0D9VDVaGKVo
Halo,"Eli & Fur, Punctual, Richard Judge",Halo,214575,49,https://open.spotify.com/track/6LziN7kYIkvyV4DLz5kAL1
The Freaks,"David Guetta, Marten Hørger",The Freaks,256350,0,https://open.spotify.com/track/1cTHUMdInmZvxVCHnzHOj2
Trujillana,"Maxx Lyon, Andrew Hansel",Trujillana,120000,19,https://open.spotify.com/track/47zvDIWnlhZWcWhZEDauTA
Lights Go Down,"Drinks On Me, Why So Low",Lights Go Down,151874,53,https://open.spotify.com/track/2M2itA0spt6ZXit7l21WMJ
Bring It Back,Mesto,Bring It Back,186666,22,https://open.spotify.com/track/2O97OMWIHjOF5dqVYQMOX1
Jungle - Rico Nasty Remix,"Fred again.., Rico Nasty",Jungle (Rico Nasty Remix),213133,47,https://open.spotify.com/track/1c4R7VEZSRIqO2eGR9LKXX
Why Can't You Wait - 3LAU Remix,"The Chainsmokers, Bob Moses, 3LAU",Why Can't You Wait (3LAU Remix),221612,34,https://open.spotify.com/track/6KXmKsgyW8EtRHlMk1ehKi
Power (Remember Who You Are) - Flippersworld Remix,"SPINALL, Äyanna, DJ Snake, Summer Walker",Power (Remember Who You Are) [Flippersworld Remix],230918,29,https://open.spotify.com/track/47dk2gAViRkU76yB45VPk2
LFG,Lucas & Steve,LFG,131428,27,https://open.spotify.com/track/68ZnVusVckKXOLW80KGeRh
Jealous,Mochakk,Jealous,256406,62,https://open.spotify.com/track/5Ir9mqfAUnXkSkXHF1yvM0
Set You Free,"Lucas & Steve, Laura White",Set You Free,169523,38,https://open.spotify.com/track/4MyPLcBTpqfXZJKcUhMXOg
Show Me (feat. Hannah Boleyn),"John Summit, Hannah Boleyn",Show Me (feat. Hannah Boleyn),177142,3,https://open.spotify.com/track/5U5Q3MbGlEc6q9NK9lMiPD
Laserbeam - Stumpi Remix,"Ray Volpe, Wooli, Stumpi",Laserbeam (Stumpi Remix),300907,18,https://open.spotify.com/track/2zLstdGcoyplSGrgeDmdTA
Pull Up,"DJ Hanzel, Dillon Francis",anti everything,160645,37,https://open.spotify.com/track/14ypcMSqXvuiGFcaMrGreK
Time For Action,"BODYWORX, MOTi",Time For Action,140000,32,https://open.spotify.com/track/779bqhxaTGILCqHf5LK2pK
On The Drums,Pickle,On The Drums,206129,47,https://open.spotify.com/track/7d2RpBy2qTpFnzXd5jwX5F
Poison,"Dastic, Castion",Poison,181150,12,https://open.spotify.com/track/2tnD4crL0xNBYMiNy9dv1R
