Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Apollo - Original Mix,Charlotte de Witte,Apollo EP,420684,2,https://open.spotify.com/track/50OKS8aOeuiegMnJuPKUeN
Mercury,"HI-LO, Space 92, Oliver Heldens",Mercury,225346,1,https://open.spotify.com/track/25dFcH5EsCJLMSmFDDJLT3
On The Beach - Eli Brown Remix,"YORK, Eli Brown",On The Beach (Eli Brown Remix),209794,26,https://open.spotify.com/track/2mHsfuHrY40djfLRFVxCm2
INFERNO,"HI-LO, Kasablanca, Oliver Heldens",INFERNO,179097,45,https://open.spotify.com/track/6WqNV3V9tITvbjW3R1l4Rd
PACMAN,Hardwell,PACMAN,232500,39,https://open.spotify.com/track/0V0FJBR8xhhMuirhRY15we
Für Heisenberg,Hozho,Yin Yang,525125,49,https://open.spotify.com/track/3SU8vSoDShZUMiBImbPjss
Save Me,Frankyeffe,Save Me,381176,33,https://open.spotify.com/track/7LmSjuxxri81vEP5lVv9Q4
New Generation - Space 92 Remix,"Layton Giordani, Space 92",New Generation (Space 92 Remix),235111,45,https://open.spotify.com/track/5R83UKYem3OpSmWCvE3Yax
Ecstasy,"MEDUZA, GENESI",MEDUZA,139047,50,https://open.spotify.com/track/7gT3poPl89krqi8qcBinyU
Cyberdrum,Creeds,Cyberdrum,250000,40,https://open.spotify.com/track/0CIjzzN8TOeduEKLXmt1sc
Convivium,"Gabry Ponte, T78",Convivium,133200,60,https://open.spotify.com/track/16koq0SV3LIAXl5V2FfGKM
Love Takes Over,"Maddix, Sarah de Warren",Love Takes Over,177428,49,https://open.spotify.com/track/4cGhsEZuHW25c7njXpSx2v
Tension,Will Sparks,Tension,254656,0,https://open.spotify.com/track/6XiCKqfm5Xggvz5XuTC29t
High Street - Amazingblaze Remix,"Charlotte de Witte, Amazingblaze",High Street Remixes EP,377226,34,https://open.spotify.com/track/4vJgSFTCP6gcYknUXpqX52
Deep In Your Mind,Mariana BO,Deep In Your Mind,165500,27,https://open.spotify.com/track/7FKsdCuo1yykdXGtLuG7rI
Apex,"Ummet Ozcan, Will Sparks",Apex,261879,43,https://open.spotify.com/track/2rkYtkOUorjiLp4kDdnOzk
Say It Again,Will Sparks,Say It Again,207272,60,https://open.spotify.com/track/0dDGl66J8riMFyp2yUn88W
Lollipop - Achilles Edit,"FOVOS, Achilles",Lollipop (Remixes),175862,41,https://open.spotify.com/track/38ZATth3dH2e16nbECIpl0
LSD,"Will Sparks, New World Sound",LSD,192000,58,https://open.spotify.com/track/4ftSB15eM3yGYXmzJpGMaw
Rumble,Joel Fletcher,Rumble,156190,27,https://open.spotify.com/track/4LRUkddonWluB8pQmkPYYY
Purpose,"Blasterjaxx, Maddix",Purpose,227142,34,https://open.spotify.com/track/7Bwi1y2SWydkMxyXWSMnGa
Blackout,AIROD,Blackout EP,314116,30,https://open.spotify.com/track/3hEFXLlvL6plzzAK3MIUlG
Computers Take Over The World - Maddix Remix,"Armin van Buuren, Maddix",Computers Take Over The World (Maddix Remix),242112,21,https://open.spotify.com/track/7fRl0YAfpbec1pQJwsaQLh
My Beat Goes,Ummet Ozcan,My Beat Goes,226285,60,https://open.spotify.com/track/12vw8PuxYG0jd6YW2gBcAK
Renaissance,"BUNT., VisionV",Renaissance,151688,53,https://open.spotify.com/track/03aBQclFfQ82oEYCYTORfY
Kronos - Original Mix,HI-LO,Kronos,287291,1,https://open.spotify.com/track/6eiEPJ16dOxe0hME3NWxfP
Round Round,"Will Sparks, Gigi Russ",Round Round,226259,5,https://open.spotify.com/track/4hB0gb4KGm17u266JD5pbc
Experiment 001 - Larix Remix,Henry Effe,Experiment 001,490240,22,https://open.spotify.com/track/11TbQBDcFos1kCLIZbjnVv
Take Me Away Again,"Hardwell, Maddix, 4 Strings",Take Me Away Again,205217,47,https://open.spotify.com/track/2meQ2wSIBU8OQDKlJcJk5j
Automa - Original Mix,MOTVS,Dna,291891,8,https://open.spotify.com/track/5i0AyH9Hvk4JAfpv2gHRUR
Collussion - NeuroBeatz Remix,"Dutch Hour, NeuroBeatz",Collussion (NeuroBeatz Remix),120004,0,https://open.spotify.com/track/7vf5eXCXcvKptQrDEfZz16
I FEEL LIKE DANCING,Hardwell,I FEEL LIKE DANCING,225681,44,https://open.spotify.com/track/651YhrvzeVfOa8yIifIhUM
Beating,"MOTVS, Patrick Scuro",Beating,255652,17,https://open.spotify.com/track/3SveMUU7HWIOjCAR2ZFk3h
Mirage,Will Clarke,Mirage,228750,0,https://open.spotify.com/track/3ZWo7cjpmthm54fMaQkuMc
Hatchback,MOTVS,Contrast,245625,31,https://open.spotify.com/track/7DmKFnySIXmqzuBLWf9gRP
Digital Age,Layton Giordani,Digital Age,238000,0,https://open.spotify.com/track/3AuJASZEkafogVWC1hEAHm
Remote Control,22Bullets,Remote Control,200625,22,https://open.spotify.com/track/6bY2RDT9xWSfgODfa7Jdm9
BASS DON'T LIE,"Blasterjaxx, Luciana",BASS DON'T LIE,206482,44,https://open.spotify.com/track/2ptmmuBjaCXQr6zmdgf6Qg
Continuum,Ummet Ozcan,Synesthesia 1,263076,34,https://open.spotify.com/track/3WKeEpL4Ldqb4l8LH3m66l
Hello Techno,"Mariana BO, Bonka",Hello Techno,147607,38,https://open.spotify.com/track/3KMWVEyu36Y4lOHNTiAY1J
