Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Nothing Else Matters,Metallica,Metallica,388733,3,https://open.spotify.com/track/10igKaIKsSB6ZnWxPxPvKO
"Take Me Home, Country Roads - Rerecorded",John Denver,"The John Denver Collection, Vol. 1: Take Me Home Country Roads",197813,5,https://open.spotify.com/track/2xYlyywNgefLCRDG8hlxZq
Separate Ways (Worlds Apart) [2023 Remaster],Journey,Frontiers (2023 Remaster),323453,77,https://open.spotify.com/track/1pTw2cNrp9L3esxLAvWnN2
Zombie,The Cranberries,No Need To Argue,306426,9,https://open.spotify.com/track/2IZZqH4K02UIYg5EohpNHF
Kickstart My Heart,Mötley Crüe,Dr. Feelgood,282653,11,https://open.spotify.com/track/7GonnnalI2s19OCQO1J7Tf
Every Breath You Take,The Police,Stranger Things (Soundtrack from the Netflix Original Series),251573,7,https://open.spotify.com/track/0SNGe4xksgp7CGnY5kMXOJ
Don't Know What You Got (Till It's Gone),Cinderella,Long Cold Winter,354640,66,https://open.spotify.com/track/5QRs63VVKNaqUjg6XSSckM
Rock And Roll All Nite,KISS,Dressed To Kill,168840,77,https://open.spotify.com/track/6KTv0Z8BmVqM7DPxbGzpVC
Summer Of '69,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),216053,87,https://open.spotify.com/track/0GONea6G2XdnHWjNZd6zt3
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"Eiffel 65, Gabry Ponte",Blue (Da Ba Dee),283747,62,https://open.spotify.com/track/5QRAfvKPyQpwt897Jc0glg
Crazy Train,Ozzy Osbourne,Blizzard of Ozz (Expanded Edition),296200,9,https://open.spotify.com/track/2b9lp5A6CqSzwOrBfAFhof
Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),301920,14,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
November Rain,Guns N' Roses,Use Your Illusion I,536066,85,https://open.spotify.com/track/3YRCqOhFifThpSRFJ1VWFM
Harden My Heart,Quarterflash,Quarterflash,232626,59,https://open.spotify.com/track/3CSLUIrI2KPMulHR5bh17O
U Can't Touch This,MC Hammer,Please Hammer Don't Hurt 'Em,257359,77,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu
Time is Running Out,Muse,Absolution,237039,8,https://open.spotify.com/track/2takcwOaAZWiXQijPHIx7B
Still Got The Blues,Gary Moore,Still Got The Blues,370866,71,https://open.spotify.com/track/0DnGfA1r8pAssJCuq4ojla
Chop Suey!,System Of A Down,Toxicity,210240,89,https://open.spotify.com/track/2DlHlPMa4M17kufBvI2lEN
(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,393640,81,https://open.spotify.com/track/1Eb90nmqTrxylKFhcUzW8P
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,293826,81,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
Don't Worry Be Happy,Bobby McFerrin,The Collection,292400,71,https://open.spotify.com/track/5YbgcwHjQhdT1BYQ4rxWlD
Heaven,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),243360,86,https://open.spotify.com/track/7Ewz6bJ97vUqk5HdkvguFQ
Take on Me,a-ha,Hunting High and Low,225280,90,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
Nothing's Gonna Change My Love for You,Glenn Medeiros,Glenn Medeiros,232066,0,https://open.spotify.com/track/2EnZ9bpgUtLgKkRFehp8xS
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair,251480,4,https://open.spotify.com/track/40dJCw4xU6Bd5ie9rfagNo
Never Gonna Give You Up,Rick Astley,Whenever You Need Somebody,213573,7,https://open.spotify.com/track/4uLU6hMCjMI75M1A2tKUQC
The Happiest Days of Our Lives,Pink Floyd,The Wall,110826,63,https://open.spotify.com/track/2O3l4X1yTua8oMMCtazkyo
"Another Brick in the Wall, Pt. 2",Pink Floyd,The Wall,238746,85,https://open.spotify.com/track/4gMgiXfqyzZLMhsksGmbQV
Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,273600,10,https://open.spotify.com/track/5NIPsWpDjJTFBoPxCUUeXp
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),329733,88,https://open.spotify.com/track/48UPSzbZjgc449aqz8bxox
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,356400,10,https://open.spotify.com/track/4MhTFsyqIJnjsOweVcU8ug
