Track Name,Artists,Album,Duration (ms),Popularity,Track URL
I will,Chelsy,I will,280360.0,50.0,https://open.spotify.com/track/4H7VWLkql9hdTVcVxynEVg
あんたなんて。,Riria.,あんたなんて。,241630.0,51.0,https://open.spotify.com/track/51rMlcKYFXxO59shnOGkry
晴る,ヨルシカ,晴る,270705.0,75.0,https://open.spotify.com/track/5eY7692tmgHB9dbmq6wa2M
天使たちの歌 - TVアニメ「義妹生活」オープニング主題歌,fhána,天使たちの歌 (TVアニメ「義妹生活」オープニング主題歌),256040.0,42.0,https://open.spotify.com/track/4bSY6LK4KNiTGdc0C8EYYk
Teenage Blue,Eve,Teenage Blue,225644.0,49.0,https://open.spotify.com/track/4Fm8ggLr1zXelWShFbqiZE
Ebi Fry,YAJICO GIRL,EUPHORIA,157889.0,19.0,https://open.spotify.com/track/2TXvQuZfzTQ4bLDkWEbU8Y
もうどうなってもいいや,Hoshimachi Suisei,もうどうなってもいいや,203066.0,71.0,https://open.spotify.com/track/17oTdCFRG5Vp4381jehV3U
ALIVE,ClariS,ALIVE,217693.0,51.0,https://open.spotify.com/track/5cBmwNnKGLPRCQWzFS0r0Y
Lazy Cat,Eve,Under Blue,155640.0,50.0,https://open.spotify.com/track/7lRJJfTmt202wKDXiPRiI6
言って。,ヨルシカ,夏草が邪魔をする,242182.0,70.0,https://open.spotify.com/track/6z1TvLTR0oOsWSJfDrERmj
Stereo Sunset - Prod. AmPm -TV size ver.,"Himika Akaneya, AmPm",Stereo Sunset (Prod. AmPm -TV size ver.),94166.0,0.0,https://open.spotify.com/track/4gkkoaQSQa9JGBL6AdXvLD
ねっこ,King Gnu,ねっこ,239728.0,69.0,https://open.spotify.com/track/4btYb7Tfjw5bQazC6bQXpl
SOULSOUP,OFFICIAL HIGE DANDISM,SOULSOUP,314469.0,46.0,https://open.spotify.com/track/1JrxwbZ9u0VNwemdcJwZNi
ひとりごと,Omoinotake,ひとりごと,277444.0,65.0,https://open.spotify.com/track/43QChW7cZQdAmWbmamy2mZ
Kaiju,sakanaction,Kaiju,252722.0,67.0,https://open.spotify.com/track/7sMRDjjwsB7wQEBOkdfg0i
Swamp,iri,Swamp,176546.0,49.0,https://open.spotify.com/track/2uWlL56OdmgMy9eCMTUZmN
