Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Where To Now - Will Atkinson Gold Mix,"Aly & Fila, Sue McLaren, Will Atkinson",Quiet Storm (Remixes) [Extended Versions],562285,6,https://open.spotify.com/track/4PoCumKVf5JX3OhAJZQEIB
Cala Bassa,David Broaders,Unity Gain E.P,208636,39,https://open.spotify.com/track/3PG8JJHzTiPHsNRGrxobe0
May The Road Rise,"John O'Callaghan, Paul Skelton, Ren Faye",May The Road Rise,239177,33,https://open.spotify.com/track/7FxlaeAuQ7lJ4FHL9iFdfU
The Awakening - NRG Trax Remix,"YORK, NRG Trax",The Awakening (NRG Trax Remix),162857,24,https://open.spotify.com/track/3oIXFLUUTNUUni2LyzML3I
Farewell To The Moon - Torsten Stenzel Sunset Mix,"YORK, Torsten Stenzel",Farewell To The Moon (Torsten Stenzel Sunset Mix),229565,26,https://open.spotify.com/track/4pzBoXzCB4kRe88CAl3q9u
Evoke - Extended Mix,"Simon Patterson, Magnus",Evoke,398000,17,https://open.spotify.com/track/0QuJBEhGVYcxIkCqE9aCSC
Echoes,"Mhammed El Alami, Hanna Finsen",Echoes,213913,22,https://open.spotify.com/track/7hkvZxJNGyItajl1OswyKH
Finding You,"Ciaran McAuley, Amos & Riot Night",Finding You,211714,29,https://open.spotify.com/track/1f80zbXrdtIkvSO25eqtb7
Viva La Vida,Jorn Van Deynhoven,The Future Is Now,227907,45,https://open.spotify.com/track/2j3UbEPf6ZPkdUhooNc676
Never Saw You Coming,"Alan Morris, Leddra Chapman",Never Saw You Coming,259130,33,https://open.spotify.com/track/5YnXotWEdYPyn3VeqeGKNX
Era,Ummet Ozcan,Era,284301,51,https://open.spotify.com/track/1eao1v2p0x5mckT9gMTOH6
Other Side of the World,"Craig Connelly, HALIENE",Other Side of the World,263913,34,https://open.spotify.com/track/651Kbc7yL6QyiPj0MeAanl
Helios,David Broaders,Helios,210059,31,https://open.spotify.com/track/2XU8Vvqbr6UqkJyVxDgha6
Made of Light - Radio Edit,"Alan Morris, Jess Morgan",Made of Light,248695,39,https://open.spotify.com/track/1qp2k5QYxWQK3SHpHbvwMc
Head Above Water,Temple One,Head Above Water,186086,12,https://open.spotify.com/track/6smsSrYAECas2DjmLcjBuU
Greece 2000 - Melih Kor Remix,"Three Drives On A Vinyl, Three Drives, Melih Kor",Greece 2000 (Remixes),199837,32,https://open.spotify.com/track/51ut8xEtPCkuWyHMujJrGw
We Are the Night,C-Systems,We Are the Night,183529,38,https://open.spotify.com/track/6lWwlMV4kSgDyfb1ipnpOC
Sometimes I Wish - Original Mix,"Tritonal, Bethany",Piercing The Quiet,329847,19,https://open.spotify.com/track/3EBfOvkTGK2CmMLqOa544I
Moonlight,"Alex M.O.R.P.H., Woody van Eyden, Marjan",Moonlight,191349,28,https://open.spotify.com/track/7CWuyO1HFwgnZaT7BComle
Living for the Moment,Apollo,Living for the Moment,158240,28,https://open.spotify.com/track/4QxNj4Ox3TAiBYrYXyzXA9
Can We Still Feel,"Andrew Rayel, Adara",Can We Still Feel,235000,35,https://open.spotify.com/track/4Kr9WurHeaE1JaI9WK3zGq
Through It All - Alex M.O.R.P.H. Extended Remix,"Claas Inc., Gid Sedgwick, Alex M.O.R.P.H.",Through It All,420532,3,https://open.spotify.com/track/1JEDHwyxEkKHz2ErUZ3wwe
Skyline - York Remix,"Thysma, Lauren L'aimant, YORK",Skyline (York Remix),233437,9,https://open.spotify.com/track/3RLM2xa2JaFCe0kjfiageS
My Good Place,"Aurosonic, Katty Heath",30 Vocal Trance Hits,249374,26,https://open.spotify.com/track/6JKz5WmCwKieDL4dbw8K1t
Not Enough Time 2.0,"Cosmic Gate, Emma Hewitt",20 Years [Forward Ever Backward Never],270351,31,https://open.spotify.com/track/4nqSXv0ifd0rPpFR1kJUfj
Lore,David Broaders,Lore,219952,31,https://open.spotify.com/track/0fuH8PTEbfLh4NLZ2xUkJh
Amsterdam - Super8 & Tab Extended Mix,"Luminary, Super8 & Tab",Super8 & Tab Presents: 20 Years Of Anjunabeats,493240,21,https://open.spotify.com/track/4MkOeDAyrYMaXBKUI1YhIw
The Whiteroom,"Andy Moor, Adam White, Whiteroom",The Whiteroom,233848,42,https://open.spotify.com/track/64AwAe6HpIEGFjy0KoGsmH
Hypnotized,"Ilan Bluestone, Stoneblue, Emma Hewitt",Hypnotized,224500,27,https://open.spotify.com/track/5ZsrTgKXsK6I71e65kF0WE
Someday,Doppenberg,Someday,170434,46,https://open.spotify.com/track/2PpIuWoPkilQBubfjZJerY
Magnificent,"Alex M.O.R.P.H., Faith Mark",Magnificent,201739,22,https://open.spotify.com/track/5vRS7k3p0DVlJiIct0hki8
Duality,Paul van Dyk,Duality,218540,54,https://open.spotify.com/track/75dtuLXf7uNtQNAGMDIM7k
The Deepest Truth,"Alan Morris, Marco Cera",The Deepest Truth,225000,2,https://open.spotify.com/track/4VmIHIHkclSO2d64I691cr
The Awakening - Quake Radio Edit,"YORK, Quake",The Awakening (NRG Trax Remix),213793,2,https://open.spotify.com/track/32oa9yjVeLN7cN1RtONOPS
An Angel's Love,"Alex M.O.R.P.H., Sylvia Tosun",An Angel's Love,185400,53,https://open.spotify.com/track/1UhHgUddUt2L7siqPsOoU7
Reach Across the Sky - Ben Gold Remix,"HALIENE, Ben Gold",Heavenly [Divine Edition],212888,22,https://open.spotify.com/track/3gSuDEIGq4yzVdZDGfO1Hp
Beautiful Life (Shine Ibiza Anthem 2023),"Paul van Dyk, Marc Van Linden, Sue McLaren",Beautiful Life (Shine Ibiza Anthem 2023),203738,34,https://open.spotify.com/track/1YTq0uv3qGz8xdacDzCzNX
Journey To Agartha,Temple One,Journey To Agartha,186086,41,https://open.spotify.com/track/6zootEAxzmClFbj12UNjyb
Empire Of Hearts,GAIA,Empire Of Hearts,198186,48,https://open.spotify.com/track/7v4J6QfxOM19QhrxhWB0r1
Now I See - Progressive Mix,"Aurosonic, Neev Kennedy",Now I See,437758,12,https://open.spotify.com/track/2wm5ShhCjtTiHl5OmFEMlH
The Time Is Now,"Costa, Maria Nayler",The Time Is Now,221764,36,https://open.spotify.com/track/55adpqBNS6o2r12rgRspWb
Shipwreck - Original Mix,"Craig Connelly, Cate Kanell",Shipwreck,483548,19,https://open.spotify.com/track/2OsHcxAE4E9n7z57yN5VAl
Echoes Of Courage,Ilan Bluestone,Echoes Of Courage,178370,37,https://open.spotify.com/track/3OCMeoGaTmxKS55xUNlDm9
Offshore,"Armin van Buuren, AVIRA, Chicane",Offshore,199680,33,https://open.spotify.com/track/6yf6FF8BxqLqEr87RFY96m
Sunshine Blue,"Denis Kenzo, Sveta B.",Sunshine Blue,211384,37,https://open.spotify.com/track/4hWbF0JW4nEW9zEn84eeU8
Just To Hear,"Denis Kenzo, Sveta B.",Just To Hear,201701,33,https://open.spotify.com/track/12RAKvnrvX0cxjIQowYnmO
