Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Come Around Again - Vocal Extended,"Signum, Anita Kelsey",Come Around Again,518733,14,https://open.spotify.com/track/2itxmdPcRuONpezaSgPVy5
Communication,Armin van Buuren,Communication,199667,47,https://open.spotify.com/track/7KnsBA0iWt9OcikVfzPDZs
Everyday - Lange Remix,"Agnelli & Nelson, Lange",Everyday,492093,32,https://open.spotify.com/track/06gi6buAhJE1rpLrjni2qj
Sparks After The Sunset,"Cosmic Gate, Sarah Lynn",Start To Feel,241909,35,https://open.spotify.com/track/6fJS2u5TwUD3I0I2WZocJw
The Silence - Radio Edit,Mike Koglin,The Silence,216000,0,https://open.spotify.com/track/2dFajl7B7QEXTogRW4Wa1d
Gamemaster,"Matt Darey, Lost Tribe",Gamemaster (Space Motion Remix),251987,6,https://open.spotify.com/track/6bFQ0LfVuYYzzQI4yHJ9I3
Reachers of Civilisation,YORK,Reachers of Civilisation,429826,7,https://open.spotify.com/track/18nKU8qAj9MBAXStb9wdiO
The Awakening - Quake Remix,"YORK, Quake",Experience,213793,42,https://open.spotify.com/track/0uLaqTui8jqec4h8jT4Xsn
On The Run - Ocean To Shore Club Extended Mix,"Tillmann Uhrmacher, Stefan Fornaro",On The Run,453880,42,https://open.spotify.com/track/6WiaFVFyRyPyZaT7KaGfl2
Hear You Calling - En Motion Remix,"Aurora, Steve Helstrip",Hear You Calling,446360,23,https://open.spotify.com/track/4Wqo7uSDG1XdGk3w6Pcnzb
Synaesthesia - En-Motion Remix,"The Thrillseekers, En-Motion",Synaesthesia,241520,47,https://open.spotify.com/track/6eYjUe4LXsV5u76ymGObqS
Why Does My Heart Feel So Bad? - Ferry Corsten Remix Edit,"Moby, Ferry Corsten",Go - The Very Best of Moby Remixed,220786,34,https://open.spotify.com/track/4fQkLKMYQxf05DPu6qr0Va
Tell Me,"Clear View, Jessica Riddle",In Search of Sunrise 6 Mixed by Tiësto (Ibiza),266533,34,https://open.spotify.com/track/1SNV5MwZowuFc9EEfNMsOt
Farewell To The Moon - Club Mix,YORK,Farewell To The Moon,593812,18,https://open.spotify.com/track/6p12opyEK8PYP5nhxpVfDy
Tuvan,GAIA,Tuvan,170360,58,https://open.spotify.com/track/1QH83zBuFEy7Tbgf2UvAnD
Aisha (Official Sail 2010 Anthem),GAIA,Aisha (Official Anthem Sail 2010),189380,52,https://open.spotify.com/track/6xnUficHSWNOyY02bNea3G
Barber's Adagio for Strings - Ferry Corsten Remix,"William Orbit, Ferry Corsten",Pieces In A Modern Style,395133,47,https://open.spotify.com/track/2K4cyGqJ1klZEGF689y75P
Coming On Strong,"Signum, Scott Mac",The World Of Trance (40 Biggest Trance Hits Ever) - Armada Music,199719,48,https://open.spotify.com/track/1ZLjrNoJWPvfMb7grtSNVf
Somewhere Inside of Me,"Allure, Julie Thompson",In Search of Sunrise 6 Mixed by Tiësto (Ibiza),480133,45,https://open.spotify.com/track/6sT2kUJ7oBVTajSwvXWLWe
Still With Me - Club Mix,"Tritonal, Cristina Soto",Still With Me,476590,8,https://open.spotify.com/track/0zWxCxU2pAPUdFXHGPjz0j
Warrior,Warrior,Warrior (Remixes),227428,41,https://open.spotify.com/track/1FmBkR0DLsvas4rLy8x0JV
Credo,Magna Canta,Sanctuary,246973,34,https://open.spotify.com/track/2qiwbzVWR4SEtxe5YmDqQF
Everytime - Nalin & Kane Mix,"Lustral, Nalin & Kane","25 Years, Vol. 3",249022,55,https://open.spotify.com/track/1jxVRXHqJKPzyhDQBmT6vU
Not Enough Time,"Cosmic Gate, Emma Hewitt",Sign Of The Times,340454,36,https://open.spotify.com/track/6LAjifAmybcqKzLrhWH60q
Madagascar - Ferry Corsten Remix,"Art Of Trance, Ferry Corsten",Madagascar (Remixes),361133,42,https://open.spotify.com/track/3x55ruWsb6QtuufuCTxymf
Endless Wave - Albion Remix,Kamaya Painters,The Collected Works,387653,0,https://open.spotify.com/track/0oqahpxEvBXc5VAjDlprFI
9Pm (Till I Come),ATB,Movin' Melodies,193880,73,https://open.spotify.com/track/1CgbwsrNDlFrRuk2ebQ7zr
Happiness Happening - Lange Extended Remix,"Lost Witness, Lange",Happiness Happening,556565,38,https://open.spotify.com/track/3WO5OSp8pvBtdzVjnO3GHI
Happiness Happening - Lange Remix,"Lost Witness, Lange",Happiness Happening,215480,48,https://open.spotify.com/track/5FzfJkVJSn8JrYe58uM5O5
Someone - Original Mix,Ascension,Someone,536416,40,https://open.spotify.com/track/2IZnE8sBqz4X8zgaRiAM7p
1998 - Paul van Dyk Remix,"Binary Finary, Paul van Dyk",1998,210960,56,https://open.spotify.com/track/72lRA680a5ZWu0l14phseH
For An Angel - PvD Angel In Heaven Radio Edit,Paul van Dyk,For An Angel,233243,57,https://open.spotify.com/track/2zI4py4xY6v4vIrAlR6GtP
Southern Sun - DJ Tiësto Remix,"Paul Oakenfold, Carla Werner, Tiësto",Southern Sun / Ready Steady Go,584585,43,https://open.spotify.com/track/1bAHNj6NQQqbRmnlWyOQvC
1998 - Gouryella 1999 Remix,"Binary Finary, Gouryella",A State Of Trance 600,178253,46,https://open.spotify.com/track/3oWuR8oRXtO9RejTyRjk12
Need To Feel Loved - Thrillseekers Remix,"Reflekt, delline bass, The Thrillseekers",Need To Feel Loved,492360,39,https://open.spotify.com/track/6Yo4qTQgqCN1WXcCmQx7Q4
I Believe - Lange Mix,Lange,I Believe / Follow Me,480826,25,https://open.spotify.com/track/3RzTDukeIV0VTttFCVJWqi
Game Master - Original Mix,Lost Tribe,"A State Of Trance Classics, Vol.4",481280,0,https://open.spotify.com/track/1N9dRcjETuTpC64NjvhYZK
Mar Del Sur - Aknael & Bekeela Remix,Fon.Leman,Mar Del Sur,412897,27,https://open.spotify.com/track/5hfplEfvjC0WmS8OGVbh3B
Out Of The Blue,System F,Out Of The Blue (Remastered),234186,55,https://open.spotify.com/track/7fIfO8fZ55Eq5qtd5vCd6z
Beautiful - 1999 Mix,"Matt Darey, Marcella Woods",Retrospective (25 Years),219000,51,https://open.spotify.com/track/59ktkd4Y30uNOeuxJhBN5e
Follow You,"Matt Darey, Stan Kolev, Aelyn",Blossom & Decay,228653,34,https://open.spotify.com/track/3b9YtGsxwC0wIBQTV5AbJ2
Cream - Long Version,Blank & Jones,Cream (All Mixes),438903,0,https://open.spotify.com/track/0XJUp1pqcRmS4hBlwtskfd
Home,"Coast 2 Coast, Discovery",Home,209300,37,https://open.spotify.com/track/3bORtU89mmxzrRy32Elv02
Everyday - Extended Mix,Agnelli & Nelson,Hudson Street,417306,46,https://open.spotify.com/track/4ApMz0VzAlMf7EAR1Nn3I5
Infinity - Patrik Humann Remix,"YORK, Taucher, Patrik Humann",Infinity (Patrik Humann Remix),216000,21,https://open.spotify.com/track/0dl7chrx6Ccl9hBUd6b1m6
Carte Blanche - Ilan Bluestone Remix,"Veracocha, Ilan Bluestone, Ferry Corsten",Carte Blanche (Ilan Bluestone Remix),224224,31,https://open.spotify.com/track/3wfJZ8CxJEgvYb27S52awQ
We Belong,"Ferry Corsten, Maria Nayler",We Belong,190973,25,https://open.spotify.com/track/4tLP8zmOlwYnFM02HZBIJI
Offshore 2007 - Original Mix,Chicane,Offshore,472733,21,https://open.spotify.com/track/4ouwD0Ikijewgz8FJB6xys
The Launch - Original Mix,DJ Jean,The Launch,409066,49,https://open.spotify.com/track/5Ffv62xRk4o9wjZZfRHm8q
Ayla - Original 1995 Mix,Ayla,Nirwana,238400,49,https://open.spotify.com/track/0xTySVrQi5Li96Wu7pCp80
Ayla Pt. 2,Ayla,Nirwana,199674,60,https://open.spotify.com/track/1hChLdk0hBQbapbpVUVlNa
Exploration of Space,Cosmic Gate,Exploration of Space,216360,62,https://open.spotify.com/track/0P2sfcfRD0lWw4b8eXegmR
Drifting Away,"Lange, Skye",Drifting Away,201658,45,https://open.spotify.com/track/5n02YT0zcJ10Eq8IYusaNm
Resurection,Planet Perfecto Knights,Paul Oakenfold - Mount Everest: The Base Camp Mix,691512,11,https://open.spotify.com/track/4R2a6E4fYpi1kjp6eQuuKE
Silver Bath,Plastic Boy,"A State Of Trance 500 (Selected by Armin van Buuren, Markus Schulz, Paul Oakenfold, Cosmic Gate & Andy Moor)",230434,26,https://open.spotify.com/track/07GLPKs62D34LyVzaNWjET
Gamemaster - Original 1996 Mix,"Matt Darey, Lost Tribe",Matt Darey Mini Mix 1,251987,42,https://open.spotify.com/track/2Phxx9PGx13gCeHQaVMrRU
Seven Cities - Solarstone's Atlantis Mix,"Solarstone, Andy Bury",Seven Cities,211333,52,https://open.spotify.com/track/1Tz10EYl3RFRItgJU8bJWu
