Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Never Wanted This,"Armin van Buuren, Justine Suissa",76,293053,34,https://open.spotify.com/track/5XBk8ecYpgUXuoZkt7tYvQ
Home - Album Edit,"Susana, Dark Matters, Eller van Buuren",Brave,204052,12,https://open.spotify.com/track/6bbk9yAP2niaz2su3skUgM
Losing Again - Chill Mix,Sunlounger,Another Day On The Terrace,317571,3,https://open.spotify.com/track/64jae5BFb4uNfrRn6wdMgH
Holding On,"Ferry Corsten, Shelley Harland",Right Of Way (Deluxe Edition),226674,37,https://open.spotify.com/track/720JADOBhlFWvcL8cDfR34
Never Fade Away - Original Mix,"John O'Callaghan, Lo-Fi Sugar",Never Fade Away,300146,35,https://open.spotify.com/track/0skDDN6ssUFd4UAPROBywa
Purify,Balligomingo,Beneath The Surface,255333,20,https://open.spotify.com/track/1OqUbcfXjB1apyWA1J6O8W
The Wall - Acoustic Mix,"ARTY, Tania Zygar",The Wall,159272,21,https://open.spotify.com/track/3JRi9HdG72Tq5cZ6Xib1X7
Here in the Dark (feat. Shelley Harland) [Floris De Haan Chillout Mix],"Headstrong, Shelley Harland",Here in the Dark (feat. Shelley Harland),210001,40,https://open.spotify.com/track/691bhe6D9iWuOnBhvrOB3N
World To Turn,"Andy Moor, Ashley Wallbridge, Gabriela",Zero Point One,268627,35,https://open.spotify.com/track/3HgfvT50XBQ25xNG4V3enP
Playing Fields - Original Mix,"Chicane, Kate Walsh","Armada Lounge, Vol. 5 (The Best Downtempo Songs For Your Listening Pleasure)",167186,36,https://open.spotify.com/track/7ueHHq337IDMlHx0H7shlR
Impossible To Live Without You - Album Mix,"John O'Callaghan, Betsie Larkin",Unfold,200013,26,https://open.spotify.com/track/4riqr5H51p6tBU0ZJDGgJA
Heat,Balligomingo,Beneath The Surface,292226,17,https://open.spotify.com/track/2D4AFqBWrKZdDiPN6BjcDK
Holding On to Nothing - Agnelli & Nelson Chillout Mix,"Agnelli & Nelson, Aureus",Holding On To Nothing,388533,13,https://open.spotify.com/track/2mbGAN4PmVSsyf1nuMOXy5
Mediterranean Flower - Chill Version,Sunlounger,Sunny Tales,339962,26,https://open.spotify.com/track/5wOAP0ZauXDYmJqkCKTUd2
Love Until It Hurts (Chillout Mix) [feat. Stine Grove],"Headstrong, Stine Grove",Timeless,278113,38,https://open.spotify.com/track/5G81zBZf0juTNdPldhYEbF
Goodbye (feat. Rebecca Ramone),"Balligomingo, Rebecca Ramone",Under an Endless Sky,276899,13,https://open.spotify.com/track/2lADwpaASUgQoSWPR2yaAw
