Track Name,Artists,Album,Duration (ms),Popularity,Track URL
California Dreamin',The Mamas & The Papas,All The Leaves Are Brown The Golden Era Collection,160373,76,https://open.spotify.com/track/1ZEOIhSn6BKErV59bIgn76
Dreams,Fleetwood Mac,Greatest Hits Ever,257799,23,https://open.spotify.com/track/31tabpKCcWKizfNs2n0R9b
I Ran (So Far Away),A Flock Of Seagulls,A Flock Of Seagulls,308933,68,https://open.spotify.com/track/4OdhffpvG3HxDJMxYOKh97
Fragments of Time (feat. Todd Edwards),"Daft Punk, Todd Edwards",The Writing of Fragments of Time,279773,33,https://open.spotify.com/track/7J9Vmy8RXPFY88reizJEwa
Moonlight Shadow,Mike Oldfield,The Mike Oldfield Collection,218186,71,https://open.spotify.com/track/4WpmwEdc4RBos8W8icSSxW
Hideout,Parcels,Hideout,266454,65,https://open.spotify.com/track/7z5R6cbZpB4njz080aA6u2
Crimson & Clover,Tommy James & The Shondells,Anthology,209640,54,https://open.spotify.com/track/0I4yYE831a8SW8QIx6bz4x
Sunblind,Fleet Foxes,Shore,253613,50,https://open.spotify.com/track/308prODCCD0O660tIktbUi
Scarface (Push It To The Limit),Paul Engemann,Scarface,184706,4,https://open.spotify.com/track/1P4Frq8ZqkdJlChASoGFPZ
Harden My Heart,Quarterflash,Quarterflash,232626,59,https://open.spotify.com/track/3CSLUIrI2KPMulHR5bh17O
Seven Wonders - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),222400,72,https://open.spotify.com/track/1VN2vWSkSmMKOhxr8lHzSx
100 Stars,Triangle Sun,Diamond,238000,38,https://open.spotify.com/track/1EgbCiw1FU3rufpdRA6lXY
Wild Blue,John Mayer,Sob Rock,252413,69,https://open.spotify.com/track/4VFGpluBaU1WcquEMzhSz6
Dream On,Aerosmith,Aerosmith,266960,13,https://open.spotify.com/track/5MxNLUsfh7uzROypsoO5qe
Dear Angie - Remastered 2010,Badfinger,Magic Christian Music (Remastered 2010 / Deluxe Edition),160906,50,https://open.spotify.com/track/54qG9hpUjLgkgTJQ9qvB1P
In the Air,L.A.B.,L.A.B III,252680,0,https://open.spotify.com/track/5v7h5vQgCJKZT5vB3I9s3o
Nothing's Gonna Stop Us Now,Starship,No Protection,270333,85,https://open.spotify.com/track/3X7uFMzJrEE0sxn62qd8Ch
Only over You - 2016 Remaster,Fleetwood Mac,Mirage (Deluxe Edition),249995,56,https://open.spotify.com/track/6zAwSWQywmeEFP11tK7t5W
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),251488,90,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE
Ain't No Sunshine,Bill Withers,Just As I Am,125093,83,https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt
Last Train Home,John Mayer,Sob Rock,187306,65,https://open.spotify.com/track/0tgBtQ0ISnMQOKorrN9HLX
Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,298933,12,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR
Faithfully (2023 Remaster),Journey,Frontiers (2023 Remaster),266946,73,https://open.spotify.com/track/0l5TpsCL1ObiTEsHeWA0by
Reminiscing - Remastered,Little River Band,Sleeper Catcher (Remastered),253080,1,https://open.spotify.com/track/34D6mvDTAPypm92EPs8Rxa
Everywhere - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),226653,86,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
We Are The People,Empire Of The Sun,Walking On A Dream (10th Anniversary Edition),267373,90,https://open.spotify.com/track/3zEN0ii6s4DHHBpnTp3RP7
Valerie,Steve Winwood,Talking Back To The Night,246666,72,https://open.spotify.com/track/3aAuIvgJGdp4wWd60riWfB
Learning To Fly,Tom Petty and the Heartbreakers,Into The Great Wide Open,242106,76,https://open.spotify.com/track/17S4XrLvF5jlGvGCJHgF51
Babylon,David Gray,White Ladder,265666,6,https://open.spotify.com/track/5jLqVCGlKNYrLqCA1Qy4FV
Roxanne,The Police,Outlandos D'Amour (Remastered 2003),191946,82,https://open.spotify.com/track/3EYOJ48Et32uATr9ZmLnAo
Izzat Love? - 2015 Remaster,Todd Rundgren,Todd,115173,43,https://open.spotify.com/track/5hb92JsDZjB3PuysBhwTAS
Baby Come Back,Player,Late Night Tales: Music For Pleasure,214373,67,https://open.spotify.com/track/2eRYuzlSOBk3HlMsCSOLPJ
Baby Blue - Remastered 2010,Badfinger,Straight Up (Remastered 2010 / Deluxe Edition),217346,65,https://open.spotify.com/track/6S3JlDAGk3uu3NtZbPnuhS
Hypnotized,Fleetwood Mac,Mystery to Me,289200,63,https://open.spotify.com/track/1cHCG42MxckrXNFqyF8Uhr
Last Nite,The Strokes,Is This It,193506,76,https://open.spotify.com/track/7kzKAuUzOITUauHAhoMoxA
Ventura Highway,"America, George Martin",Homecoming,211680,82,https://open.spotify.com/track/4IU1RL4BKvFyXtbTwaHAvW
Little Lies - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),221053,80,https://open.spotify.com/track/4CoSCPlKNrWli7E5kFtbcl
Mickey - Original Version,Toni Basil,Mickey,253199,2,https://open.spotify.com/track/74L1SDDbutAB3ex8VeOPkG
Voices Carry,'Til Tuesday,Voices Carry (Expanded Edition),263573,63,https://open.spotify.com/track/0ZYf6N5eBeXStMri0mf3DZ
