Track Name,Artists,Album,Duration (ms),Popularity,Track URL
Walk,Kwabs,Love + War,214149,68,https://open.spotify.com/track/5T8t1yJwAf6Dr6fIFGPjro
Around Town,The Kooks,Listen,250692,52,https://open.spotify.com/track/36pHJ5lqNQTLLzGTy8G7xV
Beautiful Now,"Zedd, Jon Bellion",True Colors,218293,73,https://open.spotify.com/track/2ISSQPb9LHHiV6ng2NXosL
The Nights,Avicii,The Days / Nights,176658,88,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
Waiting For Love,Avicii,Stories,230613,84,https://open.spotify.com/track/2P4OICZRVAQcYAV2JReRfj
Tsunami - Original Mix,"DVBBS, Borgeous",Tsunami,236706,11,https://open.spotify.com/track/1nVOR7BpNPqBuN1kMPc5G3
Titanium,"David Guetta, Sia",Now That's What I Call Music 2012-13,246026,32,https://open.spotify.com/track/4OQfIweaFWNTT5NkJ04txq
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj",Listen,192560,77,https://open.spotify.com/track/285HeuLxsngjFn4GGegGNm
In the Name of Love,"Martin Garrix, Bebe Rexha",In the Name of Love,195706,82,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S
I Got You,Bebe Rexha,Expectations,191786,66,https://open.spotify.com/track/2jB9QaPJyVdz2Q0Va8rrnU
No Broken Hearts (feat. Nicki Minaj),"Bebe Rexha, Nicki Minaj",No Broken Hearts (feat. Nicki Minaj),239991,57,https://open.spotify.com/track/4qULqxfCRhJAXVc75UupQB
Animals,Martin Garrix,Animals,303040,1,https://open.spotify.com/track/5q35GiekvBr6oAsCsW8YlR
Animals,Maroon 5,V (Asia Tour Edition),231013,76,https://open.spotify.com/track/3h4T9Bg8OVSUYa6danHeH5
Sugar,Maroon 5,V (Asia Tour Edition),235493,74,https://open.spotify.com/track/5d6Mjuu2uCGRPYpFjGpCX5
