Track Name,Artists,Album,Duration (ms),Popularity,Track URL
木枯しに抱かれて,Kyoko Koizumi,K2 BEST SELLER,222700,54,https://open.spotify.com/track/0aJlvHZu68s0a2865Wguep
promise,Kohmi Hirose,"広瀬香美 THE BEST ""Love Winters""",280996,51,https://open.spotify.com/track/39rZVvBPsAc4h0BfPLUqOj
Plastic Love,Friday Night Plans,Plastic Love,275891,56,https://open.spotify.com/track/0K9rIsZfdlzAoOEWyeFQYM
おもいで酒,Sachiko Kobayashi,夫婦しぐれ ～小林幸子全曲集,229093,45,https://open.spotify.com/track/7alh4faMaiSHeXQSRa0ZjR
シャイニン・オン 君が哀しい (シングル･バージョン),Look,GOLDEN J-POP/THE BEST ルック,272560,28,https://open.spotify.com/track/3C1CT07vhFO9VK8528cNTP
Doukoku,Shizuka Kudo,Rise Me,285306,31,https://open.spotify.com/track/5A8Ol39jeXCzbuFQbEdRRF
甘い生活,Goro Noguchi,野口五郎 SINGLE COLLECTION～ユニバーサル ミュージック イヤーズ～,206480,42,https://open.spotify.com/track/1Lxqz1PCuDZwLc9zCBsX3H
Sayonara Bye Bye,Matsuko Mawatari,Matsuko Mawatari The Best of Matsuko Mawatari,268933,44,https://open.spotify.com/track/66hlYveeHSRw1oALKwgeTA
まちぶせ,Hitomi Ishikawa,40th 石川ひとみアンソロジー,219426,50,https://open.spotify.com/track/08vpJLMyKhYe5RZa5TVgRe
風になる,Tsuji Ayano,恋恋風歌,276600,61,https://open.spotify.com/track/1BMYkyKXS6UfnJteWN7nSD
ルージュの伝言,Yumi Arai,COBALT HOUR,182800,63,https://open.spotify.com/track/1jw992uwXhqJJ0H42ucTRL
今日から生で,Kakashi,マンダーラ,152720,0,https://open.spotify.com/track/4LQ8d76UE4UCXEwQO8T4Be
Sotsugyou,Yuki Saitou,Yuki's Best,283713,36,https://open.spotify.com/track/60Oi2EFpU4u0tn94LCub1h
ウェザーリポート (feat. ひかり),"Tokimeki Records, Hikari",ウェザーリポート (feat. ひかり),296562,28,https://open.spotify.com/track/7GdOaZjHw6XsgtMoc0mqUe
青いリンゴ,Goro Noguchi,野口五郎 SINGLE COLLECTION～ユニバーサル ミュージック イヤーズ～,167933,46,https://open.spotify.com/track/3MdsCGEPuvyx68ON3SWnSX
FLY ME TO THE MOON (新世紀エヴァンゲリオン),イイダサトミ,熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「新世紀エヴァンゲリオンシリーズ」,273968,45,https://open.spotify.com/track/2ABuGHpFP2u6VYNLeug1le
Hohoemi no Bakudan,Matsuko Mawatari,Hohoemi no Bakudan,254160,49,https://open.spotify.com/track/5BG5LEDS1Q24SZuofpWSBG
お久しぶりね,小柳ルミ子,お久しぶりね,234186,46,https://open.spotify.com/track/5zMfFcQCPV1ZWWyUBXFxN8
君は天然色,川崎鷹也,君は天然色,301973,33,https://open.spotify.com/track/4puIXjdH9RLDFiseHcdXet
Fly-day Chinatown,Yasuha,Fly-day Chinatown,208493,67,https://open.spotify.com/track/2uXlHiOE4o5xHOCiob8DKn
Believe,Folder 5,沖縄アクターズスクール大復活祭 ～本土復帰50周年記念 Digital ALBUM,226866,25,https://open.spotify.com/track/1ayyUDXEOGeG5Jsr6j53wj
天使のウインク,Seiko Matsuda,BIBLE,240773,31,https://open.spotify.com/track/2UjqBaCc4jDpCa06C2DXMq
Nile in Blue,Momoko Kikuchi,Momoko Kikuchi Special Selection I,262466,0,https://open.spotify.com/track/6PRiodSfFUl193KpLYwbdX
SWEET MEMORIES (Re-Mix Version),Seiko Matsuda,ペンギンズ・メモリー「幸福物語」オリジナル・サウンドトラック,274826,40,https://open.spotify.com/track/6UDky6rmQprD5seH60B8jY
Sailor Fuku wo Nugasanaide,Onyanko Club,Kick Off,222746,26,https://open.spotify.com/track/0FCsGMRpMCRs09GW9tW31H
夏夜のマジック,Asako Toki,HOME TOWN ～Cover Songs～,304266,36,https://open.spotify.com/track/4H15DPcx96pHtUdICF8Chc
